Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
2053,HW ASR JNSHTBDI,,nan,,,,
2054,ASR HW JNSHTBDI,,nan,,,,
2055,DDN JSHT SPL,,nan,,,,
2056,DDN NDLS JSHT SPL,,nan,,,,
2057,UHL JANSHT SPL,,nan,,,,
2061,JBP JANSHATABDI,,nan,,,,
2062,HBJ JANSHATABDI,,nan,,,,
2066,AII JAN SHATABDI,,nan,,,,
2067,JAN SHATABDI EX,,nan,,,,
2068,JAN SHATABDI EX,,nan,,,,
2069,JANSHATABDI EXP,,nan,,,,
12021,BBN JANSHATABDI,HOWRAH JN,HWH,89.0,SER,88.34099900000000,22.584078
12021,BBN JANSHATABDI,KHARAGPUR JN,KGP,104.0,SER,87.32845600000000,22.341432
12021,BBN JANSHATABDI,JHARGRAM,JGM,107.0,SER,86.9985316705,22.4549644863
12021,BBN JANSHATABDI,GHATSILA,GTS,111.0,SER,86.479768,22.58616
12021,BBN JANSHATABDI,TATANAGAR JN,TATA,115.0,SER,86.20056000000000,22.768954
12021,BBN JANSHATABDI,SINI JN,SINI,120.0,SER,85.94702600000000,22.78946
12021,BBN JANSHATABDI,CHAIBASA,CBSA,124.0,SER,85.812342,22.560494
12021,BBN JANSHATABDI,DANGOAPOSI,DPS,121.0,SER,85.59273,22.167964
12021,BBN JANSHATABDI,NOAMUNDI,NOMD,118.0,SER,85.513684,22.15311
12021,BBN JANSHATABDI,BARA JAMDA,BJMD,120.0,SER,85.41239200000000,22.1665327
12021,BBN JANSHATABDI,BARABIL,BBN,96.0,SER,85.36905800000000,22.104577
12022,BBN JANSHATABDI,BARABIL,BBN,138.0,SER,85.36905800000000,22.104577
12022,BBN JANSHATABDI,BARA JAMDA,BJMD,149.0,SER,85.41239200000000,22.1665327
12022,BBN JANSHATABDI,NOAMUNDI,NOMD,151.0,SER,85.513684,22.15311
12022,BBN JANSHATABDI,DANGOAPOSI,DPS,157.0,SER,85.59273,22.167964
12022,BBN JANSHATABDI,CHAIBASA,CBSA,171.0,SER,85.812342,22.560494
12022,BBN JANSHATABDI,SINI JN,SINI,190.0,SER,85.94702600000000,22.78946
12022,BBN JANSHATABDI,TATANAGAR JN,TATA,218.0,SER,86.20056000000000,22.768954
12022,BBN JANSHATABDI,GHATSILA,GTS,222.0,SER,86.479768,22.58616
12022,BBN JANSHATABDI,JHARGRAM,JGM,230.0,SER,86.9985316705,22.4549644863
12022,BBN JANSHATABDI,KHARAGPUR JN,KGP,227.0,SER,87.32845600000000,22.341432
12022,BBN JANSHATABDI,SANTRAGACHI JN,SRC,255.0,SER,88.284011,22.58393
12022,BBN JANSHATABDI,HOWRAH JN,HWH,271.0,SER,88.34099900000000,22.584078
12023,JANSHATABDI EXP,HOWRAH JN,HWH,14.0,ECR,88.34099900000000,22.584078
12023,JANSHATABDI EXP,DURGAPUR,DGR,15.0,ECR,87.297902,23.495046
12023,JANSHATABDI EXP,ASANSOL JN,ASN,18.0,ECR,86.975152,23.691441
12023,JANSHATABDI EXP,CHITTARANJAN,CRJ,21.0,ECR,86.878036,23.857138
12023,JANSHATABDI EXP,JAMTARA,JMT,20.0,ECR,86.805183,23.958904
12023,JANSHATABDI EXP,MADHUPUR JN,MDP,22.0,ECR,86.642183,24.270633
12023,JANSHATABDI EXP,JASIDIH JN,JSME,25.0,ECR,86.644255,24.514517
12023,JANSHATABDI EXP,JHAJHA,JAJ,14.0,ECR,86.399854,24.779456
12023,JANSHATABDI EXP,JAMUI,JMU,20.0,ECR,86.25477500000000,24.971949
12023,JANSHATABDI EXP,LUCKEESARAI JN,LKR,27.0,ECR,86.093210587,25.1716617005
12023,JANSHATABDI EXP,HATHIDAH JN,HTZ,36.0,ECR,85.987826,25.367027
