Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
12188,JBP GARIB RATH,C SHIVAJI TERM MUMBAI,CSMT,7,WCR,,
12188,JBP GARIB RATH,DADAR,DR,11,WCR,72.842972,19.017179
12188,JBP GARIB RATH,KALYAN JN,KYN,25,WCR,73.12974,19.234716
12188,JBP GARIB RATH,NASIK ROAD,NK,26,WCR,73.841897,19.947627
12188,JBP GARIB RATH,MANMAD JN,MMR,31,WCR,74.438305,20.249887
12188,JBP GARIB RATH,JALGAON JN,JL,53,WCR,75.56287500000000,21.018115
12188,JBP GARIB RATH,BHUSAVAL JN,BSL,48,WCR,75.78867170000000,21.0472812
12188,JBP GARIB RATH,KHANDWA,KNW,24,WCR,76.353227,21.823596
12188,JBP GARIB RATH,HARDA,HD,61,WCR,77.10084,22.338414
12188,JBP GARIB RATH,ITARSI JN,ET,20,WCR,77.767128,22.608258
12188,JBP GARIB RATH,PIPARIYA,PPI,26,WCR,78.354538,22.753941
12188,JBP GARIB RATH,GADARWARA,GAR,30,WCR,78.79173400000000,22.899459
12188,JBP GARIB RATH,NARSINGHPUR,NU,31,WCR,79.214385,22.943112
12188,JBP GARIB RATH,SHRIDHAM,SRID,29,WCR,79.484397,23.033843
12188,JBP GARIB RATH,JABALPUR,JBP,2,WCR,79.950919,23.164636
