Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
3309,DHN JAT G R SPL,DHANBAD JN,DHN,65.0,ER,86.428956,23.790966
3309,DHN JAT G R SPL,NSC BOSE J GOMO,GMO,79.0,ER,86.14823,23.873106
3309,DHN JAT G R SPL,PARASNATH,PNME,84.0,ER,86.037862,23.987971
3309,DHN JAT G R SPL,HAZARIBAGH RD,HZD,86.0,ER,85.892035,24.174583
3309,DHN JAT G R SPL,KODERMA,KQR,95.0,ER,85.52945800000000,24.434741
3309,DHN JAT G R SPL,GAYA JN,GAYA,82.0,ER,84.999294,24.803978
3309,DHN JAT G R SPL,ANUGRAHA N ROAD,AUBR,112.0,ER,84.3298444,24.8559556
3309,DHN JAT G R SPL,DEHRI ON SONE,DOS,120.0,ER,84.185434,24.914895
3309,DHN JAT G R SPL,SASARAM,SSM,130.0,ER,84.019423,24.955926
3309,DHN JAT G R SPL,BHABUA ROAD,BBU,134.0,ER,83.618913,25.173007
3309,DHN JAT G R SPL,PT DEEN DAYAL UPADHYAY JN,DDU,115.0,ER,,
3309,DHN JAT G R SPL,VARANASI JN,BSB,143.0,ER,82.986468,25.327281
3309,DHN JAT G R SPL,PRAYAGRAJ JN,PRYJ,183.0,ER,81.8253,25.4453
3309,DHN JAT G R SPL,KANPUR CENTRAL,CNB,183.0,ER,80.350966,26.45424
3309,DHN JAT G R SPL,GOVINDPURI,GOY,230.0,ER,80.313203,26.454423
3309,DHN JAT G R SPL,TUNDLA JN,TDL,177.0,ER,78.233285,27.207747
3309,DHN JAT G R SPL,DELHI,DLI,222.0,ER,77.228356,28.661816
3309,DHN JAT G R SPL,SONIPAT JN,SNP,221.0,ER,77.017343,28.989423
3309,DHN JAT G R SPL,PANIPAT JN,PNP,238.0,ER,76.96379300000000,29.388948
3309,DHN JAT G R SPL,AMBALA CANT JN,UMB,225.0,ER,76.826966,30.338918
3309,DHN JAT G R SPL,SIRHIND JN,SIR,240.0,ER,76.383194,30.624222
3309,DHN JAT G R SPL,LUDHIANA JN,LDH,214.0,ER,75.84787300000000,30.912367
3309,DHN JAT G R SPL,JALANDHAR CANT,JRC,222.0,ER,75.63210600000000,31.306235
3309,DHN JAT G R SPL,PATHANKOT CANTT,PTKC,208.0,ER,75.636044,32.2593
3309,DHN JAT G R SPL,JAMMU TAWI,JAT,138.0,ER,74.880117,32.706975
3310,GARIB RATH SPL,JAMMU TAWI,JAT,187.0,ECR,74.880117,32.706975
3310,GARIB RATH SPL,PATHANKOT CANTT,PTKC,179.0,ECR,75.636044,32.2593
3310,GARIB RATH SPL,JALANDHAR CANT,JRC,164.0,ECR,75.63210600000000,31.306235
3310,GARIB RATH SPL,LUDHIANA JN,LDH,167.0,ECR,75.84787300000000,30.912367
3310,GARIB RATH SPL,SIRHIND JN,SIR,167.0,ECR,76.383194,30.624222
3310,GARIB RATH SPL,AMBALA CANT JN,UMB,140.0,ECR,76.826966,30.338918
3310,GARIB RATH SPL,PANIPAT JN,PNP,152.0,ECR,76.96379300000000,29.388948
3310,GARIB RATH SPL,SONIPAT JN,SNP,165.0,ECR,77.017343,28.989423
3310,GARIB RATH SPL,DELHI,DLI,139.0,ECR,77.228356,28.661816
3310,GARIB RATH SPL,TUNDLA JN,TDL,195.0,ECR,78.233285,27.207747
3310,GARIB RATH SPL,GOVINDPURI,GOY,143.0,ECR,80.313203,26.454423
3310,GARIB RATH SPL,PRAYAGRAJ JN,PRYJ,195.0,ECR,81.8253,25.4453
3310,GARIB RATH SPL,VARANASI JN,BSB,156.0,ECR,82.986468,25.327281
3310,GARIB RATH SPL,PT DEEN DAYAL UPADHYAY JN,DDU,145.0,ECR,,
3310,GARIB RATH SPL,BHABUA ROAD,BBU,136.0,ECR,83.618913,25.173007
3310,GARIB RATH SPL,SASARAM,SSM,154.0,ECR,84.019423,24.955926
3310,GARIB RATH SPL,DEHRI ON SONE,DOS,152.0,ECR,84.185434,24.914895
3310,GARIB RATH SPL,ANUGRAHA N ROAD,AUBR,154.0,ECR,84.3298444,24.8559556
3310,GARIB RATH SPL,GAYA JN,GAYA,168.0,ECR,84.999294,24.803978
3310,GARIB RATH SPL,KODERMA,KQR,168.0,ECR,85.52945800000000,24.434741
3310,GARIB RATH SPL,HAZARIBAGH RD,HZD,180.0,ECR,85.892035,24.174583
3310,GARIB RATH SPL,PARASNATH,PNME,168.0,ECR,86.037862,23.987971
3310,GARIB RATH SPL,NSC BOSE J GOMO,GMO,168.0,ECR,86.14823,23.873106
3310,GARIB RATH SPL,DHANBAD JN,DHN,157.0,ECR,86.428956,23.790966
3347,PNBE ARA G R SPL,PATNA JN,PNBE,17.0,ECR,85.136824,25.60256
3347,PNBE ARA G R SPL,DANAPUR,DNR,31.0,ECR,85.044629,25.581921
