Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
2564,BJU HUMSAFAR,NEW DELHI,NDLS,61,ECR,77.22000400000000,28.642314
2564,BJU HUMSAFAR,KANPUR CENTRAL,CNB,113,ECR,80.350966,26.45424
2564,BJU HUMSAFAR,AISHBAGH,ASH,140,ECR,80.90960679930000,26.8373880081
2564,BJU HUMSAFAR,BASTI,BST,211,ECR,82.77005900000000,26.815678
2564,BJU HUMSAFAR,GORAKHPUR JN,GKP,209,ECR,83.381499,26.759311
2564,BJU HUMSAFAR,DEORIA SADAR,DEOS,218,ECR,83.7819590961,26.5076811676
2564,BJU HUMSAFAR,SIWAN JN,SV,220,ECR,84.359267,26.210724
2564,BJU HUMSAFAR,CHHAPRA,CPR,257,ECR,84.725004,25.78832
2564,BJU HUMSAFAR,MUZAFFARPUR JN,MFP,319,ECR,85.378006,26.122311
2564,BJU HUMSAFAR,BARAUNI JN,BJU,402,ECR,85.988748,25.461768
