Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
2563,BJU NDLS HUMSFAR,BARAUNI JN,BJU,59.0,ECR,85.988748,25.461768
2563,BJU NDLS HUMSFAR,MUZAFFARPUR JN,MFP,118.0,ECR,85.378006,26.122311
2563,BJU NDLS HUMSFAR,CHHAPRA,CPR,156.0,ECR,84.725004,25.78832
2563,BJU NDLS HUMSFAR,SIWAN JN,SV,169.0,ECR,84.359267,26.210724
2563,BJU NDLS HUMSFAR,DEORIA SADAR,DEOS,153.0,ECR,83.7819590961,26.5076811676
2563,BJU NDLS HUMSFAR,GORAKHPUR JN,GKP,266.0,ECR,83.381499,26.759311
2563,BJU NDLS HUMSFAR,BASTI,BST,312.0,ECR,82.77005900000000,26.815678
2563,BJU NDLS HUMSFAR,AISHBAGH,ASH,396.0,ECR,80.90960679930000,26.8373880081
2563,BJU NDLS HUMSFAR,KANPUR CENTRAL,CNB,480.0,ECR,80.350966,26.45424
2563,BJU NDLS HUMSFAR,NEW DELHI,NDLS,487.0,ECR,77.22000400000000,28.642314
2564,BJU HUMSAFAR,NEW DELHI,NDLS,4.0,ECR,77.22000400000000,28.642314
2564,BJU HUMSAFAR,KANPUR CENTRAL,CNB,46.0,ECR,80.350966,26.45424
2564,BJU HUMSAFAR,AISHBAGH,ASH,60.0,ECR,80.90960679930000,26.8373880081
2564,BJU HUMSAFAR,BASTI,BST,148.0,ECR,82.77005900000000,26.815678
2564,BJU HUMSAFAR,GORAKHPUR JN,GKP,137.0,ECR,83.381499,26.759311
2564,BJU HUMSAFAR,DEORIA SADAR,DEOS,155.0,ECR,83.7819590961,26.5076811676
2564,BJU HUMSAFAR,SIWAN JN,SV,173.0,ECR,84.359267,26.210724
2564,BJU HUMSAFAR,CHHAPRA,CPR,224.0,ECR,84.725004,25.78832
2564,BJU HUMSAFAR,MUZAFFARPUR JN,MFP,281.0,ECR,85.378006,26.122311
2564,BJU HUMSAFAR,BARAUNI JN,BJU,395.0,ECR,85.988748,25.461768
2569,DBG NDLS HMSAFAR,DARBHANGA JN,DBG,44.0,ECR,85.907575,26.157088
2569,DBG NDLS HMSAFAR,SAMASTIPUR JN,SPJ,106.0,ECR,85.78736,25.858304
2569,DBG NDLS HMSAFAR,MUZAFFARPUR JN,MFP,113.0,ECR,85.378006,26.122311
2569,DBG NDLS HMSAFAR,CHHAPRA,CPR,137.0,ECR,84.725004,25.78832
2569,DBG NDLS HMSAFAR,SIWAN JN,SV,178.0,ECR,84.359267,26.210724
2569,DBG NDLS HMSAFAR,DEORIA SADAR,DEOS,170.0,ECR,83.7819590961,26.5076811676
2569,DBG NDLS HMSAFAR,GORAKHPUR JN,GKP,291.0,ECR,83.381499,26.759311
2569,DBG NDLS HMSAFAR,BASTI,BST,320.0,ECR,82.77005900000000,26.815678
2569,DBG NDLS HMSAFAR,AISHBAGH,ASH,402.0,ECR,80.90960679930000,26.8373880081
2569,DBG NDLS HMSAFAR,KANPUR CENTRAL,CNB,510.0,ECR,80.350966,26.45424
2569,DBG NDLS HMSAFAR,NEW DELHI,NDLS,512.0,ECR,77.22000400000000,28.642314
2570,DBG HUMSAFAR,NEW DELHI,NDLS,127.0,ECR,77.22000400000000,28.642314
2570,DBG HUMSAFAR,KANPUR CENTRAL,CNB,161.0,ECR,80.350966,26.45424
2570,DBG HUMSAFAR,AISHBAGH,ASH,197.0,ECR,80.90960679930000,26.8373880081
2570,DBG HUMSAFAR,BASTI,BST,285.0,ECR,82.77005900000000,26.815678
2570,DBG HUMSAFAR,GORAKHPUR JN,GKP,279.0,ECR,83.381499,26.759311
2570,DBG HUMSAFAR,DEORIA SADAR,DEOS,280.0,ECR,83.7819590961,26.5076811676
2570,DBG HUMSAFAR,SIWAN JN,SV,291.0,ECR,84.359267,26.210724
2570,DBG HUMSAFAR,CHHAPRA,CPR,251.0,ECR,84.725004,25.78832
2570,DBG HUMSAFAR,MUZAFFARPUR JN,MFP,277.0,ECR,85.378006,26.122311
2570,DBG HUMSAFAR,SAMASTIPUR JN,SPJ,326.0,ECR,85.78736,25.858304
2570,DBG HUMSAFAR,DARBHANGA JN,DBG,320.0,ECR,85.907575,26.157088
2595,GKP FESTIVAL SPL,,nan,,,,
2596,HMSFR FEST SPL,,nan,,,,
2751,JAT HUMSAFAR SPL,,nan,,,,
2752,NED HUMSAFAR SPL,,nan,,,,
4651,PNBE FZR HUMSAFAR,JAYNAGAR,JYG,1.0,NR,86.134871,26.589465
4651,PNBE FZR HUMSAFAR,DARBHANGA JN,DBG,8.0,NR,85.907575,26.157088
4651,PNBE FZR HUMSAFAR,SAMASTIPUR JN,SPJ,13.0,NR,85.78736,25.858304
4651,PNBE FZR HUMSAFAR,MUZAFFARPUR JN,MFP,27.0,NR,85.378006,26.122311
4651,PNBE FZR HUMSAFAR,CHHAPRA,CPR,49.0,NR,84.725004,25.78832
4651,PNBE FZR HUMSAFAR,SHAHGANJ JN,SHG,33.0,NR,82.679662,26.061399
4651,PNBE FZR HUMSAFAR,LUCKNOW NR,LKO,85.0,NR,80.925291,26.830675
4651,PNBE FZR HUMSAFAR,MORADABAD,MB,114.0,NR,78.765801,28.831621
4651,PNBE FZR HUMSAFAR,DELHI,DLI,226.0,NR,77.228356,28.661816
4651,PNBE FZR HUMSAFAR,AMBALA CANT JN,UMB,301.0,NR,76.826966,30.338918
4651,PNBE FZR HUMSAFAR,AMRITSAR JN,ASR,287.0,NR,74.858025,31.631512
4652,JYG HUMSAFR SPL,AMRITSAR JN,ASR,0.0,NR,74.858025,31.631512
4652,JYG HUMSAFR SPL,AMBALA CANT JN,UMB,30.0,NR,76.826966,30.338918
4652,JYG HUMSAFR SPL,DELHI,DLI,72.0,NR,77.228356,28.661816
4652,JYG HUMSAFR SPL,MORADABAD,MB,131.0,NR,78.765801,28.831621
4652,JYG HUMSAFR SPL,LUCKNOW NR,LKO,197.0,NR,80.925291,26.830675
4652,JYG HUMSAFR SPL,SHAHGANJ JN,SHG,210.0,NR,82.679662,26.061399
4652,JYG HUMSAFR SPL,CHHAPRA,CPR,166.0,NR,84.725004,25.78832
4652,JYG HUMSAFR SPL,MUZAFFARPUR JN,MFP,208.0,NR,85.378006,26.122311
4652,JYG HUMSAFR SPL,SAMASTIPUR JN,SPJ,263.0,NR,85.78736,25.858304
4652,JYG HUMSAFR SPL,DARBHANGA JN,DBG,287.0,NR,85.907575,26.157088
4652,JYG HUMSAFR SPL,JAYNAGAR,JYG,258.0,NR,86.134871,26.589465
6509,SBC DNR HUMSAFAR,KSR BANGALORE CY JN,SBC,0.0,SWR,77.56808300000000,12.977595
6509,SBC DNR HUMSAFAR,KRISHNARAJAPURM,KJM,0.0,SWR,77.674016,13.000534
6509,SBC DNR HUMSAFAR,JOLARPETTAI,JTJ,0.0,SWR,78.57782000000000,12.560852
6509,SBC DNR HUMSAFAR,KATPADI JN,KPD,0.0,SWR,79.13534100000000,12.972734
6509,SBC DNR HUMSAFAR,ARAKKONAM,AJJ,0.0,SWR,79.667991,13.081512
6509,SBC DNR HUMSAFAR,PERAMBUR,PER,0.0,SWR,80.24453300000000,13.10702
6509,SBC DNR HUMSAFAR,VIJAYAWADA JN,BZA,0.0,SWR,80.61864800000000,16.518262
6509,SBC DNR HUMSAFAR,WARANGAL,WL,0.0,SWR,79.604929,17.972477
6509,SBC DNR HUMSAFAR,BALHARSHAH,BPQ,0.0,SWR,79.3485858,19.8490173
6509,SBC DNR HUMSAFAR,NAGPUR,NGP,0.0,SWR,79.089004,21.153567
6509,SBC DNR HUMSAFAR,ITARSI JN,ET,0.0,SWR,77.767128,22.608258
6509,SBC DNR HUMSAFAR,JABALPUR,JBP,0.0,SWR,79.950919,23.164636
6509,SBC DNR HUMSAFAR,SATNA,STA,0.0,SWR,80.827717,24.568619
6509,SBC DNR HUMSAFAR,PRAYAGRAJ CHHEOKI,PCOI,0.0,SWR,,
6509,SBC DNR HUMSAFAR,PT DEEN DAYAL UPADHYAY JN,DDU,0.0,SWR,,
6509,SBC DNR HUMSAFAR,ARA,ARA,0.0,SWR,84.66259600000000,25.548889
6509,SBC DNR HUMSAFAR,DANAPUR,DNR,0.0,SWR,85.044629,25.581921
6510,DNR SBC HUMSAFAR,DANAPUR,DNR,0.0,SWR,85.044629,25.581921
6510,DNR SBC HUMSAFAR,ARA,ARA,0.0,SWR,84.66259600000000,25.548889
6510,DNR SBC HUMSAFAR,PT DEEN DAYAL UPADHYAY JN,DDU,0.0,SWR,,
6510,DNR SBC HUMSAFAR,PRAYAGRAJ CHHEOKI,PCOI,0.0,SWR,,
6510,DNR SBC HUMSAFAR,SATNA,STA,0.0,SWR,80.827717,24.568619
6510,DNR SBC HUMSAFAR,JABALPUR,JBP,0.0,SWR,79.950919,23.164636
6510,DNR SBC HUMSAFAR,ITARSI JN,ET,0.0,SWR,77.767128,22.608258
6510,DNR SBC HUMSAFAR,NAGPUR,NGP,0.0,SWR,79.089004,21.153567
6510,DNR SBC HUMSAFAR,BALHARSHAH,BPQ,0.0,SWR,79.3485858,19.8490173
6510,DNR SBC HUMSAFAR,WARANGAL,WL,0.0,SWR,79.604929,17.972477
6510,DNR SBC HUMSAFAR,VIJAYAWADA JN,BZA,0.0,SWR,80.61864800000000,16.518262
6510,DNR SBC HUMSAFAR,PERAMBUR,PER,0.0,SWR,80.24453300000000,13.10702
6510,DNR SBC HUMSAFAR,ARAKKONAM,AJJ,0.0,SWR,79.667991,13.081512
6510,DNR SBC HUMSAFAR,KATPADI JN,KPD,0.0,SWR,79.13534100000000,12.972734
6510,DNR SBC HUMSAFAR,JOLARPETTAI,JTJ,0.0,SWR,78.57782000000000,12.560852
6510,DNR SBC HUMSAFAR,KSR BANGALORE CY JN,SBC,0.0,SWR,77.56808300000000,12.977595
9065,CPR HUMSAFAR SPL,SURAT,ST,0.0,WR,72.840793,21.206568
9065,CPR HUMSAFAR SPL,UDHNA JN,UDN,0.0,WR,72.851461,21.171156
9065,CPR HUMSAFAR SPL,NANDURBAR,NDB,0.0,WR,74.246482,21.374812
9065,CPR HUMSAFAR SPL,BHUSAVAL JN,BSL,0.0,WR,75.78867170000000,21.0472812
9065,CPR HUMSAFAR SPL,ITARSI JN,ET,0.0,WR,77.767128,22.608258
9065,CPR HUMSAFAR SPL,JABALPUR,JBP,0.0,WR,79.950919,23.164636
9065,CPR HUMSAFAR SPL,PRAYAGRAJ CHHEOKI,PCOI,0.0,WR,,
9065,CPR HUMSAFAR SPL,VARANASI JN,BSB,0.0,WR,82.986468,25.327281
9065,CPR HUMSAFAR SPL,JAUNPUR JN,JNU,0.0,WR,82.69969600000000,25.762849
9065,CPR HUMSAFAR SPL,KERAKAT H,KCT,0.0,WR,82.924798,25.645355
9065,CPR HUMSAFAR SPL,CHHAPRA,CPR,0.0,WR,84.725004,25.78832
9447,ADI PNBE SF SPL,AHMEDABAD JN,ADI,0.0,WR,72.601516,23.025515
9447,ADI PNBE SF SPL,CHHAYAPURI,CYI,0.0,WR,73.179698,22.388284
9447,ADI PNBE SF SPL,RATLAM JN,RTM,0.0,WR,75.050826,23.34038
9447,ADI PNBE SF SPL,KOTA JN,KOTA,0.0,WR,75.8805,25.223553
9447,ADI PNBE SF SPL,AGRA FORT,AF,0.0,WR,78.0191,27.183308
9447,ADI PNBE SF SPL,KANPUR CENTRAL,CNB,0.0,WR,80.350966,26.45424
9447,ADI PNBE SF SPL,PT DEEN DAYAL UPADHYAY JN,DDU,0.0,WR,,
9447,ADI PNBE SF SPL,PATNA JN,PNBE,0.0,WR,85.136824,25.60256
9448,PNBE ADI SPL,PATNA JN,PNBE,0.0,WR,85.136824,25.60256
9448,PNBE ADI SPL,PT DEEN DAYAL UPADHYAY JN,DDU,0.0,WR,,
9448,PNBE ADI SPL,KANPUR CENTRAL,CNB,0.0,WR,80.350966,26.45424
9448,PNBE ADI SPL,AGRA FORT,AF,0.0,WR,78.0191,27.183308
9448,PNBE ADI SPL,KOTA JN,KOTA,0.0,WR,75.8805,25.223553
9448,PNBE ADI SPL,RATLAM JN,RTM,0.0,WR,75.050826,23.34038
9448,PNBE ADI SPL,CHHAYAPURI,CYI,0.0,WR,73.179698,22.388284
9448,PNBE ADI SPL,AHMEDABAD JN,ADI,0.0,WR,72.601516,23.025515
9465,ADI DBG SPL,AHMEDABAD JN,ADI,1.0,WR,72.601516,23.025515
9465,ADI DBG SPL,CHHAYAPURI,CYI,13.0,WR,73.179698,22.388284
9465,ADI DBG SPL,RATLAM JN,RTM,45.0,WR,75.050826,23.34038
9465,ADI DBG SPL,UJJAIN JN,UJN,29.0,WR,75.781403,23.178154
9465,ADI DBG SPL,GUNA,GUNA,0.0,WR,77.314104,24.6405
9465,ADI DBG SPL,BINA JN,BINA,5.0,WR,78.1831998,24.1709735
9465,ADI DBG SPL,V LAKSHMIBAI JHANSI,VGLJ,36.0,WR,78.5533,25.4439
9465,ADI DBG SPL,KANPUR CENTRAL,CNB,57.0,WR,80.350966,26.45424
9465,ADI DBG SPL,LUCKNOW NR,LKO,96.0,WR,80.925291,26.830675
9465,ADI DBG SPL,AYODHYA CANT,AYC,81.0,WR,,
9465,ADI DBG SPL,SHAHGANJ JN,SHG,52.0,WR,82.679662,26.061399
9465,ADI DBG SPL,CHHAPRA,CPR,8.0,WR,84.725004,25.78832
