Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
22318,SDAH HUMSAFAR,JAMMU TAWI,JAT,1,ER,74.880117,32.706975
22318,SDAH HUMSAFAR,LUDHIANA JN,LDH,12,ER,75.84787300000000,30.912367
22318,SDAH HUMSAFAR,AMBALA CANT JN,UMB,8,ER,76.826966,30.338918
22318,SDAH HUMSAFAR,SAHARANPUR,SRE,5,ER,77.54173900000000,29.960529
22318,SDAH HUMSAFAR,MORADABAD,MB,12,ER,78.765801,28.831621
22318,SDAH HUMSAFAR,BAREILLY,BE,50,ER,79.4108444,28.3371543
22318,SDAH HUMSAFAR,LUCKNOW NR,LKO,74,ER,80.925291,26.830675
22318,SDAH HUMSAFAR,VARANASI JN,BSB,22,ER,82.986468,25.327281
22318,SDAH HUMSAFAR,PT DEEN DAYAL UPADHYAY JN,DDU,26,ER,,
22318,SDAH HUMSAFAR,GAYA JN,GAYA,35,ER,84.999294,24.803978
22318,SDAH HUMSAFAR,DHANBAD JN,DHN,41,ER,86.428956,23.790966
22318,SDAH HUMSAFAR,ASANSOL JN,ASN,42,ER,86.975152,23.691441
22318,SDAH HUMSAFAR,SEALDAH,SDAH,13,ER,88.374713,22.566758
