Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
12752,JAT NED HUMSAFAR,JAMMU TAWI,JAT,0,SCR,74.880117,32.706975
12752,JAT NED HUMSAFAR,PATHANKOT CANTT,PTKC,0,SCR,75.636044,32.2593
12752,JAT NED HUMSAFAR,JALANDHAR CANT,JRC,0,SCR,75.63210600000000,31.306235
12752,JAT NED HUMSAFAR,LUDHIANA JN,LDH,0,SCR,75.84787300000000,30.912367
12752,JAT NED HUMSAFAR,MALERKOTLA,MET,0,SCR,75.87169200000000,30.529403
12752,JAT NED HUMSAFAR,DHURI JN,DUI,0,SCR,75.86660300000000,30.372741
12752,JAT NED HUMSAFAR,PATIALA,PTA,0,SCR,76.4041,30.344249
12752,JAT NED HUMSAFAR,RAJPURA JN,RPJ,0,SCR,76.5940201901,30.486458949
12752,JAT NED HUMSAFAR,AMBALA CANT JN,UMB,0,SCR,76.826966,30.338918
12752,JAT NED HUMSAFAR,NEW DELHI,NDLS,0,SCR,77.22000400000000,28.642314
12752,JAT NED HUMSAFAR,MATHURA JN,MTJ,0,SCR,77.67311700000000,27.480145
12752,JAT NED HUMSAFAR,AGRA CANTT,AGC,0,SCR,77.990153,27.157992
12752,JAT NED HUMSAFAR,GWALIOR,GWL,0,SCR,78.18229200000000,26.216483
12752,JAT NED HUMSAFAR,V LAKSHMIBAI JHANSI,VGLJ,0,SCR,78.5533,25.4439
12752,JAT NED HUMSAFAR,BINA JN,BINA,0,SCR,78.1831998,24.1709735
12752,JAT NED HUMSAFAR,RANI KAMLAPATI,RKMP,0,SCR,77.4401,23.2216
12752,JAT NED HUMSAFAR,ITARSI JN,ET,0,SCR,77.767128,22.608258
12752,JAT NED HUMSAFAR,KHANDWA,KNW,0,SCR,76.353227,21.823596
12752,JAT NED HUMSAFAR,MALKAPUR,MKU,0,SCR,76.202946,20.891974
12752,JAT NED HUMSAFAR,SHEGAON,SEG,0,SCR,76.690331,20.801724
12752,JAT NED HUMSAFAR,AKOLA JN,AK,0,SCR,77.005497,20.723084
12752,JAT NED HUMSAFAR,WASHIM,WHM,0,SCR,77.147986,20.103101
12752,JAT NED HUMSAFAR,HINGOLI DECCAN,HNL,0,SCR,77.146758,19.726357
12752,JAT NED HUMSAFAR,PURNA JN,PAU,0,SCR,77.024985,19.180527
12752,JAT NED HUMSAFAR,H SAHIB NANDED,NED,0,SCR,77.31047800000000,19.160522
