Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
12998,BME BDTS HUMSAFAR,BARMER,BME,4,WR,71.397067,25.7445219
12998,BME BDTS HUMSAFAR,BAYTU,BUT,10,WR,71.76868,25.897538
12998,BME BDTS HUMSAFAR,BALOTRA JN,BLT,15,WR,72.248683,25.830071
12998,BME BDTS HUMSAFAR,SAMDHARI JN,SMR,33,WR,72.57300700000000,25.837202
12998,BME BDTS HUMSAFAR,MOKALSAR,MKSR,20,WR,72.5180445245,25.625350216
12998,BME BDTS HUMSAFAR,JALOR,JOR,23,WR,72.63429,25.35418
12998,BME BDTS HUMSAFAR,MODRAN,MON,26,WR,72.447631,25.187428
12998,BME BDTS HUMSAFAR,MARWAR BHINMAL,MBNL,25,WR,72.275398,25.000633
12998,BME BDTS HUMSAFAR,RANIWARA,RNV,24,WR,72.204293,24.750455
12998,BME BDTS HUMSAFAR,BHILDI,BLDI,17,WR,72.008187,24.194251
12998,BME BDTS HUMSAFAR,PATAN,PTN,15,WR,72.13167200000000,23.853292
12998,BME BDTS HUMSAFAR,MAHESANA JN,MSH,27,WR,72.388708,23.602623
12998,BME BDTS HUMSAFAR,AHMEDABAD JN,ADI,15,WR,72.601516,23.025515
12998,BME BDTS HUMSAFAR,NADIAD JN,ND,10,WR,72.855718,22.694106
12998,BME BDTS HUMSAFAR,ANAND JN,ANND,14,WR,72.965733,22.561307
12998,BME BDTS HUMSAFAR,VADODARA JN,BRC,21,WR,73.181065,22.310756
12998,BME BDTS HUMSAFAR,ANKLESHWAR JN,AKV,26,WR,73.000633,21.623889
12998,BME BDTS HUMSAFAR,UDHNA JN,UDN,14,WR,72.851461,21.171156
12998,BME BDTS HUMSAFAR,SURAT,ST,22,WR,72.840793,21.206568
12998,BME BDTS HUMSAFAR,VALSAD,BL,29,WR,72.9335291,20.6085595
12998,BME BDTS HUMSAFAR,VAPI,VAPI,30,WR,72.90912700000000,20.374338
12998,BME BDTS HUMSAFAR,BORIVALI,BVI,21,WR,72.85641200000000,19.228739
12998,BME BDTS HUMSAFAR,BANDRA TERMINUS,BDTS,6,WR,72.840535,19.061911
