Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
2053,HW ASR JNSHTBDI,,nan,,,,
2054,ASR HW JNSHTBDI,,nan,,,,
2055,DDN JSHT SPL,,nan,,,,
2056,DDN NDLS JSHT SPL,,nan,,,,
2057,UHL JANSHT SPL,,nan,,,,
2061,JBP JANSHATABDI,,nan,,,,
2062,HBJ JANSHATABDI,,nan,,,,
2066,AII JAN SHATABDI,,nan,,,,
2067,JAN SHATABDI EX,,nan,,,,
2068,JAN SHATABDI EX,,nan,,,,
2069,JANSHATABDI EXP,,nan,,,,
12021,BBN JANSHATABDI,HOWRAH JN,HWH,117.0,SER,88.34099900000000,22.584078
12021,BBN JANSHATABDI,KHARAGPUR JN,KGP,135.0,SER,87.32845600000000,22.341432
12021,BBN JANSHATABDI,JHARGRAM,JGM,143.0,SER,86.9985316705,22.4549644863
12021,BBN JANSHATABDI,GHATSILA,GTS,146.0,SER,86.479768,22.58616
12021,BBN JANSHATABDI,TATANAGAR JN,TATA,150.0,SER,86.20056000000000,22.768954
12021,BBN JANSHATABDI,SINI JN,SINI,157.0,SER,85.94702600000000,22.78946
12021,BBN JANSHATABDI,CHAIBASA,CBSA,162.0,SER,85.812342,22.560494
12021,BBN JANSHATABDI,DANGOAPOSI,DPS,158.0,SER,85.59273,22.167964
12021,BBN JANSHATABDI,NOAMUNDI,NOMD,156.0,SER,85.513684,22.15311
12021,BBN JANSHATABDI,BARA JAMDA,BJMD,156.0,SER,85.41239200000000,22.1665327
12021,BBN JANSHATABDI,BARABIL,BBN,88.0,SER,85.36905800000000,22.104577
12022,BBN JANSHATABDI,BARABIL,BBN,155.0,SER,85.36905800000000,22.104577
12022,BBN JANSHATABDI,BARA JAMDA,BJMD,195.0,SER,85.41239200000000,22.1665327
12022,BBN JANSHATABDI,NOAMUNDI,NOMD,199.0,SER,85.513684,22.15311
12022,BBN JANSHATABDI,DANGOAPOSI,DPS,204.0,SER,85.59273,22.167964
12022,BBN JANSHATABDI,CHAIBASA,CBSA,223.0,SER,85.812342,22.560494
12022,BBN JANSHATABDI,SINI JN,SINI,251.0,SER,85.94702600000000,22.78946
12022,BBN JANSHATABDI,TATANAGAR JN,TATA,278.0,SER,86.20056000000000,22.768954
12022,BBN JANSHATABDI,GHATSILA,GTS,282.0,SER,86.479768,22.58616
12022,BBN JANSHATABDI,JHARGRAM,JGM,294.0,SER,86.9985316705,22.4549644863
12022,BBN JANSHATABDI,KHARAGPUR JN,KGP,298.0,SER,87.32845600000000,22.341432
12022,BBN JANSHATABDI,SANTRAGACHI JN,SRC,332.0,SER,88.284011,22.58393
12022,BBN JANSHATABDI,HOWRAH JN,HWH,350.0,SER,88.34099900000000,22.584078
12023,JANSHATABDI EXP,HOWRAH JN,HWH,11.0,ECR,88.34099900000000,22.584078
12023,JANSHATABDI EXP,DURGAPUR,DGR,20.0,ECR,87.297902,23.495046
12023,JANSHATABDI EXP,ASANSOL JN,ASN,19.0,ECR,86.975152,23.691441
12023,JANSHATABDI EXP,CHITTARANJAN,CRJ,25.0,ECR,86.878036,23.857138
12023,JANSHATABDI EXP,JAMTARA,JMT,25.0,ECR,86.805183,23.958904
12023,JANSHATABDI EXP,MADHUPUR JN,MDP,30.0,ECR,86.642183,24.270633
12023,JANSHATABDI EXP,JASIDIH JN,JSME,33.0,ECR,86.644255,24.514517
12023,JANSHATABDI EXP,JHAJHA,JAJ,13.0,ECR,86.399854,24.779456
12023,JANSHATABDI EXP,JAMUI,JMU,19.0,ECR,86.25477500000000,24.971949
12023,JANSHATABDI EXP,LUCKEESARAI JN,LKR,26.0,ECR,86.093210587,25.1716617005
12023,JANSHATABDI EXP,HATHIDAH JN,HTZ,35.0,ECR,85.987826,25.367027
