Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
12057,DLPC JANSHTABDI,NEW DELHI,NDLS,2,NR,77.22000400000000,28.642314
12057,DLPC JANSHTABDI,SUBZI MANDI,SZM,9,NR,77.199696,28.668683
12057,DLPC JANSHTABDI,SONIPAT JN,SNP,22,NR,77.017343,28.989423
12057,DLPC JANSHTABDI,PANIPAT JN,PNP,32,NR,76.96379300000000,29.388948
12057,DLPC JANSHTABDI,KARNAL,KUN,39,NR,76.969821,29.694566
12057,DLPC JANSHTABDI,KURUKSHETRA JN,KKDE,41,NR,76.852795,29.96944
12057,DLPC JANSHTABDI,AMBALA CANT JN,UMB,8,NR,76.826966,30.338918
12057,DLPC JANSHTABDI,CHANDIGARH,CDG,8,NR,76.82208,30.7019773
12057,DLPC JANSHTABDI,SAHIBZADA ASNGR,SASN,10,NR,76.739952,30.666125
12057,DLPC JANSHTABDI,KHARAR,KARR,13,NR,76.6360518042,30.7263803992
12057,DLPC JANSHTABDI,MORINDA,MRND,15,NR,76.502461,30.791519
12057,DLPC JANSHTABDI,RUPNAGAR,RPAR,18,NR,76.533241,30.972816
12057,DLPC JANSHTABDI,KIRATPUR SAHIB,KART,22,NR,76.563302,31.186811
12057,DLPC JANSHTABDI,ANANDPUR SAHIB,ANSB,23,NR,76.50060350000000,31.2305136
12057,DLPC JANSHTABDI,NANGAL DAM,NLDM,13,NR,76.37261500000000,31.370543
12057,DLPC JANSHTABDI,UNA HIMACHAL,UHL,17,NR,76.27566,31.478782
12057,DLPC JANSHTABDI,AMBANDAURA,AADR,13,NR,76.110391,31.670727
12057,DLPC JANSHTABDI,DAULATPUR CHOWK,DLPC,1,NR,,
