Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
12061,JBP JANSHATABDI,RANI KAMLAPATI,RKMP,3,WCR,77.4401,23.2216
12061,JBP JANSHATABDI,NARMADAPURAM,NDPM,16,WCR,,
12061,JBP JANSHATABDI,ITARSI JN,ET,13,WCR,77.767128,22.608258
12061,JBP JANSHATABDI,PIPARIYA,PPI,16,WCR,78.354538,22.753941
12061,JBP JANSHATABDI,GADARWARA,GAR,19,WCR,78.79173400000000,22.899459
12061,JBP JANSHATABDI,KARELI,KY,22,WCR,79.066765,22.932344
12061,JBP JANSHATABDI,NARSINGHPUR,NU,23,WCR,79.214385,22.943112
12061,JBP JANSHATABDI,SHRIDHAM,SRID,25,WCR,79.484397,23.033843
12061,JBP JANSHATABDI,MADAN MAHAL,MML,15,WCR,79.920425,23.159475
12061,JBP JANSHATABDI,JABALPUR,JBP,7,WCR,79.950919,23.164636
