Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
14624,PATALKOT EXP,FIROZPUR CANT,FZR,1,NR,74.61843900000000,30.942486
14624,PATALKOT EXP,FARIDKOT,FDK,9,NR,74.76138000000000,30.682857
14624,PATALKOT EXP,KOT KAPURA,KKP,11,NR,74.818173,30.578496
14624,PATALKOT EXP,GANGSAR JAITU,GJUT,14,NR,74.87951100000000,30.445082
14624,PATALKOT EXP,GONEANA BHAI JAGTA,GNA,13,NR,74.90948,30.318715
14624,PATALKOT EXP,BHATINDA JN,BTI,1,NR,74.932083,30.209488
14624,PATALKOT EXP,MAUR,MAUR,10,NR,75.22772,30.062746
14624,PATALKOT EXP,MANSA,MSZ,11,NR,75.402584,29.989695
14624,PATALKOT EXP,BUDHLADA,BLZ,13,NR,75.5496866,29.9217422
14624,PATALKOT EXP,BARETA,BRZ,14,NR,75.69240260000000,29.8593339
14624,PATALKOT EXP,JAKHAL JN,JHL,14,NR,75.8245009833,29.8018131127
14624,PATALKOT EXP,TOHANA,TUN,13,NR,75.904581,29.7266
14624,PATALKOT EXP,NARWANA JN,NRW,19,NR,76.109286,29.588632
14624,PATALKOT EXP,UCHANA,UCA,20,NR,76.178544,29.466064
14624,PATALKOT EXP,JIND JN,JIND,21,NR,76.28961700000000,29.328876
14624,PATALKOT EXP,ROHTAK JN,ROK,22,NR,76.57955000000000,28.890904
14624,PATALKOT EXP,BAHADURGARH,BGZ,25,NR,76.930886,28.700863
14624,PATALKOT EXP,NANGLOI,NNO,30,NR,77.05696600000000,28.686261
14624,PATALKOT EXP,SHAKURBASTI,SSB,27,NR,77.1299115857,28.6802273287
14624,PATALKOT EXP,DELHI SAFDARJNG,DSJ,34,NR,77.186969,28.582121
14624,PATALKOT EXP,MATHURA JN,MTJ,43,NR,77.67311700000000,27.480145
14624,PATALKOT EXP,AGRA CANTT,AGC,52,NR,77.990153,27.157992
14624,PATALKOT EXP,GWALIOR,GWL,56,NR,78.18229200000000,26.216483
14624,PATALKOT EXP,DABRA,DBA,64,NR,78.331015,25.881197
14624,PATALKOT EXP,V LAKSHMIBAI JHANSI,VGLJ,55,NR,78.5533,25.4439
14624,PATALKOT EXP,LALITPUR,LAR,81,NR,78.395791,24.688222
14624,PATALKOT EXP,BINA JN,BINA,71,NR,78.1831998,24.1709735
14624,PATALKOT EXP,GANJ BASODA,BAQ,82,NR,77.944826,23.845347
14624,PATALKOT EXP,VIDISHA,BHS,85,NR,77.8148356,23.5222886
14624,PATALKOT EXP,BHOPAL JN,BPL,89,NR,77.4131428577,23.2668843843
14624,PATALKOT EXP,RANI KAMLAPATI,RKMP,94,NR,77.4401,23.2216
14624,PATALKOT EXP,NARMADAPURAM,NDPM,100,NR,,
14624,PATALKOT EXP,ITARSI JN,ET,84,NR,77.767128,22.608258
14624,PATALKOT EXP,GHORADONGRI,GDYA,82,NR,78.001987,22.126423
14624,PATALKOT EXP,BETUL,BZU,88,NR,77.90589700000000,21.896393
14624,PATALKOT EXP,AMLA JN,AMLA,73,NR,78.123187,21.919717
14624,PATALKOT EXP,BORDHAL,BXY,75,NR,78.348164,21.997011
14624,PATALKOT EXP,NAWAGAON,NVG,73,NR,78.436386,22.088704
14624,PATALKOT EXP,JUNNOR DEO,JNO,82,NR,78.592052,22.191279
14624,PATALKOT EXP,PARASIA,PUX,80,NR,78.76432,22.193186
14624,PATALKOT EXP,CHHINDWARA JN,CWA,61,NR,78.953212,22.058201
14624,PATALKOT EXP,CHOURARI,CHUA,65,NR,79.246686,22.057632
14624,PATALKOT EXP,SEONI,SEY,31,NR,79.545769,22.075431
