Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
17643,CIRCAR EXPRESS,CHENGALPATTU,CGL,1,SCR,79.981519,12.692864
17643,CIRCAR EXPRESS,TAMBARAM,TBM,8,SCR,80.1191573807,12.9260356894
17643,CIRCAR EXPRESS,CHENNAI EGMORE,MS,11,SCR,80.260193,13.077678
17643,CIRCAR EXPRESS,GUMMIDIPUNDI,GPD,20,SCR,80.123431,13.409631
17643,CIRCAR EXPRESS,SULLURUPETA,SPE,25,SCR,80.018161,13.696463
17643,CIRCAR EXPRESS,NAYUDUPETA,NYP,30,SCR,79.900898,13.908321
17643,CIRCAR EXPRESS,GUDUR JN,GDR,30,SCR,79.845121,14.148227
17643,CIRCAR EXPRESS,NELLORE,NLR,44,SCR,79.989383,14.460592
17643,CIRCAR EXPRESS,BITRAGUNTA,BTTR,63,SCR,79.98314600000000,14.7685848
17643,CIRCAR EXPRESS,KAVALI,KVZ,73,SCR,79.988271,14.915993
17643,CIRCAR EXPRESS,SINGARAYAKONDA,SKM,79,SCR,80.027126,15.253118
17643,CIRCAR EXPRESS,ONGOLE,OGL,91,SCR,80.057404,15.498064
17643,CIRCAR EXPRESS,VETAPALEMU,VTM,100,SCR,80.30065,15.783376
17643,CIRCAR EXPRESS,CHIRALA,CLX,101,SCR,80.353602,15.830755
17643,CIRCAR EXPRESS,BAPATLA,BPP,102,SCR,80.46842480000000,15.9086144
17643,CIRCAR EXPRESS,NIDUBROLU,NDO,102,SCR,80.557243,16.067904
17643,CIRCAR EXPRESS,TENALI JN,TEL,58,SCR,80.640413,16.242409
17643,CIRCAR EXPRESS,NEW GUNTUR,NGNT,28,SCR,80.4582228,16.3100404
17643,CIRCAR EXPRESS,MANGALAGIRI,MAG,75,SCR,80.564992,16.438256
17643,CIRCAR EXPRESS,VIJAYAWADA JN,BZA,53,SCR,80.61864800000000,16.518262
17643,CIRCAR EXPRESS,GUDIVADA JN,GDV,56,SCR,80.987594,16.429888
17643,CIRCAR EXPRESS,KAIKOLUR,KKLR,60,SCR,81.21831600000000,16.551026
17643,CIRCAR EXPRESS,AKIVIDU,AKVD,65,SCR,81.36905500000000,16.582654
17643,CIRCAR EXPRESS,BHIMAVARAM TOWN,BVRT,26,SCR,81.516853,16.547348
17643,CIRCAR EXPRESS,TANUKU,TNKU,58,SCR,81.674075,16.752035
17643,CIRCAR EXPRESS,NIDADAVOLU JN,NDD,79,SCR,81.67550400000000,16.898297
17643,CIRCAR EXPRESS,GODAVARI,GVN,90,SCR,81.77083,17.007707
17643,CIRCAR EXPRESS,RAJAMUNDRY,RJY,101,SCR,81.783901,16.984159
17643,CIRCAR EXPRESS,DWARAPUDI,DWP,123,SCR,81.922661,16.927556
17643,CIRCAR EXPRESS,ANAPARTI,APT,125,SCR,81.953181,16.935817
17643,CIRCAR EXPRESS,SAMALKOT JN,SLO,89,SCR,82.168724,17.044827
17643,CIRCAR EXPRESS,KAKINADA TOWN,CCT,96,SCR,82.2329218,16.9670099
