Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
11425,PUNE KOP DEMU EXP,PUNE JN,PUNE,17,CR,73.873086,18.529378
11425,PUNE KOP DEMU EXP,SASVAD ROAD,SSV,24,CR,73.9546461121,18.4732023111
11425,PUNE KOP DEMU EXP,JEJURI,JJR,36,CR,74.171451,18.286557
11425,PUNE KOP DEMU EXP,NIRA,NIRA,28,CR,74.20908244200000,18.1049649229
11425,PUNE KOP DEMU EXP,LONAND JN,LNN,27,CR,74.190477,18.040769
11425,PUNE KOP DEMU EXP,WATHAR,WTR,29,CR,74.135767,17.89054
11425,PUNE KOP DEMU EXP,SATARA,STR,15,CR,74.063727,17.688361
11425,PUNE KOP DEMU EXP,KOREGAON,KRG,24,CR,74.147622,17.690976
11425,PUNE KOP DEMU EXP,RAHIMATPUR,RMP,32,CR,74.17217,17.612152
11425,PUNE KOP DEMU EXP,TARGAON,TAZ,35,CR,74.155817,17.514242
11425,PUNE KOP DEMU EXP,MASUR,MSR,36,CR,74.14420900000000,17.404241
11425,PUNE KOP DEMU EXP,KARAD,KRD,21,CR,74.215686,17.310011
11425,PUNE KOP DEMU EXP,SHENOLI,SNE,22,CR,74.252881,17.200729
11425,PUNE KOP DEMU EXP,BHAVANI NAGAR,BVNR,25,CR,74.312946,17.156895
11425,PUNE KOP DEMU EXP,TAKARI,TKR,23,CR,74.36337600000000,17.129756
11425,PUNE KOP DEMU EXP,KIRLOSKARVADI,KOV,17,CR,74.41635800000000,17.084152
11425,PUNE KOP DEMU EXP,BHILAVDI,BVQ,17,CR,74.51678100000000,17.008048
11425,PUNE KOP DEMU EXP,SANGLI,SLI,16,CR,74.588939,16.858669
11425,PUNE KOP DEMU EXP,VISHRAMBAG,VRB,15,CR,74.602231,16.85057
11425,PUNE KOP DEMU EXP,MIRAJ JN,MRJ,16,CR,74.638839,16.819946
11425,PUNE KOP DEMU EXP,JAYASINGPUR,JSP,15,CR,74.551613,16.791339
11425,PUNE KOP DEMU EXP,HATKANAGALE,HTK,13,CR,74.42206700000000,16.748424
11425,PUNE KOP DEMU EXP,RUKADI,RKD,18,CR,74.356715,16.724872
11425,PUNE KOP DEMU EXP,VALIVADE,VV,17,CR,74.298965,16.703574
11425,PUNE KOP DEMU EXP,C SHAHUMHARAJ T,KOP,1,CR,74.237695,16.70257
