Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
1091,KNW SWD SPL,KHANDWA,KNW,0.0,CR,76.353227,21.823596
1091,KNW SWD SPL,AJANTI,ANI,0.0,CR,76.285956,21.893954
1091,KNW SWD SPL,ATTAR,ATR,0.0,CR,76.204918,21.998734
1091,KNW SWD SPL,KOTLAKHERI,KTKH,0.0,CR,76.173654,22.078204
1091,KNW SWD SPL,NIMAR KHERI,NKR,0.0,CR,76.150998,22.11119
1092,SWD KNW SPL,SANAWAD,SWD,0.0,CR,76.074567,22.17581
1092,SWD KNW SPL,NIMAR KHERI,NKR,4.0,CR,76.150998,22.11119
1092,SWD KNW SPL,KOTLAKHERI,KTKH,3.0,CR,76.173654,22.078204
1092,SWD KNW SPL,ATTAR,ATR,3.0,CR,76.204918,21.998734
1092,SWD KNW SPL,AJANTI,ANI,0.0,CR,76.285956,21.893954
1211,BD NK SPL,BADNERA JN,BD,27.0,CR,77.73231970000000,20.8567925
1211,BD NK SPL,MURTAJAPUR,MZR,41.0,CR,77.35482500000000,20.736468
1211,BD NK SPL,BORGAON,BGN,51.0,CR,77.1796502,20.7290593
1211,BD NK SPL,AKOLA JN,AK,54.0,CR,77.005497,20.723084
1211,BD NK SPL,SHEGAON,SEG,62.0,CR,76.690331,20.801724
1211,BD NK SPL,NANDURA,NN,65.0,CR,76.46015800000000,20.838889
1211,BD NK SPL,MALKAPUR,MKU,64.0,CR,76.202946,20.891974
1211,BD NK SPL,BODWAD,BDWD,65.0,CR,76.017046,20.9035827
1211,BD NK SPL,BHUSAVAL JN,BSL,24.0,CR,75.78867170000000,21.0472812
1211,BD NK SPL,JALGAON JN,JL,28.0,CR,75.56287500000000,21.018115
1211,BD NK SPL,PACHORA JN,PC,40.0,CR,75.34831,20.668385
1211,BD NK SPL,CHALISGAON JN,CSN,44.0,CR,74.999049,20.464109
1211,BD NK SPL,NANDGAON,NGN,37.0,CR,74.659526,20.307616
1211,BD NK SPL,MANMAD JN,MMR,36.0,CR,74.438305,20.249887
1211,BD NK SPL,LASALGAON,LS,46.0,CR,74.22597600000000,20.154848
1211,BD NK SPL,NIPHAD,NR,42.0,CR,74.079481,20.096584
1212,NK BD SPL,NASIK ROAD,NK,3.0,CR,73.841897,19.947627
1212,NK BD SPL,NIPHAD,NR,14.0,CR,74.079481,20.096584
1212,NK BD SPL,LASALGAON,LS,14.0,CR,74.22597600000000,20.154848
1212,NK BD SPL,MANMAD JN,MMR,15.0,CR,74.438305,20.249887
1212,NK BD SPL,NANDGAON,NGN,24.0,CR,74.659526,20.307616
1212,NK BD SPL,CHALISGAON JN,CSN,26.0,CR,74.999049,20.464109
1212,NK BD SPL,PACHORA JN,PC,33.0,CR,75.34831,20.668385
1212,NK BD SPL,JALGAON JN,JL,42.0,CR,75.56287500000000,21.018115
1212,NK BD SPL,BHUSAVAL JN,BSL,40.0,CR,75.78867170000000,21.0472812
1212,NK BD SPL,BODWAD,BDWD,55.0,CR,76.017046,20.9035827
1212,NK BD SPL,MALKAPUR,MKU,56.0,CR,76.202946,20.891974
1212,NK BD SPL,NANDURA,NN,57.0,CR,76.46015800000000,20.838889
1212,NK BD SPL,SHEGAON,SEG,61.0,CR,76.690331,20.801724
1212,NK BD SPL,AKOLA JN,AK,61.0,CR,77.005497,20.723084
1212,NK BD SPL,BORGAON,BGN,69.0,CR,77.1796502,20.7290593
1212,NK BD SPL,MURTAJAPUR,MZR,66.0,CR,77.35482500000000,20.736468
1212,NK BD SPL,BADNERA JN,BD,35.0,CR,77.73231970000000,20.8567925
1461,SUR DD DEMU SPL,SOLAPUR JN,SUR,119.0,CR,75.893401,17.664496
1461,SUR DD DEMU SPL,MOHOL,MO,146.0,CR,75.675995,17.805205
1461,SUR DD DEMU SPL,MADHA,MA,179.0,CR,75.546507,18.029712
1461,SUR DD DEMU SPL,KURDUVADI,KWV,187.0,CR,75.41711800000000,18.091348
1461,SUR DD DEMU SPL,KEM,KEM,217.0,CR,75.2746262701,18.1775087935
1461,SUR DD DEMU SPL,JEUR,JEUR,227.0,CR,75.16247100000000,18.260933
1461,SUR DD DEMU SPL,PAREWADI,PRWD,252.0,CR,74.952285,18.289799
1461,SUR DD DEMU SPL,BHIGWAN,BGVN,294.0,CR,74.77504200000000,18.317256
1461,SUR DD DEMU SPL,DAUND JN,DD,170.0,CR,74.578622,18.463547
1462,DD SUR DEMU SPL,DAUND JN,DD,31.0,CR,74.578622,18.463547
1462,DD SUR DEMU SPL,BHIGWAN,BGVN,90.0,CR,74.77504200000000,18.317256
1462,DD SUR DEMU SPL,PAREWADI,PRWD,92.0,CR,74.952285,18.289799
1462,DD SUR DEMU SPL,JEUR,JEUR,105.0,CR,75.16247100000000,18.260933
1462,DD SUR DEMU SPL,KEM,KEM,121.0,CR,75.2746262701,18.1775087935
1462,DD SUR DEMU SPL,KURDUVADI,KWV,132.0,CR,75.41711800000000,18.091348
