Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
68758,ABKP APR MEMU,AMBIKAPUR,ABKP,27,SECR,83.14510900000000,23.137032
68758,ABKP APR MEMU,KAMALPURGRAM,KLPG,29,SECR,83.080298,23.166227
68758,ABKP APR MEMU,BISHRAMPUR,BSPR,27,SECR,82.98289000000000,23.179178
68758,ABKP APR MEMU,KARONJI,KJZ,32,SECR,82.923013,23.282475
68758,ABKP APR MEMU,SURAJPUR ROAD,SJQ,35,SECR,82.880146,23.289233
68758,ABKP APR MEMU,SHEOPRASADNAGER,SPDR,35,SECR,82.78985700000000,23.303628
68758,ABKP APR MEMU,KATORA,KTO,36,SECR,82.7112187811,23.3115927105
68758,ABKP APR MEMU,BAIKUNTHPUR RD,BRH,40,SECR,82.5298836,23.317286
68758,ABKP APR MEMU,NAGAR,NGE,44,SECR,82.459164,23.315091
68758,ABKP APR MEMU,DARRITOLA,DTL,49,SECR,82.395751,23.289638
68758,ABKP APR MEMU,NAGPUR ROAD,NPRD,50,SECR,82.349049,23.279379
68758,ABKP APR MEMU,UDALKACHAR,UKR,52,SECR,82.291923,23.287243
68758,ABKP APR MEMU,BORIDAND,BRND,46,SECR,82.178765,23.267799
68758,ABKP APR MEMU,BIJURI,BJRI,38,SECR,82.1189461,23.2503386
68758,ABKP APR MEMU,BAIHATOLA,BATL,40,SECR,82.05862,23.231204
68758,ABKP APR MEMU,KOTMA,KTMA,40,SECR,81.979022,23.202833
68758,ABKP APR MEMU,HARRAD,HRV,42,SECR,81.90404000000000,23.161136
68758,ABKP APR MEMU,DHURWASIN,DRSN,27,SECR,81.845641,23.129052
68758,ABKP APR MEMU,MAUHARI,MZH,41,SECR,81.769465,23.118661
68758,ABKP APR MEMU,ANUPPUR JN,APR,30,SECR,81.695967,23.117312
