Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
12954,AG KRANTI RJDHN,H NIZAMUDDIN,NZM,5,WR,77.254249,28.58733
12954,AG KRANTI RJDHN,MATHURA JN,MTJ,11,WR,77.67311700000000,27.480145
12954,AG KRANTI RJDHN,SAWAI MADHOPUR,SWM,16,WR,76.35622,26.018279
12954,AG KRANTI RJDHN,KOTA JN,KOTA,18,WR,75.8805,25.223553
12954,AG KRANTI RJDHN,RATLAM JN,RTM,15,WR,75.050826,23.34038
12954,AG KRANTI RJDHN,VADODARA JN,BRC,9,WR,73.181065,22.310756
12954,AG KRANTI RJDHN,BHARUCH JN,BH,9,WR,72.997689,21.706907
12954,AG KRANTI RJDHN,SURAT,ST,9,WR,72.840793,21.206568
12954,AG KRANTI RJDHN,VALSAD,BL,9,WR,72.9335291,20.6085595
12954,AG KRANTI RJDHN,VAPI,VAPI,16,WR,72.90912700000000,20.374338
12954,AG KRANTI RJDHN,BORIVALI,BVI,21,WR,72.85641200000000,19.228739
12954,AG KRANTI RJDHN,MUMBAI CENTRAL,MMCT,9,WR,72.8194,18.9697
