Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
22823,BBS RAJDHANI EXP,BHUBANESWAR,BBS,34,ECOR,85.84259500000000,20.265388
22823,BBS RAJDHANI EXP,CUTTACK,CTC,41,ECOR,85.90156,20.466588
22823,BBS RAJDHANI EXP,BHADRAKH,BHC,38,ECOR,86.5162305,21.0917458
22823,BBS RAJDHANI EXP,BALASORE,BLS,48,ECOR,86.91958200000000,21.500521
22823,BBS RAJDHANI EXP,HIJILLI,HIJ,48,ECOR,87.32016900000000,22.319921
22823,BBS RAJDHANI EXP,TATANAGAR JN,TATA,54,ECOR,86.20056000000000,22.768954
22823,BBS RAJDHANI EXP,MURI,MURI,63,ECOR,85.8669906885,23.376284371
22823,BBS RAJDHANI EXP,BOKARO STL CITY,BKSC,60,ECOR,86.08501600000000,23.656551
22823,BBS RAJDHANI EXP,NSC BOSE J GOMO,GMO,54,ECOR,86.14823,23.873106
22823,BBS RAJDHANI EXP,KODERMA,KQR,66,ECOR,85.52945800000000,24.434741
22823,BBS RAJDHANI EXP,GAYA JN,GAYA,55,ECOR,84.999294,24.803978
22823,BBS RAJDHANI EXP,PT DEEN DAYAL UPADHYAY JN,DDU,60,ECOR,,
22823,BBS RAJDHANI EXP,PRAYAGRAJ JN,PRYJ,72,ECOR,81.8253,25.4453
22823,BBS RAJDHANI EXP,KANPUR CENTRAL,CNB,80,ECOR,80.350966,26.45424
22823,BBS RAJDHANI EXP,NEW DELHI,NDLS,88,ECOR,77.22000400000000,28.642314
