Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
12015,AJMER SHTBDI,NEW DELHI,NDLS,1,NR,77.22000400000000,28.642314
12015,AJMER SHTBDI,DELHI CANTT,DEC,6,NR,77.116577,28.613534
12015,AJMER SHTBDI,GURGAON,GGN,8,NR,77.010739,28.489165
12015,AJMER SHTBDI,REWARI,RE,7,NR,76.609414,28.202779
12015,AJMER SHTBDI,ALWAR,AWR,16,NR,76.62126500000000,27.559273
12015,AJMER SHTBDI,BANDIKUI JN,BKI,18,NR,76.56672300000000,27.039271
12015,AJMER SHTBDI,KHATIPURA,KWP,8,NR,75.89049800000000,26.835709
12015,AJMER SHTBDI,GANDHINAGAR JPR,GADJ,17,NR,75.79828000000000,26.873067
12015,AJMER SHTBDI,JAIPUR,JP,15,NR,75.786923,26.920203
12015,AJMER SHTBDI,KISHANGARH,KSG,13,NR,74.855553,26.588968
12015,AJMER SHTBDI,DAURAI,DOZ,2,NR,74.619546,26.395604
