Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
2003,NDLS SWARNA SHATABDI,PUNE JN,PUNE,55.0,NR,73.873086,18.529378
2003,NDLS SWARNA SHATABDI,SATARA,STR,59.0,NR,74.063727,17.688361
2003,NDLS SWARNA SHATABDI,MIRAJ JN,MRJ,77.0,NR,74.638839,16.819946
2003,NDLS SWARNA SHATABDI,BELAGAVI,BGM,67.0,NR,74.5095639,15.8492433
2003,NDLS SWARNA SHATABDI,DHARWAR,DWR,63.0,NR,75.004552,15.440386
2003,NDLS SWARNA SHATABDI,HUBBALLI JN,UBL,60.0,NR,75.148104,15.350302
2004,LJN SWARNA SHATABDI,,nan,,,,
2005,KALKA SHTBDI SPL,NAGPUR,NGP,0.0,NR,79.089004,21.153567
2005,KALKA SHTBDI SPL,SEVAGRAM,SEGM,0.0,NR,78.619225,20.739076
2005,KALKA SHTBDI SPL,CHANDRAPUR,CD,0.0,NR,79.300505,19.960126
2005,KALKA SHTBDI SPL,BALHARSHAH,BPQ,0.0,NR,79.3485858,19.8490173
2005,KALKA SHTBDI SPL,RAMGUNDAM,RDM,0.0,NR,79.43510000000000,18.763329
2005,KALKA SHTBDI SPL,KAZIPET JN,KZJ,0.0,NR,79.511025,17.974211
2005,KALKA SHTBDI SPL,SECUNDERABAD JN,SC,0.0,NR,78.50148100000000,17.433147
2006,KALKA SHTBDI SPL,,nan,,,,
2011,NDLS KLK SHATABDI,,nan,,,,
2012,KLK SHTBDI SPL,,nan,,,,
2013,ASR SHTBDI SPL,,nan,,,,
2014,NDLS SHATABDI SPL,,nan,,,,
2033,CNB NDLS SHT SPL,,nan,,,,
2034,NDLS CNB SHT SPL,,nan,,,,
2039,NDLS SHATABDI SPL,,nan,,,,
2040,KGM SHATABDI SPL,NAGPUR,NGP,2.0,NR,79.089004,21.153567
2040,KGM SHATABDI SPL,AJNI,AJNI,0.0,NR,79.0825197485,21.1268588122
2040,KGM SHATABDI SPL,WARDHA JN,WR,72.0,NR,78.594157,20.732777
2040,KGM SHATABDI SPL,PULGAON JN,PLO,81.0,NR,78.318111,20.726734
2040,KGM SHATABDI SPL,DHAMANGAON,DMN,82.0,NR,78.138054,20.784674
2040,KGM SHATABDI SPL,BADNERA JN,BD,73.0,NR,77.73231970000000,20.8567925
2040,KGM SHATABDI SPL,AKOLA JN,AK,77.0,NR,77.005497,20.723084
2040,KGM SHATABDI SPL,SHEGAON,SEG,85.0,NR,76.690331,20.801724
2040,KGM SHATABDI SPL,MALKAPUR,MKU,85.0,NR,76.202946,20.891974
2040,KGM SHATABDI SPL,BHUSAVAL JN,BSL,67.0,NR,75.78867170000000,21.0472812
2040,KGM SHATABDI SPL,NASIK ROAD,NK,111.0,NR,73.841897,19.947627
