Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
12016,AJMER SHTBDI,DAURAI,DOZ,1,NR,74.619546,26.395604
12016,AJMER SHTBDI,AJMER JN,AII,3,NR,74.63746400000000,26.456612
12016,AJMER SHTBDI,KISHANGARH,KSG,5,NR,74.855553,26.588968
12016,AJMER SHTBDI,JAIPUR,JP,11,NR,75.786923,26.920203
12016,AJMER SHTBDI,GANDHINAGAR JPR,GADJ,12,NR,75.79828000000000,26.873067
12016,AJMER SHTBDI,GETOR JAGATPURA,GTJT,0,NR,75.832384,26.836925
12016,AJMER SHTBDI,KHATIPURA,KWP,0,NR,75.89049800000000,26.835709
12016,AJMER SHTBDI,BANDIKUI JN,BKI,11,NR,76.56672300000000,27.039271
12016,AJMER SHTBDI,ALWAR,AWR,8,NR,76.62126500000000,27.559273
12016,AJMER SHTBDI,REWARI,RE,8,NR,76.609414,28.202779
12016,AJMER SHTBDI,GURGAON,GGN,12,NR,77.010739,28.489165
12016,AJMER SHTBDI,DELHI CANTT,DEC,14,NR,77.116577,28.613534
12016,AJMER SHTBDI,NEW DELHI,NDLS,11,NR,77.22000400000000,28.642314
