Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
20988,ASV UDZ SF EXP,ASARVA JN,ASV,3,NWR,72.612937,23.043981
20988,ASV UDZ SF EXP,SARDARGRAM,SDGM,1,NWR,72.641987,23.070758
20988,ASV UDZ SF EXP,NARODA,NRD,5,NWR,72.658017,23.085662
20988,ASV UDZ SF EXP,NANDOL DEHEGAM,NHM,7,NWR,72.815845,23.17417
20988,ASV UDZ SF EXP,TALOD,TOD,9,NWR,72.94796100000000,23.351348
20988,ASV UDZ SF EXP,PRANTIJ,PRJ,6,NWR,72.862688,23.439324
20988,ASV UDZ SF EXP,HIMMATNAGAR,HMT,1,NWR,72.960358,23.591655
20988,ASV UDZ SF EXP,SHAMLAJI ROAD,SJS,4,NWR,73.335655,23.621619
20988,ASV UDZ SF EXP,BECHHIWARA,BHWA,4,NWR,73.535256,23.787792
20988,ASV UDZ SF EXP,DUNGARPUR,DNRP,3,NWR,73.69546200000000,23.867175
20988,ASV UDZ SF EXP,RIKHABDEV ROAD,RDD,4,NWR,73.74805500000000,23.997173
20988,ASV UDZ SF EXP,SEMARI,SES,5,NWR,73.841822,24.07001
20988,ASV UDZ SF EXP,JAI SAMAND ROAD,JYM,5,NWR,73.86827000000000,24.22064
20988,ASV UDZ SF EXP,ZAWAR,ZW,4,NWR,73.731959,24.358621
20988,ASV UDZ SF EXP,UMRA,UMRA,8,NWR,73.771734,24.522588
