Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
1005,CSMT CAPE SPL,,nan,,,,
1009,LTT DNR SF SPL,,nan,,,,
1467,PUNE NGP SF SPL,,nan,,,,
1468,NGP PUNE SF SPL,,nan,,,,
1469,PUNE NGP SF SPL,,nan,,,,
1470,NGP PUNE SF EXP,,nan,,,,
1491,PUNE NZM SF SPL,,nan,,,,
1492,PUNE HOLI SPL,,nan,,,,
2131,PUNE JBP SF SPL,PUNE JN,PUNE,45.0,WCR,73.873086,18.529378
2131,PUNE JBP SF SPL,DAUND CHORD LINE,DDCC,69.0,WCR,74.5535,18.4671
2131,PUNE JBP SF SPL,AHMADNAGAR,ANG,143.0,WCR,74.721882467,19.0755194777
2131,PUNE JBP SF SPL,BELAPUR,BAP,187.0,WCR,74.6617443079,19.6195693118
2131,PUNE JBP SF SPL,KOPARGAON,KPG,195.0,WCR,74.503328,19.902943
2131,PUNE JBP SF SPL,MANMAD JN,MMR,195.0,WCR,74.438305,20.249887
2131,PUNE JBP SF SPL,BHUSAVAL JN,BSL,231.0,WCR,75.78867170000000,21.0472812
2131,PUNE JBP SF SPL,HARDA,HD,158.0,WCR,77.10084,22.338414
2131,PUNE JBP SF SPL,ITARSI JN,ET,152.0,WCR,77.767128,22.608258
2131,PUNE JBP SF SPL,PIPARIYA,PPI,146.0,WCR,78.354538,22.753941
2131,PUNE JBP SF SPL,NARSINGHPUR,NU,157.0,WCR,79.214385,22.943112
2131,PUNE JBP SF SPL,MADAN MAHAL,MML,168.0,WCR,79.920425,23.159475
2131,PUNE JBP SF SPL,JABALPUR,JBP,166.0,WCR,79.950919,23.164636
2132,JBP PUNE SPECIAL,JABALPUR,JBP,6.0,WCR,79.950919,23.164636
2132,JBP PUNE SPECIAL,MADAN MAHAL,MML,16.0,WCR,79.920425,23.159475
2132,JBP PUNE SPECIAL,NARSINGHPUR,NU,26.0,WCR,79.214385,22.943112
2132,JBP PUNE SPECIAL,PIPARIYA,PPI,57.0,WCR,78.354538,22.753941
2132,JBP PUNE SPECIAL,ITARSI JN,ET,68.0,WCR,77.767128,22.608258
2132,JBP PUNE SPECIAL,HARDA,HD,97.0,WCR,77.10084,22.338414
2132,JBP PUNE SPECIAL,BHUSAVAL JN,BSL,126.0,WCR,75.78867170000000,21.0472812
2132,JBP PUNE SPECIAL,MANMAD JN,MMR,161.0,WCR,74.438305,20.249887
2132,JBP PUNE SPECIAL,KOPARGAON,KPG,142.0,WCR,74.503328,19.902943
