Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
1665,AGTL FESTIVL SPL,RANI KAMLAPATI,RKMP,3,WCR,77.4401,23.2216
1665,AGTL FESTIVL SPL,NARMADAPURAM,NDPM,18,WCR,,
1665,AGTL FESTIVL SPL,ITARSI JN,ET,0,WCR,77.767128,22.608258
1665,AGTL FESTIVL SPL,PIPARIYA,PPI,19,WCR,78.354538,22.753941
1665,AGTL FESTIVL SPL,GADARWARA,GAR,0,WCR,78.79173400000000,22.899459
1665,AGTL FESTIVL SPL,NARSINGHPUR,NU,5,WCR,79.214385,22.943112
1665,AGTL FESTIVL SPL,JABALPUR,JBP,9,WCR,79.950919,23.164636
1665,AGTL FESTIVL SPL,KATNI,KTE,3,WCR,80.400543,23.833385
1665,AGTL FESTIVL SPL,MAIHAR,MYR,8,WCR,80.763148,24.255485
1665,AGTL FESTIVL SPL,SATNA,STA,13,WCR,80.827717,24.568619
1665,AGTL FESTIVL SPL,MANIKPUR JN,MKP,3,WCR,81.09365700000000,25.063492
1665,AGTL FESTIVL SPL,PRAYAGRAJ CHHEOKI,PCOI,0,WCR,,
1665,AGTL FESTIVL SPL,MIRZAPUR,MZP,18,WCR,82.56986900000000,25.13435
1665,AGTL FESTIVL SPL,PT DEEN DAYAL UPADHYAY JN,DDU,2,WCR,,
1665,AGTL FESTIVL SPL,BUXAR,BXR,4,WCR,83.982184,25.562067
1665,AGTL FESTIVL SPL,ARA,ARA,41,WCR,84.66259600000000,25.548889
1665,AGTL FESTIVL SPL,DANAPUR,DNR,59,WCR,85.044629,25.581921
1665,AGTL FESTIVL SPL,PATLIPUTRA,PPTA,58,WCR,85.068505,25.621426
1665,AGTL FESTIVL SPL,HAJIPUR JN,HJP,47,WCR,85.2155,25.702909
1665,AGTL FESTIVL SPL,BARAUNI JN,BJU,125,WCR,85.988748,25.461768
1665,AGTL FESTIVL SPL,BEGU SARAI,BGS,164,WCR,86.134476,25.425296
1665,AGTL FESTIVL SPL,KHAGARIA JN,KGG,178,WCR,86.46525100000000,25.505891
1665,AGTL FESTIVL SPL,NAUGACHIA,NNA,181,WCR,87.09387,25.385261
1665,AGTL FESTIVL SPL,KATIHAR JN,KIR,175,WCR,87.566409,25.548947
1665,AGTL FESTIVL SPL,KISHANGANJ,KNE,240,WCR,87.949657,26.097746
1665,AGTL FESTIVL SPL,NEW JALPAIGURI,NJP,252,WCR,88.443391,26.683025
1665,AGTL FESTIVL SPL,NEW COOCH BEHAR,NCB,241,WCR,89.469766,26.353159
1665,AGTL FESTIVL SPL,NEW BONGAIGAON,NBQ,309,WCR,90.53684346440000,26.4758354405
1665,AGTL FESTIVL SPL,RANGIYA JN,RNY,317,WCR,91.605929,26.447901
1665,AGTL FESTIVL SPL,GUWAHATI,GHY,327,WCR,91.751851,26.182635
1665,AGTL FESTIVL SPL,CHAPARMUKH JN,CPK,318,WCR,92.511718,26.202272
1665,AGTL FESTIVL SPL,NEW HAFLONG,NHLG,504,WCR,93.0319,25.1481
1665,AGTL FESTIVL SPL,BADARPUR JN,BPB,507,WCR,92.5563227,24.8651775
1665,AGTL FESTIVL SPL,NEW KARIMGANJ,NKMG,496,WCR,92.3943808116131,24.8433689098397
1665,AGTL FESTIVL SPL,DHARMANAGAR,DMR,489,WCR,92.16824700000000,24.366946
1665,AGTL FESTIVL SPL,KUMARGHAT,KUGT,483,WCR,92.0348331158,24.1506303119
1665,AGTL FESTIVL SPL,AMBASA,ABSA,468,WCR,91.860783,23.930507
1665,AGTL FESTIVL SPL,TELIAMURA,TLMR,454,WCR,91.617734,23.861247
1665,AGTL FESTIVL SPL,AGARTALA,AGTL,420,WCR,91.278481,23.792417
