Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
20977,CDG VANDEBHARAT,AJMER JN,AII,5,NWR,74.63746400000000,26.456612
20977,CDG VANDEBHARAT,KISHANGARH,KSG,6,NWR,74.855553,26.588968
20977,CDG VANDEBHARAT,JAIPUR,JP,17,NWR,75.786923,26.920203
20977,CDG VANDEBHARAT,GANDHINAGAR JPR,GADJ,20,NWR,75.79828000000000,26.873067
20977,CDG VANDEBHARAT,ALWAR,AWR,21,NWR,76.62126500000000,27.559273
20977,CDG VANDEBHARAT,REWARI,RE,22,NWR,76.609414,28.202779
20977,CDG VANDEBHARAT,GURGAON,GGN,23,NWR,77.010739,28.489165
20977,CDG VANDEBHARAT,DELHI CANTT,DEC,18,NWR,77.116577,28.613534
20977,CDG VANDEBHARAT,AMBALA CANT JN,UMB,16,NWR,76.826966,30.338918
20977,CDG VANDEBHARAT,CHANDIGARH,CDG,11,NWR,76.82208,30.7019773
