Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
20830,VANDE BHARAT EXP,VISHAKAPATNAM,VSKP,19,SECR,83.289514,17.72159
20830,VANDE BHARAT EXP,VIZIANAGRAM JN,VZM,20,SECR,83.39558600000000,18.111374
20830,VANDE BHARAT EXP,PARVATIPURAM,PVP,18,SECR,83.42696600000000,18.77067
20830,VANDE BHARAT EXP,RAYAGADA,RGDA,18,SECR,83.410505,19.175642
20830,VANDE BHARAT EXP,KESINGA,KSNG,38,SECR,83.224709,20.188103
20830,VANDE BHARAT EXP,TITLAGARH,TIG,41,SECR,83.154382,20.284399
20830,VANDE BHARAT EXP,KANTABANJI,KBJ,49,SECR,82.906517,20.474059
20830,VANDE BHARAT EXP,KHARIAR ROAD,KRAR,56,SECR,82.510513277,20.9013855558
20830,VANDE BHARAT EXP,MAHASAMUND,MSMD,52,SECR,82.10389,21.113138
20830,VANDE BHARAT EXP,RAIPUR JN,R,31,SECR,81.629328,21.256462
20830,VANDE BHARAT EXP,DURG,DURG,19,SECR,81.291837,21.200327
