Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
20830,VANDE BHARAT EXP,VISHAKAPATNAM,VSKP,68,SECR,83.289514,17.72159
20830,VANDE BHARAT EXP,VIZIANAGRAM JN,VZM,72,SECR,83.39558600000000,18.111374
20830,VANDE BHARAT EXP,PARVATIPURAM,PVP,65,SECR,83.42696600000000,18.77067
20830,VANDE BHARAT EXP,RAYAGADA,RGDA,62,SECR,83.410505,19.175642
20830,VANDE BHARAT EXP,KESINGA,KSNG,93,SECR,83.224709,20.188103
20830,VANDE BHARAT EXP,TITLAGARH,TIG,97,SECR,83.154382,20.284399
20830,VANDE BHARAT EXP,KANTABANJI,KBJ,100,SECR,82.906517,20.474059
20830,VANDE BHARAT EXP,KHARIAR ROAD,KRAR,107,SECR,82.510513277,20.9013855558
20830,VANDE BHARAT EXP,MAHASAMUND,MSMD,105,SECR,82.10389,21.113138
20830,VANDE BHARAT EXP,RAIPUR JN,R,83,SECR,81.629328,21.256462
20830,VANDE BHARAT EXP,DURG,DURG,71,SECR,81.291837,21.200327
