Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
20836,VANDE BHARAT EXP,PURI,PURI,5,ECOR,85.839992,19.811459
20836,VANDE BHARAT EXP,KHURDA ROAD JN,KUR,8,ECOR,85.70823400000000,20.153076
20836,VANDE BHARAT EXP,BHUBANESWAR,BBS,10,ECOR,85.84259500000000,20.265388
20836,VANDE BHARAT EXP,CUTTACK,CTC,13,ECOR,85.90156,20.466588
20836,VANDE BHARAT EXP,DHENKANAL,DNKL,10,ECOR,85.59087800000000,20.676825
20836,VANDE BHARAT EXP,TALCHER ROAD,TLHD,10,ECOR,85.207934,20.886651
20836,VANDE BHARAT EXP,ANGUL,ANGL,11,ECOR,85.099994,20.859445
20836,VANDE BHARAT EXP,RAIRAKHOL,RAIR,13,ECOR,84.333562,21.046745
20836,VANDE BHARAT EXP,SAMBALPUR CITY,SBPY,13,ECOR,84.0076171613,21.4770222859
20836,VANDE BHARAT EXP,JHARSUGUDA JN,JSG,9,ECOR,84.017427,21.862274
