Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
1005,CSMT CAPE SPL,,nan,,,,
1009,LTT DNR SF SPL,LOKMANYATILAK T,LTT,395.0,CR,72.89173900000000,19.07032
1009,LTT DNR SF SPL,KALYAN JN,KYN,467.0,CR,73.12974,19.234716
1009,LTT DNR SF SPL,IGATPURI,IGP,480.0,CR,73.56237900000000,19.694053
1009,LTT DNR SF SPL,NASIK ROAD,NK,509.0,CR,73.841897,19.947627
1009,LTT DNR SF SPL,BHUSAVAL JN,BSL,528.0,CR,75.78867170000000,21.0472812
1009,LTT DNR SF SPL,KHANDWA,KNW,542.0,CR,76.353227,21.823596
1009,LTT DNR SF SPL,ITARSI JN,ET,581.0,CR,77.767128,22.608258
1009,LTT DNR SF SPL,PIPARIYA,PPI,578.0,CR,78.354538,22.753941
1009,LTT DNR SF SPL,JABALPUR,JBP,631.0,CR,79.950919,23.164636
1009,LTT DNR SF SPL,KATNI,KTE,628.0,CR,80.400543,23.833385
1009,LTT DNR SF SPL,MAIHAR,MYR,709.0,CR,80.763148,24.255485
1009,LTT DNR SF SPL,SATNA,STA,708.0,CR,80.827717,24.568619
1009,LTT DNR SF SPL,MANIKPUR JN,MKP,793.0,CR,81.09365700000000,25.063492
1009,LTT DNR SF SPL,PRAYAGRAJ CHHEOKI,PCOI,854.0,CR,,
1009,LTT DNR SF SPL,PT DEEN DAYAL UPADHYAY JN,DDU,882.0,CR,,
1009,LTT DNR SF SPL,BUXAR,BXR,939.0,CR,83.982184,25.562067
1009,LTT DNR SF SPL,ARA,ARA,942.0,CR,84.66259600000000,25.548889
1009,LTT DNR SF SPL,DANAPUR,DNR,974.0,CR,85.044629,25.581921
1467,PUNE NGP SF SPL,,nan,,,,
1468,NGP PUNE SF SPL,,nan,,,,
1469,PUNE NGP SF SPL,,nan,,,,
1470,NGP PUNE SF EXP,,nan,,,,
1491,PUNE NZM SF SPL,PUNE JN,PUNE,14.0,CR,73.873086,18.529378
1491,PUNE NZM SF SPL,CHINCHVAD,CCH,27.0,CR,73.79139200000000,18.638903
1491,PUNE NZM SF SPL,LONAVALA,LNL,7.0,CR,73.407657,18.748883
1491,PUNE NZM SF SPL,KALYAN JN,KYN,38.0,CR,73.12974,19.234716
1491,PUNE NZM SF SPL,VASAI ROAD,BSR,42.0,CR,72.8322217,19.3824486
1491,PUNE NZM SF SPL,SURAT,ST,46.0,CR,72.840793,21.206568
1491,PUNE NZM SF SPL,VADODARA JN,BRC,64.0,CR,73.181065,22.310756
1491,PUNE NZM SF SPL,RATLAM JN,RTM,73.0,CR,75.050826,23.34038
1491,PUNE NZM SF SPL,BHAWANI MANDI,BWM,85.0,CR,75.82981,24.419472
1491,PUNE NZM SF SPL,KOTA JN,KOTA,89.0,CR,75.8805,25.223553
1491,PUNE NZM SF SPL,SAWAI MADHOPUR,SWM,69.0,CR,76.35622,26.018279
1491,PUNE NZM SF SPL,MATHURA JN,MTJ,67.0,CR,77.67311700000000,27.480145
1491,PUNE NZM SF SPL,H NIZAMUDDIN,NZM,28.0,CR,77.254249,28.58733
1492,PUNE HOLI SPL,H NIZAMUDDIN,NZM,73.0,CR,77.254249,28.58733
1492,PUNE HOLI SPL,MATHURA JN,MTJ,52.0,CR,77.67311700000000,27.480145
1492,PUNE HOLI SPL,SAWAI MADHOPUR,SWM,62.0,CR,76.35622,26.018279
1492,PUNE HOLI SPL,KOTA JN,KOTA,60.0,CR,75.8805,25.223553
1492,PUNE HOLI SPL,BHAWANI MANDI,BWM,64.0,CR,75.82981,24.419472
1492,PUNE HOLI SPL,RATLAM JN,RTM,25.0,CR,75.050826,23.34038
1492,PUNE HOLI SPL,VADODARA JN,BRC,26.0,CR,73.181065,22.310756
1492,PUNE HOLI SPL,SURAT,ST,22.0,CR,72.840793,21.206568
1492,PUNE HOLI SPL,VASAI ROAD,BSR,23.0,CR,72.8322217,19.3824486
1492,PUNE HOLI SPL,KALYAN JN,KYN,52.0,CR,73.12974,19.234716
1492,PUNE HOLI SPL,LONAVALA,LNL,96.0,CR,73.407657,18.748883
