Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
1004,SWV DR SPL,,nan,,,,
1008,DECCAN EXPRESS,,nan,,,,
1029,KOYNA SPL,,nan,,,,
1041,DR SNSI SPECIAL,,nan,,,,
1042,SNSI DR SPECIAL,,nan,,,,
1095,ADI PUNE SF SPL,,nan,,,,
1131,DR RN SPL,LOKMANYATILAK T,LTT,14.0,CR,72.89173900000000,19.07032
1131,DR RN SPL,THANE,TNA,12.0,CR,72.97541700000000,19.185757
1131,DR RN SPL,PANVEL,PNVL,12.0,CR,73.121756,18.990919
1131,DR RN SPL,PEN,PEN,19.0,CR,73.0867978516,18.7356044559
1131,DR RN SPL,ROHA,ROHA,3.0,CR,73.12357712000000,18.44649043
1131,DR RN SPL,MANGAON,MNI,12.0,CR,73.275679,18.247286
1131,DR RN SPL,KHED,KHED,54.0,CR,73.40881500000000,17.712059
1131,DR RN SPL,CHIPLUN,CHI,58.0,CR,73.522429,17.5425074
1131,DR RN SPL,SANGMESHWAR,SGR,76.0,CR,73.546234,17.201999
1131,DR RN SPL,RATNAGIRI,RN,105.0,CR,73.356938,17.002793
1131,DR RN SPL,ADAVALI,ADVI,108.0,CR,73.592514,16.921753
1131,DR RN SPL,VILAVADE,VID,107.0,CR,73.619321,16.785593
1131,DR RN SPL,RAJAPUR ROAD,RAJP,94.0,CR,73.626565,16.635175
1131,DR RN SPL,VAIBHAVWADI RD,VBW,97.0,CR,73.707645,16.512013
1131,DR RN SPL,KANKAVALI,KKW,108.0,CR,73.71987090000000,16.2587773
1131,DR RN SPL,SINDHUDURG,SNDD,107.0,CR,73.67934,16.111322
1131,DR RN SPL,KUDAL,KUDL,101.0,CR,73.67813000000000,16.017651
1131,DR RN SPL,SAWANTWADI ROAD,SWV,32.0,CR,73.785308,15.866512
1132,RN DR SPL,,nan,,,,
1221,NZM RAJDHANI SPL,,nan,,,,
1222,CSMT RAJDNI SPL,,nan,,,,
1223,ERS DURONTO SPL,,nan,,,,
1265,MML ABKP SPL,,nan,,,,
1266,ABKP JBP SPL,,nan,,,,
1271,ET BPL SPECIAL,,nan,,,,
1272,BPL ET SPECIAL,,nan,,,,
1435,SUR LTT SPECIAL,SOLAPUR JN,SUR,12.0,CR,75.893401,17.664496
1435,SUR LTT SPECIAL,AKALKOT ROAD,AKOR,22.0,CR,76.13768900000000,17.450243
1435,SUR LTT SPECIAL,GANAGAPUR ROAD,GUR,26.0,CR,76.5903,17.340443
1435,SUR LTT SPECIAL,KALABURAGI JN,KLBG,42.0,CR,,
1435,SUR LTT SPECIAL,HUMNABAD,HMBD,23.0,CR,,
1435,SUR LTT SPECIAL,BIDAR,BIDR,107.0,CR,77.5137793,17.9116836
1435,SUR LTT SPECIAL,BHALKI,BHLK,105.0,CR,77.228081,18.0470111
1435,SUR LTT SPECIAL,UDGIR,UDGR,1209.0,CR,77.1099430353,18.3906018255
1435,SUR LTT SPECIAL,LATUR ROAD,LTRR,1218.0,CR,76.845289,18.506494
1435,SUR LTT SPECIAL,LATUR,LUR,86.0,CR,76.55604900000000,18.429166
1435,SUR LTT SPECIAL,USMANABAD,UMD,71.0,CR,76.022663,18.248154
1435,SUR LTT SPECIAL,BARSI TOWN,BTW,70.0,CR,75.718169,18.240993
1435,SUR LTT SPECIAL,KURDUVADI,KWV,107.0,CR,75.41711800000000,18.091348
1435,SUR LTT SPECIAL,DAUND JN,DD,101.0,CR,74.578622,18.463547
1435,SUR LTT SPECIAL,PUNE JN,PUNE,117.0,CR,73.873086,18.529378
1435,SUR LTT SPECIAL,PANVEL,PNVL,171.0,CR,73.121756,18.990919
1435,SUR LTT SPECIAL,THANE,TNA,204.0,CR,72.97541700000000,19.185757
1435,SUR LTT SPECIAL,LOKMANYATILAK T,LTT,0.0,CR,72.89173900000000,19.07032
1436,LTT SUR SPECIAL,LOKMANYATILAK T,LTT,1.0,CR,72.89173900000000,19.07032
