Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
1004,SWV DR SPL,,nan,,,,
1008,DECCAN EXPRESS,,nan,,,,
1029,KOYNA SPL,,nan,,,,
1041,DR SNSI SPECIAL,,nan,,,,
1042,SNSI DR SPECIAL,,nan,,,,
1095,ADI PUNE SF SPL,,nan,,,,
1131,DR RN SPL,,nan,,,,
1132,RN DR SPL,,nan,,,,
1221,NZM RAJDHANI SPL,,nan,,,,
1222,CSMT RAJDNI SPL,,nan,,,,
1223,ERS DURONTO SPL,,nan,,,,
1265,MML ABKP SPL,,nan,,,,
1266,ABKP JBP SPL,,nan,,,,
1271,ET BPL SPECIAL,,nan,,,,
1272,BPL ET SPECIAL,,nan,,,,
1435,SUR LTT SPECIAL,SOLAPUR JN,SUR,21.0,CR,75.893401,17.664496
1435,SUR LTT SPECIAL,AKALKOT ROAD,AKOR,29.0,CR,76.13768900000000,17.450243
1435,SUR LTT SPECIAL,GANAGAPUR ROAD,GUR,32.0,CR,76.5903,17.340443
1435,SUR LTT SPECIAL,KALABURAGI JN,KLBG,53.0,CR,,
1435,SUR LTT SPECIAL,HUMNABAD,HMBD,32.0,CR,,
1435,SUR LTT SPECIAL,BIDAR,BIDR,115.0,CR,77.5137793,17.9116836
1435,SUR LTT SPECIAL,BHALKI,BHLK,108.0,CR,77.228081,18.0470111
1435,SUR LTT SPECIAL,UDGIR,UDGR,108.0,CR,77.1099430353,18.3906018255
1435,SUR LTT SPECIAL,LATUR ROAD,LTRR,109.0,CR,76.845289,18.506494
1435,SUR LTT SPECIAL,LATUR,LUR,84.0,CR,76.55604900000000,18.429166
1435,SUR LTT SPECIAL,USMANABAD,UMD,71.0,CR,76.022663,18.248154
1435,SUR LTT SPECIAL,BARSI TOWN,BTW,82.0,CR,75.718169,18.240993
1435,SUR LTT SPECIAL,KURDUVADI,KWV,182.0,CR,75.41711800000000,18.091348
1435,SUR LTT SPECIAL,DAUND JN,DD,177.0,CR,74.578622,18.463547
1435,SUR LTT SPECIAL,PUNE JN,PUNE,221.0,CR,73.873086,18.529378
1435,SUR LTT SPECIAL,PANVEL,PNVL,299.0,CR,73.121756,18.990919
1435,SUR LTT SPECIAL,THANE,TNA,339.0,CR,72.97541700000000,19.185757
1435,SUR LTT SPECIAL,LOKMANYATILAK T,LTT,0.0,CR,72.89173900000000,19.07032
1436,LTT SUR SPECIAL,LOKMANYATILAK T,LTT,1.0,CR,72.89173900000000,19.07032
1436,LTT SUR SPECIAL,THANE,TNA,0.0,CR,72.97541700000000,19.185757
1436,LTT SUR SPECIAL,PANVEL,PNVL,25.0,CR,73.121756,18.990919
1436,LTT SUR SPECIAL,PUNE JN,PUNE,57.0,CR,73.873086,18.529378
1436,LTT SUR SPECIAL,DAUND JN,DD,91.0,CR,74.578622,18.463547
1436,LTT SUR SPECIAL,KURDUVADI,KWV,95.0,CR,75.41711800000000,18.091348
1436,LTT SUR SPECIAL,BARSI TOWN,BTW,105.0,CR,75.718169,18.240993
1436,LTT SUR SPECIAL,USMANABAD,UMD,89.0,CR,76.022663,18.248154
1436,LTT SUR SPECIAL,LATUR,LUR,45.0,CR,76.55604900000000,18.429166
1436,LTT SUR SPECIAL,LATUR ROAD,LTRR,28.0,CR,76.845289,18.506494
1436,LTT SUR SPECIAL,UDGIR,UDGR,19.0,CR,77.1099430353,18.3906018255
1436,LTT SUR SPECIAL,BHALKI,BHLK,17.0,CR,77.228081,18.0470111
1436,LTT SUR SPECIAL,BIDAR,BIDR,33.0,CR,77.5137793,17.9116836
1436,LTT SUR SPECIAL,HUMNABAD,HMBD,38.0,CR,,
1436,LTT SUR SPECIAL,KALABURAGI JN,KLBG,136.0,CR,,
1436,LTT SUR SPECIAL,GANAGAPUR ROAD,GUR,137.0,CR,76.5903,17.340443
1436,LTT SUR SPECIAL,AKALKOT ROAD,AKOR,187.0,CR,76.13768900000000,17.450243
