Station_Name,Station_Code,Lat,Long,Average_Delay
ADRA JN,ADRA,23.495992,86.674665,17.0
AHMEDABAD JN,ADI,23.025515,72.601516,7.0
ASANSOL JN,ASN,23.691441,86.975152,50.0
BADNERA JN,BD,20.8567925,77.7323197,26.0
BALASORE,BLS,21.500521,86.919582,0.0
BALHARSHAH,BPQ,19.8490173,79.3485858,66.33333333333333
BHUBANESWAR,BBS,20.265388,85.842595,28.166666666666668
BHUSAVAL JN,BSL,21.0472812,75.7886717,198.375
BIKANER JN,BKN,28.014139,73.316598,47.5
BILASPUR JN,BSP,22.057473,82.167585,171.75
CHENNAI CENTRAL,MAS,13.0847613,80.2748563,81.5
CHURU,CUR,28.288281,74.966203,79.0
DADAR,DR,19.017179,72.842972,8.0
DAUND CHORD LINE,DDCC,18.4671,74.5535,209.5
DELHI S ROHILLA,DEE,28.662992,77.187106,12.5
DHANBAD JN,DHN,23.790966,86.428956,78.5
ERNAKULAM JN,ERS,9.969542,76.290672,0.0
GAYA JN,GAYA,24.803978,84.999294,1.0
GUNTAKAL JN,GTL,15.17556,77.366611,74.0
GUNTUR JN,GNT,16.300784,80.441973,23.5
GWALIOR,GWL,26.216483,78.182292,135.0
H NIZAMUDDIN,NZM,28.58733,77.254249,45.714285714285715
HAPA,HAPA,22.468974,70.11814,2.5
HISAR,HSR,29.152341,75.724305,2.0
HOWRAH JN,HWH,22.584078,88.340999,123.85714285714286
INDORE JN BG,INDB,22.71757,75.868429,1.0
ITARSI JN,ET,22.608258,77.767128,353.0
JABALPUR,JBP,23.164636,79.950919,384.5
JAIPUR,JP,26.920203,75.786923,6.0
JAMMU TAWI,JAT,32.706975,74.880117,0.0
JASIDIH JN,JSME,24.514517,86.644255,70.75
JHUNJHUNUN,JJN,28.10688406,75.39017865,6.5
KALYAN JN,KYN,19.234716,73.12974,186.5
KANPUR CENTRAL,CNB,26.45424,80.350966,67.66666666666667
KHARAGPUR JN,KGP,22.341432,87.328456,31.0
KODERMA,KQR,24.434741,85.529458,74.5
KOTA JN,KOTA,25.223553,75.8805,3.75
KOZHIKODE,CLT,11.246234,75.780407,21.25
LOHARU,LHU,28.427051,75.801613,40.75
LOKMANYATILAK T,LTT,19.07032,72.891739,111.0
LONAVALA,LNL,18.748883,73.407657,29.0
LUDHIANA JN,LDH,30.912367,75.847873,0.0
MADGAON,MAO,15.267911,73.970724,46.25
MANGALORE JN,MAJN,12.866193,74.88006,13.0
MANMAD JN,MMR,20.249887,74.438305,178.5
MUMBAI CENTRAL,MMCT,18.9697,72.8194,2.6666666666666665
NAGPUR,NGP,21.153567,79.089004,102.33333333333333
NAINI,NYN,25.393138,81.860042,132.5
NEW DELHI,NDLS,28.642314,77.220004,31.75
PANVEL,PNVL,18.990919,73.121756,32.5
PATNA JN,PNBE,25.60256,85.136824,71.5
PRAYAGRAJ JN,PRYJ,25.4453,81.8253,138.5
PUNE JN,PUNE,18.529378,73.873086,66.25
PURI,PURI,19.811459,85.839992,16.5
RAIPUR JN,R,21.256462,81.629328,179.25
RAJKOT JN,RJT,22.312206,70.803446,16.0
RANI KAMLAPATI,RKMP,23.2216,77.4401,76.66666666666667
RATANGARH JN,RTGH,28.06658671,74.62360257,78.0
RATLAM JN,RTM,23.34038,75.050826,6.2
RATNAGIRI,RN,17.002793,73.356938,50.0
RENIGUNTA JN,RU,13.636261,79.50629,17.5
RINGAS JN,RGS,27.373379,75.563604,7.5
SADULPUR JN,SDLP,28.631138,75.386989,46.0
SATNA,STA,24.568619,80.827717,360.0
SAWAI MADHOPUR,SWM,26.018279,76.35622,7.5
SEALDAH,SDAH,22.566758,88.374713,42.0
SECUNDERABAD JN,SC,17.433147,78.501481,25.166666666666668
SHALIMAR,SHM,22.555508,88.315615,23.0
SIKAR JN,SIKR,27.616275,75.153378,12.0
SMVT BENGALURU,SMVB,13.0006,77.6418,24.0
SOLAPUR JN,SUR,17.664496,75.893401,27.0
SRI DUNGARGARH,SDGH,28.070311,74.008011,79.0
SURAT,ST,21.206568,72.840793,6.75
SURENDRANAGAR JN,SUNR,22.7443,71.630056,9.5
TATANAGAR JN,TATA,22.768954,86.20056,182.5
UDHNA JN,UDN,21.171156,72.851461,1.5
UJJAIN JN,UJN,23.178154,75.781403,4.5
V LAKSHMIBAI JHANSI,VGLJ,25.4439,78.5533,73.16666666666667
VADODARA JN,BRC,22.310756,73.181065,6.6
VASAI ROAD,BSR,19.3824486,72.8322217,9.833333333333334
VIJAYAWADA JN,BZA,16.518262,80.618648,52.166666666666664
VISHAKAPATNAM,VSKP,17.72159,83.289514,2.0
VIZIANAGRAM JN,VZM,18.111374,83.395586,28.0
WADI,WADI,17.054312,76.99155,14.5
YESVANTPUR JN,YPR,13.022839,77.551174,35.0
