Station_Name,Station_Code,Lat,Long,Average_Delay
ADRA JN,ADRA,23.495992,86.674665,87.5
AHMEDABAD JN,ADI,23.025515,72.601516,7.25
ANDUL,ADL,22.575169,88.239643,0.0
ASANSOL JN,ASN,23.691441,86.975152,28.75
BADNERA JN,BD,20.8567925,77.7323197,26.0
BALASORE,BLS,21.500521,86.919582,83.5
BALHARSHAH,BPQ,19.8490173,79.3485858,77.0
BHUBANESWAR,BBS,20.265388,85.842595,50.0
BHUSAVAL JN,BSL,21.0472812,75.7886717,166.125
BIKANER JN,BKN,28.014139,73.316598,29.5
BILASPUR JN,BSP,22.057473,82.167585,264.75
CHENNAI CENTRAL,MAS,13.0847613,80.2748563,100.5
CHURU,CUR,28.288281,74.966203,51.0
DADAR,DR,19.017179,72.842972,446.6666666666667
DAUND CHORD LINE,DDCC,18.4671,74.5535,288.5
DELHI S ROHILLA,DEE,28.662992,77.187106,39.0
DHANBAD JN,DHN,23.790966,86.428956,50.5
ERNAKULAM JN,ERS,9.969542,76.290672,28.25
GAYA JN,GAYA,24.803978,84.999294,39.0
GUNTAKAL JN,GTL,15.17556,77.366611,60.0
GUNTUR JN,GNT,16.300784,80.441973,30.0
GWALIOR,GWL,26.216483,78.182292,121.0
H NIZAMUDDIN,NZM,28.58733,77.254249,46.3
HAPA,HAPA,22.468974,70.11814,4.0
HISAR,HSR,29.152341,75.724305,14.0
HOWRAH JN,HWH,22.584078,88.340999,155.125
INDORE JN BG,INDB,22.71757,75.868429,2.0
ITARSI JN,ET,22.608258,77.767128,28.0
JABALPUR,JBP,23.164636,79.950919,49.0
JAIPUR,JP,26.920203,75.786923,27.5
JAMMU TAWI,JAT,32.706975,74.880117,48.0
JASIDIH JN,JSME,24.514517,86.644255,40.5
JHUNJHUNUN,JJN,28.1068840638572,75.3901786543429,19.0
KALYAN JN,KYN,19.234716,73.12974,301.0
KANKURGACHHI ROAD JN,KGK,22.572603,88.385079,650.0
KANPUR CENTRAL,CNB,26.45424,80.350966,67.16666666666667
KHARAGPUR JN,KGP,22.341432,87.328456,25.0
KODERMA,KQR,24.434741,85.529458,53.0
KOTA JN,KOTA,25.223553,75.8805,26.0
KOZHIKODE,CLT,11.246234,75.780407,44.75
LINK JN CABIN,LKJN,25.356832,81.841869,60.5
LOHARU,LHU,28.427051,75.801613,30.75
LOKMANYATILAK T,LTT,19.07032,72.891739,27.166666666666668
LONAVALA,LNL,18.748883,73.407657,21.0
LUDHIANA JN,LDH,30.912367,75.847873,48.5
MADGAON,MAO,15.267911,73.970724,71.0
MANGALORE JN,MAJN,12.866193,74.88006,38.25
MANMAD JN,MMR,20.249887,74.438305,283.0
MUMBAI CENTRAL,MMCT,18.9697,72.8194,9.5
NAGPUR,NGP,21.153567,79.089004,136.33333333333334
NAINI,NYN,25.393138,81.860042,70.5
NEW DELHI,NDLS,28.642314,77.220004,42.25
PANVEL,PNVL,18.990919,73.121756,53.0
PATNA JN,PNBE,25.60256,85.136824,37.75
PATNA SAHEB,PNC,25.585856,85.230942,32.0
PRAYAGRAJ JN,PRYJ,25.4453,81.8253,15.5
PUNE JN,PUNE,18.529378,73.873086,83.75
PURI,PURI,19.811459,85.839992,15.0
RAIPUR JN,R,21.256462,81.629328,263.75
RAJKOT JN,RJT,22.312206,70.803446,13.5
RANI KAMLAPATI,RKMP,23.2216,77.4401,78.16666666666667
RATANGARH JN,RTGH,28.0665867073,74.6236025668,54.0
RATLAM JN,RTM,23.34038,75.050826,17.3
RATNAGIRI,RN,17.002793,73.356938,68.25
RENIGUNTA JN,RU,13.636261,79.50629,27.5
RINGAS JN,RGS,27.373379,75.563604,29.0
SADULPUR JN,SDLP,28.631138,75.386989,36.25
SANTRAGACHI JN,SRC,22.58393,88.284011,424.5
SATNA,STA,24.568619,80.827717,45.0
SAWAI MADHOPUR,SWM,26.018279,76.35622,18.0
SEALDAH,SDAH,22.566758,88.374713,29.25
SECUNDERABAD JN,SC,17.433147,78.501481,44.42857142857143
SHALIMAR,SHM,22.555508,88.315615,13.0
SIKAR JN,SIKR,27.616275,75.153378,21.5
SMVT BENGALURU,SMVB,13.0006,77.6418,24.0
SOLAPUR JN,SUR,17.664496,75.893401,34.5
SRI DUNGARGARH,SDGH,28.070311,74.008011,53.5
SURAT,ST,21.206568,72.840793,22.833333333333332
SURENDRANAGAR JN,SUNR,22.7443,71.630056,11.0
TATANAGAR JN,TATA,22.768954,86.20056,277.75
THANE,TNA,19.185757,72.975417,384.5
UDHNA JN,UDN,21.171156,72.851461,1.5
UJJAIN JN,UJN,23.178154,75.781403,8.0
V LAKSHMIBAI JHANSI,VGLJ,25.4439,78.5533,75.66666666666667
VADODARA JN,BRC,22.310756,73.181065,20.2
VASAI ROAD,BSR,19.3824486,72.8322217,24.666666666666668
VIJAYAWADA JN,BZA,16.518262,80.618648,56.166666666666664
VISHAKAPATNAM,VSKP,17.72159,83.289514,5.5
VIZIANAGRAM JN,VZM,18.111374,83.395586,26.5
WADI,WADI,17.054312,76.99155,30.5
YESVANTPUR JN,YPR,13.022839,77.551174,27.0
