Station_Name,Station_Code,Lat,Long,Average_Delay
ADRA JN,ADRA,23.495992,86.674665,142.5
AHMEDABAD JN,ADI,23.025515,72.601516,4.666666666666667
ANDUL,ADL,22.575169,88.239643,0.0
ASANSOL JN,ASN,23.691441,86.975152,43.5
BADNERA JN,BD,20.8567925,77.7323197,25.5
BALASORE,BLS,21.500521,86.919582,139.0
BALHARSHAH,BPQ,19.8490173,79.3485858,105.83333333333333
BHUBANESWAR,BBS,20.265388,85.842595,72.33333333333333
BHUSAVAL JN,BSL,21.0472812,75.7886717,167.75
BIKANER JN,BKN,28.014139,73.316598,46.0
BILASPUR JN,BSP,22.057473,82.167585,260.75
CHENNAI CENTRAL,MAS,13.0847613,80.2748563,170.0
CHURU,CUR,28.288281,74.966203,66.0
DADAR,DR,19.017179,72.842972,8.0
DAUND CHORD LINE,DDCC,18.4671,74.5535,277.5
DELHI S ROHILLA,DEE,28.662992,77.187106,26.0
DHANBAD JN,DHN,23.790966,86.428956,72.0
ERNAKULAM JN,ERS,9.969542,76.290672,9.333333333333334
GAYA JN,GAYA,24.803978,84.999294,60.0
GUNTAKAL JN,GTL,15.17556,77.366611,59.5
GUNTUR JN,GNT,16.300784,80.441973,28.5
GWALIOR,GWL,26.216483,78.182292,186.0
H NIZAMUDDIN,NZM,28.58733,77.254249,59.5
HAPA,HAPA,22.468974,70.11814,3.0
HISAR,HSR,29.152341,75.724305,3.0
HOWRAH JN,HWH,22.584078,88.340999,164.375
INDORE JN BG,INDB,22.71757,75.868429,1.0
ITARSI JN,ET,22.608258,77.767128,33.0
JABALPUR,JBP,23.164636,79.950919,56.5
JAIPUR,JP,26.920203,75.786923,15.5
JAMMU TAWI,JAT,32.706975,74.880117,9.5
JASIDIH JN,JSME,24.514517,86.644255,58.5
JHUNJHUNUN,JJN,28.1068840638572,75.3901786543429,8.0
KALYAN JN,KYN,19.234716,73.12974,304.5
KANKURGACHHI ROAD JN,KGK,22.572603,88.385079,650.0
KANPUR CENTRAL,CNB,26.45424,80.350966,102.16666666666667
KHARAGPUR JN,KGP,22.341432,87.328456,30.0
KODERMA,KQR,24.434741,85.529458,75.5
KOTA JN,KOTA,25.223553,75.8805,19.25
KOZHIKODE,CLT,11.246234,75.780407,30.75
LINK JN CABIN,LKJN,25.356832,81.841869,60.5
LOHARU,LHU,28.427051,75.801613,33.0
LOKMANYATILAK T,LTT,19.07032,72.891739,20.833333333333332
LONAVALA,LNL,18.748883,73.407657,18.0
LUDHIANA JN,LDH,30.912367,75.847873,11.0
MADGAON,MAO,15.267911,73.970724,48.75
MANGALORE JN,MAJN,12.866193,74.88006,19.5
MANMAD JN,MMR,20.249887,74.438305,275.5
MUMBAI CENTRAL,MMCT,18.9697,72.8194,4.714285714285714
NAGPUR,NGP,21.153567,79.089004,149.91666666666666
NAINI,NYN,25.393138,81.860042,70.5
NEW DELHI,NDLS,28.642314,77.220004,66.375
PANVEL,PNVL,18.990919,73.121756,31.5
PATNA JN,PNBE,25.60256,85.136824,58.75
PATNA SAHEB,PNC,25.585856,85.230942,32.0
PRAYAGRAJ JN,PRYJ,25.4453,81.8253,22.5
PUNE JN,PUNE,18.529378,73.873086,78.25
PURI,PURI,19.811459,85.839992,16.0
RAIPUR JN,R,21.256462,81.629328,264.25
RAJKOT JN,RJT,22.312206,70.803446,8.0
RANI KAMLAPATI,RKMP,23.2216,77.4401,106.5
RATANGARH JN,RTGH,28.0665867073,74.6236025668,70.5
RATLAM JN,RTM,23.34038,75.050826,13.8
RATNAGIRI,RN,17.002793,73.356938,56.75
RENIGUNTA JN,RU,13.636261,79.50629,29.0
RINGAS JN,RGS,27.373379,75.563604,15.5
SADULPUR JN,SDLP,28.631138,75.386989,37.25
SATNA,STA,24.568619,80.827717,54.5
SAWAI MADHOPUR,SWM,26.018279,76.35622,7.0
SEALDAH,SDAH,22.566758,88.374713,41.25
SECUNDERABAD JN,SC,17.433147,78.501481,45.57142857142857
SHALIMAR,SHM,22.555508,88.315615,10.0
SIKAR JN,SIKR,27.616275,75.153378,10.0
SMVT BENGALURU,SMVB,13.0006,77.6418,30.5
SOLAPUR JN,SUR,17.664496,75.893401,35.0
SRI DUNGARGARH,SDGH,28.070311,74.008011,69.0
SURAT,ST,21.206568,72.840793,16.166666666666668
SURENDRANAGAR JN,SUNR,22.7443,71.630056,5.5
TATANAGAR JN,TATA,22.768954,86.20056,275.5
UDHNA JN,UDN,21.171156,72.851461,1.5
UJJAIN JN,UJN,23.178154,75.781403,8.5
V LAKSHMIBAI JHANSI,VGLJ,25.4439,78.5533,103.0
VADODARA JN,BRC,22.310756,73.181065,14.3
VASAI ROAD,BSR,19.3824486,72.8322217,18.5
VIJAYAWADA JN,BZA,16.518262,80.618648,80.16666666666667
VISHAKAPATNAM,VSKP,17.72159,83.289514,4.5
VIZIANAGRAM JN,VZM,18.111374,83.395586,32.5
WADI,WADI,17.054312,76.99155,31.0
YESVANTPUR JN,YPR,13.022839,77.551174,23.0
