Station_Name,Station_Code,Lat,Long,Average_Delay
ABHAIPUR,AHA,25.2159864584,86.3230724591,73.5952380952381
ABOHAR,ABS,30.1393834225,74.1956861774,14.4
ABU ROAD,ABR,24.470775,72.775695,21.26086956521739
ACHHNERA JN,AH,27.1817602284,77.7578389026,44.125
ACHUARA H,ACU,25.45273,85.661087,32.0
ADAPUR,ADX,26.924721,84.941759,10.5
ADARSHNAGAR,AHO,26.4115799308,74.653432493,11.5
ADAVALI,ADVI,16.921753,73.592514,41.833333333333336
ADDERI,AEX,14.141045,75.157978,20.0
ADESAR,AAR,23.5529783995,70.9720505023,14.0
ADHARTAL,ADTL,23.227389,79.972274,52.166666666666664
ADHICHCHANUR,ACN,12.05415,79.182478,1.3333333333333333
ADI SAPTAGRAM,ADST,22.95447,88.378872,10.0
ADIHALLI,ADHL,13.2834201678,76.3472840454,5.5
ADILABAD,ADB,19.680104,78.535285,22.555555555555557
ADINA,ADF,25.114397,88.12318,26.5
ADIPUR,AI,23.0770527,70.0786586,44.714285714285715
ADITYAPUR,ADTP,22.782212,86.158954,57.875
ADONI,AD,15.617035,77.27485,44.26923076923077
ADRA JN,ADRA,23.495992,86.674665,39.63333333333333
ADRSH NGR DELHI,ANDI,28.714205,77.166707,51.0
ADUTURAI,ADT,11.009165,79.478668,19.2
AGARTALA,AGTL,23.792417,91.278481,144.3846153846154
AGORI KHAS,AGY,24.59896,83.056105,38.0
AGRA CANTT,AGC,27.157992,77.990153,59.611111111111114
AGRA FORT,AF,27.183308,78.0191,78.66666666666667
AGRADWIP,AGAE,23.58096,88.226117,8.0
AGTHORI,AGT,26.20089324,91.686006,8.0
AHERA,AHQ,28.926421,77.278624,35.25
AHIRAN,AHN,24.517687,88.041125,16.0
AHMADGARH,AHH,30.683642,75.829518,35.7
AHMADNAGAR,ANG,19.0755194777,74.721882467,69.88
AHMADPUR JN,AMP,23.8325090573,87.6928410938,36.714285714285715
AHMEDABAD JN,ADI,23.025515,72.601516,25.01010101010101
AILAM H,AILM,29.2719947091,77.2915349414,41.75
AISHBAGH,ASH,26.8373880081,80.9096067993,76.61111111111111
AIT,AIT,25.903719,79.230436,87.25
AITHAL,ATMO,29.8079295893,78.0436230264,79.0
AIYANAPURAM,AYN,10.788547,78.929033,13.0
AJAKOLLU,AJK,16.3467833327,77.8736361627,32.333333333333336
AJARAKA,AIA,27.959391,76.564209,14.5
AJIT,AJIT,25.86007697,72.67795462,23.25
AJIT GILL MATTA H,AJTM,30.483469,74.863795,14.0
AJITWAL,AJL,30.807611,75.339818,6.0
AJJAMPUR,AJP,13.7283327,76.0097415,20.75
AJMER JN,AII,26.456612,74.637464,31.385714285714286
AJNI,AJNI,21.1268588122,79.0825197485,114.83333333333333
AKALKOT ROAD,AKOR,17.450243,76.137689,53.0
AKALTARA,AKT,22.029121,82.422049,107.89473684210526
AKANAPET,AKE,18.110863,78.396309,58.5
AKBARGANJ,AKJ,26.531456,81.501628,115.0
AKBARNAGAR,AKN,25.2348807669,86.8345333624,28.5
AKBARPUR,ABP,26.429818,82.539073,85.55263157894737
AKIVIDU,AKVD,16.582654,81.369055,48.96875
AKKARAIPATTI,API,10.3998079865,77.9226279938,11.0
AKKIHEBBALU,AKK,12.62489,76.377598,19.5
AKODIA,AKD,23.378255,76.599245,23.4375
AKOLA JN,AK,20.723084,77.005497,58.529411764705884
AKSHAYWAT R NGR,AYRN,25.688767621,85.3154110229,41.5
ALAI,ALAI,27.337097,73.585768,16.0
ALAKKUDI,ALK,10.77766297,79.0537095,13.5
ALAL,ALAL,30.378176,75.724207,24.0
ALAMNAGAR,AMG,26.84708,80.860312,68.0
