Station_Name,Station_Code,Lat,Long,Average_Delay
ABHAIPUR,AHA,25.2159864584,86.3230724591,96.2156862745098
ABHAYAPURI ASAM,AYU,26.356599,90.641696,17.5
ABOHAR,ABS,30.1393834225,74.1956861774,19.6875
ABU ROAD,ABR,24.470775,72.775695,25.942307692307693
ACHHNERA JN,AH,27.1817602284,77.7578389026,68.14285714285714
ACHUARA H,ACU,25.45273,85.661087,24.0
ADAPUR,ADX,26.924721,84.941759,17.25
ADARSHNAGAR,AHO,26.4115799308,74.653432493,15.0
ADAVALI,ADVI,16.921753,73.592514,125.54545454545455
ADDERI,AEX,14.141045,75.157978,23.5
ADESAR,AAR,23.5529783995,70.9720505023,12.0
ADHARTAL,ADTL,23.227389,79.972274,79.5
ADHICHCHANUR,ACN,12.05415,79.182478,4.0
ADI SAPTAGRAM,ADST,22.95447,88.378872,5.0
ADIHALLI,ADHL,13.2834201678,76.3472840454,8.0
ADILABAD,ADB,19.680104,78.535285,32.111111111111114
ADINA,ADF,25.114397,88.12318,29.0
ADIPUR,AI,23.0770527,70.0786586,22.857142857142858
ADITYAPUR,ADTP,22.782212,86.158954,55.125
ADONI,AD,15.617035,77.27485,64.87096774193549
ADRA JN,ADRA,23.495992,86.674665,41.38235294117647
ADRSH NGR DELHI,ANDI,28.714205,77.166707,61.0
ADUTURAI,ADT,11.009165,79.478668,16.5
AGARTALA,AGTL,23.792417,91.278481,167.69230769230768
AGAUTHAR H,AGTR,26.0081455466,84.8437572205,11.5
AGHWANPUR,AWP,28.939542,78.702865,21.5
AGOMONI,AGMN,26.225947,89.786242,25.0
AGORI KHAS,AGY,24.59896,83.056105,46.666666666666664
AGRA CANTT,AGC,27.157992,77.990153,79.48387096774194
AGRA FORT,AF,27.183308,78.0191,113.21875
AGRADWIP,AGAE,23.58096,88.226117,9.5
AGTHORI,AGT,26.20089324,91.686006,26.25
AHERA,AHQ,28.926421,77.278624,21.125
AHIRAN,AHN,24.517687,88.041125,11.5
AHJU,AHJU,32.02843,76.690156,7.5
AHMADGARH,AHH,30.683642,75.829518,75.3
AHMADNAGAR,ANG,19.0755194777,74.721882467,233.125
AHMADPUR JN,AMP,23.8325090573,87.6928410938,34.357142857142854
AHMEDABAD JN,ADI,23.025515,72.601516,31.45378151260504
AILAM H,AILM,29.2719947091,77.2915349414,23.5
AISHBAGH,ASH,26.8373880081,80.9096067993,117.81818181818181
AIT,AIT,25.903719,79.230436,54.375
AITHAL,ATMO,29.8079295893,78.0436230264,25.0
AIYANAPURAM,AYN,10.788547,78.929033,14.0
AJAKOLLU,AJK,16.3467833327,77.8736361627,29.333333333333332
AJARAKA,AIA,27.959391,76.564209,18.666666666666668
