Station_Name,Station_Code,Lat,Long,Average_Delay
ABHAIPUR,AHA,25.2159864584,86.3230724591,86.47916666666667
ABHAYAPURI ASAM,AYU,26.356599,90.641696,17.5
ABOHAR,ABS,30.1393834225,74.1956861774,18.8
ABU ROAD,ABR,24.470775,72.775695,22.78846153846154
ACHHNERA JN,AH,27.1817602284,77.7578389026,61.0
ACHUARA H,ACU,25.45273,85.661087,28.5
ADAPUR,ADX,26.924721,84.941759,19.25
ADARSHNAGAR,AHO,26.4115799308,74.653432493,15.5
ADAVALI,ADVI,16.921753,73.592514,74.9090909090909
ADDERI,AEX,14.141045,75.157978,26.0
ADESAR,AAR,23.5529783995,70.9720505023,11.0
ADHARTAL,ADTL,23.227389,79.972274,78.16666666666667
ADHICHCHANUR,ACN,12.05415,79.182478,4.333333333333333
ADI SAPTAGRAM,ADST,22.95447,88.378872,6.0
ADIHALLI,ADHL,13.2834201678,76.3472840454,4.0
ADILABAD,ADB,19.680104,78.535285,36.888888888888886
ADINA,ADF,25.114397,88.12318,29.5
ADIPUR,AI,23.0770527,70.0786586,20.428571428571427
ADITYAPUR,ADTP,22.782212,86.158954,37.0
ADONI,AD,15.617035,77.27485,54.36666666666667
ADRA JN,ADRA,23.495992,86.674665,41.088235294117645
ADRSH NGR DELHI,ANDI,28.714205,77.166707,75.0
ADUTURAI,ADT,11.009165,79.478668,15.5
AGARTALA,AGTL,23.792417,91.278481,159.0
AGAUTHAR H,AGTR,26.0081455466,84.8437572205,14.5
AGHWANPUR,AWP,28.939542,78.702865,20.5
AGOMONI,AGMN,26.225947,89.786242,25.0
AGORI KHAS,AGY,24.59896,83.056105,39.666666666666664
AGRA CANTT,AGC,27.157992,77.990153,80.98275862068965
AGRA FORT,AF,27.183308,78.0191,115.75
AGRADWIP,AGAE,23.58096,88.226117,9.5
AGTHORI,AGT,26.20089324,91.686006,24.25
AHERA,AHQ,28.926421,77.278624,22.75
AHIRAN,AHN,24.517687,88.041125,11.5
AHJU,AHJU,32.02843,76.690156,6.0
AHMADGARH,AHH,30.683642,75.829518,78.9
AHMADNAGAR,ANG,19.0755194777,74.721882467,117.25
AHMADPUR JN,AMP,23.8325090573,87.6928410938,36.42857142857143
AHMEDABAD JN,ADI,23.025515,72.601516,26.889908256880734
AILAM H,AILM,29.2719947091,77.2915349414,26.666666666666668
AISHBAGH,ASH,26.8373880081,80.9096067993,115.04761904761905
AIT,AIT,25.903719,79.230436,60.25
AITHAL,ATMO,29.8079295893,78.0436230264,28.5
AIYANAPURAM,AYN,10.788547,78.929033,11.5
AJAKOLLU,AJK,16.3467833327,77.8736361627,34.0
AJARAKA,AIA,27.959391,76.564209,19.833333333333332
AJIT,AJIT,25.86007697,72.67795462,31.5
AJIT GILL MATTA H,AJTM,30.483469,74.863795,10.25
AJITWAL,AJL,30.807611,75.339818,17.5
AJJAMPUR,AJP,13.7283327,76.0097415,19.5
AJMER JN,AII,26.456612,74.637464,29.51948051948052
AJNI,AJNI,21.1268588122,79.0825197485,102.0
AKALKOT ROAD,AKOR,17.450243,76.137689,54.1
AKALTARA,AKT,22.029121,82.422049,81.05263157894737
AKANAPET,AKE,18.110863,78.396309,53.083333333333336
AKBARGANJ,AKJ,26.531456,81.501628,93.0
AKBARNAGAR,AKN,25.2348807669,86.8345333624,24.0
AKBARPUR,ABP,26.429818,82.539073,74.13157894736842
AKIVIDU,AKVD,16.582654,81.369055,50.083333333333336
AKKARAIPATTI,API,10.3998079865,77.9226279938,13.0
AKKIHEBBALU,AKK,12.62489,76.377598,28.5
AKODIA,AKD,23.378255,76.599245,20.125
AKOLA JN,AK,20.723084,77.005497,63.0
AKSHAYWAT R NGR,AYRN,25.688767621,85.3154110229,40.5
ALAI,ALAI,27.337097,73.585768,15.5
ALAKKUDI,ALK,10.77766297,79.0537095,12.75
ALAL,ALAL,30.378176,75.724207,27.0
ALAMNAGAR,AMG,26.84708,80.860312,44.78947368421053
ALAMPUR ROAD,ALPR,15.895657,78.047012,50.5
ALAWALPUR IDRISPUR,AIH,29.0477960432,77.2716388989,29.0
ALEHPUR HALT,APRH,26.2094647257,84.7889855798,18.5
ALER,ALER,17.6459553,79.0483414,69.36363636363636
ALIA BADA,ALB,22.44677,70.210367,31.5
ALIGARH JN,ALJN,27.889584,78.074559,87.89473684210526
ALIPUR DUAR JN,APDJ,26.523279,89.534048,47.89655172413793
ALLEPPEY,ALLP,9.483759,76.322476,31.285714285714285
ALMATTI,LMT,16.3459,75.9005,35.083333333333336
ALNAVAR JN,LWR,15.424244,74.738116,32.166666666666664
ALNIYA,ALNI,25.0316757156,75.9087458728,17.75
ALTAGRAM,ATM,26.608131,88.946682,69.5
ALUABARI ROAD,AUB,26.269681,88.18561,66.4
ALUR HALT,ALUR,12.98251226,75.99049337,11.833333333333334
ALUVA,AWY,10.108163,76.356508,33.710144927536234
ALWAL,ALW,17.505779,78.515006,33.0
ALWAR,AWR,27.559273,76.621265,45.16279069767442
ALWAR TIRUNAGRI,AWT,8.602296,77.941809,11.0
AMALNER,AN,21.049009,75.057314,37.12
