Station_Name,Station_Code,Lat,Long,Average_Delay
ABHAIPUR,AHA,25.2159864584,86.3230724591,126.0
ABU ROAD,ABR,24.470775,72.775695,16.5
AGARTALA,AGTL,23.792417,91.278481,49.5
AGRA CANTT,AGC,27.157992,77.990153,38.0
AHMADNAGAR,ANG,19.0755194777,74.721882467,34.5
AHMEDABAD JN,ADI,23.025515,72.601516,19.0
AJMER JN,AII,26.456612,74.637464,12.0
AJNI,AJNI,21.1268588122,79.0825197485,15.0
AKOLA JN,AK,20.723084,77.005497,17.5
ALIGARH JN,ALJN,27.889584,78.074559,82.5
ALUVA,AWY,10.108163,76.356508,89.33333333333333
ALWAR,AWR,27.559273,76.621265,14.75
AMBALA CANT JN,UMB,30.338918,76.826966,108.88888888888889
AMETHI,AME,26.153024,81.806276,52.0
AMRITSAR JN,ASR,31.631512,74.858025,177.5
ANAKAPALLE,AKP,17.695503,83.008851,31.75
ANAND JN,ANND,22.561307,72.965733,24.0
ANAND VIHAR TRM,ANVT,28.6505035654,77.31521255,124.5
ANANTAPUR,ATP,14.686478,77.595312,22.25
ANKOLA,ANKL,14.645347,74.332936,59.5
ANUGRAHA N ROAD,AUBR,24.8559556,84.3298444,98.25
ANUPPUR JN,APR,23.117312,81.695967,51.5
ARA,ARA,25.548889,84.662596,161.125
ASANSOL JN,ASN,23.691441,86.975152,19.5
ATARRA,ATE,25.291367,80.576491,71.5
AZIMGANJ JN,AZ,24.219053,88.256764,45.0
BADARPUR JN,BPB,24.8651775,92.5563227,63.0
BADNERA JN,BD,20.8567925,77.7323197,7.5
BAGAHA,BUG,27.130045,84.066991,236.75
BAIRAGNIA,BGU,26.738282,85.273334,395.5
BAKHTIYARPUR JN,BKP,25.45611,85.529564,50.0
BALASORE,BLS,21.500521,86.919582,30.0
BALHARSHAH,BPQ,19.8490173,79.3485858,41.0
BANASWADI,BAND,13.00573,77.628196,31.5
BANDA JN,BNDA,25.477677,80.336246,67.0
BANDEL JN,BDC,22.9236565,88.3793623,50.25
BANDRA TERMINUS,BDTS,19.061911,72.840535,10.0
BAPUDHAM MOTIHARI,BMKI,26.655733,84.90529,73.0
BARAN,BAZ,25.0967701,76.5051284,369.5
BARAUNI JN,BJU,25.461768,85.988748,456.5
BAREILLY,BE,28.3371543,79.4108444,170.2
BARGAWAN,BRGW,24.197002,82.455989,389.5
BARKA KANA,BRKA,23.624159,85.469553,144.0
BARWADIH JN,BRWD,23.843836,84.11878,279.0
BASTI,BST,26.815678,82.770059,418.0
BEAS,BEAS,31.5193738,75.2908085,188.5
BEGU SARAI,BGS,25.425296,86.134476,654.75
BEGUMPET,BMT,17.4388739,78.4586266,15.5
BEOHARI,BEHR,24.0002687,81.3797154,399.5
BETTIAH,BTH,26.8058847,84.5229561,77.5
BHABUA ROAD,BBU,25.173007,83.618913,81.0
BHADOHI,BOY,25.3952636,82.5583597,47.5
BHADRAKH,BHC,21.0917458,86.5162305,27.5
BHAGALPUR,BGP,25.2419093,86.9767918,110.5
BHARUCH JN,BH,21.706907,72.997689,24.5
BHATAPARA,BYT,21.732464,81.946062,49.5
BHIWANI,BNW,28.7984261,76.1255797,12.5
BHOPAL JN,BPL,23.2668843843,77.4131428577,21.25
BHUBANESWAR,BBS,20.265388,85.842595,38.5
BHUSAVAL JN,BSL,21.0472812,75.7886717,144.16666666666666
BIHIYA,BEA,25.558893,84.448984,115.5
BIHTA,BTA,25.5609486,84.8740874,135.5
BILASPUR ROAD,BLQR,28.865601,79.254263,118.25
BINA JN,BINA,24.1709735,78.1831998,12.0
BOKARO THERMAL,BKRO,23.7851503,85.8755782,263.0
BORIVALI,BVI,19.228739,72.856412,21.5
BRAHMAPUR,BAM,19.2961348,84.7966912,51.0
BUXAR,BXR,25.562067,83.982184,198.33333333333334
CHAKIA,CAA,26.417182,85.04636,75.0
CHANDIGARH,CDG,30.7019773,76.82208,8.0
CHANDRAPURA,CRP,23.755676,86.119775,268.5
CHANGANASERI,CGY,9.449881,76.548414,27.25
CHARKHI DADRI,CKD,28.600799,76.279921,12.0
CHATRAPUR,CAP,19.3589572,84.973273,53.5
CHENGANNUR,CNGR,9.319504,76.608271,68.2
CHENNAI CENTRAL,MAS,13.0847613,80.2748563,23.5
CHHAPRA,CPR,25.78832,84.725004,651.25
CHIPLUN,CHI,17.5425074,73.522429,63.0
CHITRAKOOTDHAM,CKTD,25.217611,80.922775,71.5
CHITTAPUR,CT,17.1197808,77.0904516,22.0
CHOPAN,CPU,24.51403,83.025843,237.5
COIMBATORE JN,CBE,10.997639,76.966298,17.0
CUTTACK,CTC,20.466588,85.90156,40.5
DADAR,DR,19.017179,72.842972,13.5
DALSINGH SARAI,DSS,25.6647486,85.8414652,201.0
DALTONGANJ,DTO,24.033075,84.074843,164.25
DAMOH,DMO,23.836693,79.432246,362.5
DANAPUR,DNR,25.581921,85.044629,154.375
DARBHANGA JN,DBG,26.157088,85.907575,229.5
DAUND CHORD LINE,DDCC,18.4671,74.5535,17.0
DAUSA,DO,26.900047,76.330336,7.5
DEHRI ON SONE,DOS,24.914895,84.185434,80.83333333333333
DELHI,DLI,28.661816,77.228356,180.5
DELHI CANTT,DEC,28.613534,77.116577,20.5
DELHI S ROHILLA,DEE,28.662992,77.187106,13.0
DEORIA SADAR,DEOS,26.5076811676,83.7819590961,187.5
DHAMANGAON,DMN,20.784674,78.138054,18.0
DHANBAD JN,DHN,23.790966,86.428956,181.75
DHANDARI KALAN,DDL,30.874477,75.909491,36.5
DHARMANAGAR,DMR,24.366946,92.168247,61.0
DHARMAPURI,DPJ,12.126595,78.154742,34.0
DHARMAVARAM JN,DMM,14.424369,77.717115,18.0
DHONE,DHNE,15.396729,77.865727,23.0
DILDARNAGAR JN,DLN,25.419424,83.668324,134.0
DOMBIVILI,DI,19.218218,73.0869,83.0
DUMRAON,DURE,25.571984,84.143865,115.25
DURGAPUR,DGR,23.495046,87.297902,16.5
DUVVADA,DVD,17.703843,83.152059,23.5
ELURU,EE,16.717816,81.119762,31.75
ERNAKULAM TOWN,ERN,9.991582,76.2861,71.6
ERODE JN,ED,11.327682,77.725934,27.0
FALNA,FA,25.235808,73.234953,17.0
GADARWARA,GAR,22.899459,78.791734,27.0
GANDHINAGAR CAP,GNC,23.233379,72.629162,26.5
GARH BARUARI,GEB,26.019349,86.605596,373.5
GARWA ROAD,GHD,24.214419,83.885116,152.0
GAYA JN,GAYA,24.803978,84.999294,84.75
GETOR JAGATPURA,GTJT,26.836925,75.832384,9.5
GHAZIABAD,GZB,28.649702,77.431099,219.4
GHOGARDIHA,GGH,26.282768,86.468503,378.5
GOALPARA TOWN,GLPT,26.126535,90.620659,60.25
GOHANA,GHNA,29.140297,76.689378,13.0
GONDA JN,GD,27.154613,81.978152,267.5
GORAKHPUR JN,GKP,26.759311,83.381499,230.16666666666666
GOVINDPURI,GOY,26.454423,80.313203,186.5
GUDUR JN,GDR,14.148227,79.845121,39.5
GUMIA,GMIA,23.802651,85.828922,265.5
GUNA,GUNA,24.6405,77.314104,388.0
GUNTAKAL JN,GTL,15.17556,77.366611,26.0
GUNTUR JN,GNT,16.300784,80.441973,27.5
GURGAON,GGN,28.489165,77.010739,21.0
GUWAHATI,GHY,26.182635,91.751851,48.75
GWALIOR,GWL,26.216483,78.182292,42.5
H NIZAMUDDIN,NZM,28.58733,77.254249,17.4
HAIAGHAT,HYT,26.020321,85.878212,66.0
HAJIPUR JN,HJP,25.702909,85.2155,649.25
HALDWANI,HDW,29.215097,79.533732,117.0
HAPUR,HPU,28.739613,77.779576,188.5
HARDA,HD,22.338414,77.10084,27.0
HARDOI,HRI,27.399414,80.147877,197.0
HAZARIBAGH RD,HZD,24.174583,85.892035,133.0
HINDUPUR,HUP,13.819144,77.500362,33.5
HOSUR,HSRA,12.717606,77.822839,43.5
IGATPURI,IGP,19.694053,73.562379,29.0
ITARSI JN,ET,22.608258,77.767128,151.5
JABALPUR,JBP,23.164636,79.950919,148.5
JAIPUR,JP,26.920203,75.786923,16.5
JAJPUR K ROAD,JJKR,20.943544,86.132518,38.5
JALANDHAR CANT,JRC,31.306235,75.632106,121.2
JALANDHAR CITY,JUC,31.331665,75.591499,184.0
JALGAON JN,JL,21.018115,75.562875,207.0
JAMALPUR JN,JMP,25.313906,86.492285,126.5
JAMMU TAWI,JAT,32.706975,74.880117,109.0
JAMUI,JMU,24.971949,86.254775,16.0
JANAKPUR ROAD,JNR,26.467914,85.700856,403.0
JANGIPUR ROAD,JRLE,24.459515,88.04076,51.25
JAPLA,JPL,24.538969,84.002866,49.0
JASIDIH JN,JSME,24.514517,86.644255,21.0
JAYNAGAR,JYG,26.589465,86.134871,46.0
JHAJHA,JAJ,24.779456,86.399854,6.0
JHANJHARPUR,JJP,26.228493,86.267833,379.5
KALYAN JN,KYN,19.234716,73.12974,22.5
KANKAVALI,KKW,16.2587773,73.7198709,180.0
KANNUR,CAN,11.8706942,75.3683267,103.0
KANPUR CENTRAL,CNB,26.45424,80.350966,72.66666666666667
KAPTANGANJ JN,CPJ,26.926388,83.699907,371.5
KARNAL,KUN,29.694566,76.969821,48.666666666666664
KARWAR,KAWR,14.821387,74.183139,100.33333333333333
KASARAGOD,KGQ,12.491175,74.987652,99.0
KATHGODAM,KGM,29.266583,79.54633,104.0
KATNI,KTE,23.833385,80.400543,60.0
KATNI MURWARA,KMZ,23.8343563,80.4014844,365.5
KATNI SOUTH,KTES,23.824725,80.401113,393.5
KATRASGARH,KTH,23.795757,86.302399,261.5
KATWA,KWAE,23.640315,88.124085,50.75
KAYANKULAM JN,KYJ,9.182586,76.512933,67.6
KHAGARIA JN,KGG,25.505891,86.465251,653.5
KHAIRTHAL,KRH,27.797324415,76.6417041217,13.5
KHALARI,KLRE,23.651055,85.001627,268.0
KHAMMAM,KMT,17.249347,80.138491,45.5
KHANDWA,KNW,21.823596,76.353227,174.0
KHARAGPUR JN,KGP,22.341432,87.328456,32.0
KHATIPURA,KWP,26.835709,75.890498,25.5
KHURDA ROAD JN,KUR,20.153076,85.708234,42.5
KISHANGANJ,KNE,26.097746,87.949657,61.0
KISHANGARH,KSG,26.588968,74.855553,6.5
KIUL JN,KIUL,25.171504,86.106198,68.0
KODERMA,KQR,24.434741,85.529458,131.5
KOKRAJHAR,KOJ,26.405057,90.274125,61.0
KOLKATA,KOAA,22.601175,88.385179,32.333333333333336
KOLLAM JN,QLN,8.886586,76.596753,76.8
KOTA JN,KOTA,25.223553,75.8805,27.333333333333332
KOTTAYAM,KTYM,9.594177,76.532168,69.2
KOZHIKODE,CLT,11.246234,75.780407,100.66666666666667
KUMTA,KT,14.436871,74.420652,196.0
KUNDAPURA,KUDA,13.612909,74.728366,193.0
KURUKSHETRA JN,KKDE,29.96944,76.852795,46.0
LAHERIA SARAI,LSI,26.110633,85.903825,67.5
LAKSAR JN,LRJ,29.754038,78.019628,113.0
LAL KUAN,LKU,29.071574,79.517641,120.0
LATEHAR,LTHR,23.725092,84.46812,158.75
LINGAMPALLI,LPI,17.482874,78.316774,26.5
LOKMANYATILAK T,LTT,19.07032,72.891739,24.0
LUCKNOW NE,LJN,26.831967,80.918587,45.166666666666664
LUCKNOW NR,LKO,26.830675,80.925291,122.28571428571429
LUDHIANA JN,LDH,30.912367,75.847873,185.4
MADGAON,MAO,15.267911,73.970724,89.0
MADHUBANI,MBI,26.348165,86.076784,65.5
MADHUPUR JN,MDP,24.270633,86.642183,21.0
MAIHAR,MYR,24.255485,80.763148,392.0
MALDA TOWN,MLDT,25.015659,88.130338,46.5
MANDERDISA,MYD,25.707319,93.123109,76.5
MANGALORE JN,MAJN,12.866193,74.88006,91.66666666666667
MANIKPUR JN,MKP,25.063492,81.093657,359.5
MANMAD JN,MMR,20.249887,74.438305,144.5
MANSI JN,MNE,25.509398,86.554446,1115.0
MARKAPUR ROAD,MRK,15.714678,79.301115,33.0
MATA VAISHNO DEVI KATRA,SVDK,32.982814,74.935736,2.0
MATHURA JN,MTJ,27.480145,77.673117,17.0
MAVELIKARA,MVLK,9.239487,76.545692,15.5
MOKAMEH JN,MKA,25.391885,85.913049,48.25
MOOKAMBIKA ROAD,BYNR,13.87259,74.63279,85.66666666666667
MORADABAD,MB,28.831621,78.765801,167.8181818181818
MURI,MURI,23.376284371,85.8669906885,32.5
MUZAFFARPUR JN,MFP,26.122311,85.378006,460.5
NABADWIP DHAM,NDAE,23.396593,88.356472,56.25
NABENAGAR ROAD,NBG,24.653944,84.094044,49.0
NADIAD JN,ND,22.694106,72.855718,21.5
NAGPUR,NGP,21.153567,79.089004,32.666666666666664
NANDURA,NN,20.838889,76.460158,14.5
NANDYAL,NDL,15.468024,78.472545,19.5
NARASARAOPET,NRT,16.231527,80.041607,31.5
NARKATIAGANJ JN,NKE,27.105035,84.464045,230.75
NARSINGHPUR,NU,22.943112,79.214385,24.0
NASIK ROAD,NK,19.947627,73.841897,199.0
NEW ALIPURDAUR,NOQ,26.48572,89.541398,62.25
NEW BONGAIGAON,NBQ,26.4758354405,90.5368434644,56.0
NEW COOCH BEHAR,NCB,26.353159,89.469766,78.0
NEW DELHI,NDLS,28.642314,77.220004,115.4
NEW HAFLONG,NHLG,25.1481,93.0319,72.5
NEW JALPAIGURI,NJP,26.683025,88.443391,48.25
NEW KARIMGANJ,NKMG,24.8433689098397,92.3943808116131,64.0
NEW KATNI JN,NKJ,23.8136370394,80.4204539438,188.0
NIRMALI,NMA,26.305325,86.574615,348.5
NSC BOSE J GOMO,GMO,23.873106,86.14823,123.5
ONGOLE,OGL,15.498064,80.057404,43.5
ORAI,ORAI,25.9825370076,79.459533963,29.5
PALAKKAD JN,PGT,10.802091,76.641926,23.5
PALANPUR JN,PNU,24.174433,72.430172,15.0
PALASA,PSA,18.756782,84.422091,34.0
PANIPAT JN,PNP,29.388948,76.963793,107.8
PANVEL,PNVL,18.990919,73.121756,49.0
PARASNATH,PNME,23.987971,86.037862,126.0
PATHANKOT CANTT,PTKC,32.2593,75.636044,118.8
PATNA JN,PNBE,25.60256,85.136824,55.875
PATNA SAHEB,PNC,25.585856,85.230942,173.83333333333334
PATRATU,PTRU,23.667024,85.305877,269.5
PENDRA ROAD,PND,22.755825,81.89917,55.5
PHAGWARA JN,PGW,31.2175557498,75.7655019775,189.5
PHULERA JN,FL,26.872814,75.245456,10.0
PIPARIYA,PPI,22.753941,78.354538,26.5
PRAYAGRAJ JN,PRYJ,25.4453,81.8253,97.5
PUNE JN,PUNE,18.529378,73.873086,3.5
PURI,PURI,19.811459,85.839992,18.5
RAE BARELI JN,RBL,26.232684,81.23932,54.0
RAGAUL,RGU,25.686945,80.129683,71.0
RAICHUR,RC,16.192441,77.339165,21.0
RAIPUR JN,R,21.256462,81.629328,40.5
RAJAMUNDRY,RJY,16.984159,81.783901,34.75
RAMPUR,RMU,28.778863,79.023419,114.5
RANCHI,RNC,23.348811,85.33352,12.5
RANCHI ROAD,RRME,23.665992,85.511603,266.5
