Station_Name,Station_Code,Lat,Long,Average_Delay
ABHAIPUR,AHA,25.2159864584,86.3230724591,262.0
ABU ROAD,ABR,24.470775,72.775695,3.5
AGARTALA,AGTL,23.792417,91.278481,39.5
AGRA CANTT,AGC,27.157992,77.990153,32.5
AHMADNAGAR,ANG,19.0755194777,74.721882467,33.0
AHMEDABAD JN,ADI,23.025515,72.601516,10.5
AJMER JN,AII,26.456612,74.637464,3.25
AJNI,AJNI,21.1268588122,79.0825197485,16.0
AKOLA JN,AK,20.723084,77.005497,19.0
ALIGARH JN,ALJN,27.889584,78.074559,167.75
ALUVA,AWY,10.108163,76.356508,88.33333333333333
ALWAR,AWR,27.559273,76.621265,8.5
AMBALA CANT JN,UMB,30.338918,76.826966,111.0
AMETHI,AME,26.153024,81.806276,69.5
AMRITSAR JN,ASR,31.631512,74.858025,148.0
ANAKAPALLE,AKP,17.695503,83.008851,35.75
ANAND JN,ANND,22.561307,72.965733,14.0
ANAND VIHAR TRM,ANVT,28.6505035654,77.31521255,164.58333333333334
ANANTAPUR,ATP,14.686478,77.595312,16.0
ANKOLA,ANKL,14.645347,74.332936,48.5
ANUGRAHA N ROAD,AUBR,24.8559556,84.3298444,177.5
ANUPPUR JN,APR,23.117312,81.695967,66.0
ARA,ARA,25.548889,84.662596,208.75
ASANSOL JN,ASN,23.691441,86.975152,23.5
ATARRA,ATE,25.291367,80.576491,80.0
AZIMGANJ JN,AZ,24.219053,88.256764,39.25
BADARPUR JN,BPB,24.8651775,92.5563227,49.0
BADNERA JN,BD,20.8567925,77.7323197,7.0
BAGAHA,BUG,27.130045,84.066991,243.75
BAIRAGNIA,BGU,26.738282,85.273334,393.5
BAKHTIYARPUR JN,BKP,25.45611,85.529564,91.5
BALASORE,BLS,21.500521,86.919582,33.5
BALHARSHAH,BPQ,19.8490173,79.3485858,31.5
BANASWADI,BAND,13.00573,77.628196,33.0
BANDA JN,BNDA,25.477677,80.336246,79.0
BANDEL JN,BDC,22.9236565,88.3793623,43.5
BANDRA TERMINUS,BDTS,19.061911,72.840535,6.25
BAPUDHAM MOTIHARI,BMKI,26.655733,84.90529,98.5
BARAN,BAZ,25.0967701,76.5051284,369.5
BARAUNI JN,BJU,25.461768,85.988748,144.0
BAREILLY,BE,28.3371543,79.4108444,147.6
BARGAWAN,BRGW,24.197002,82.455989,414.0
BARKA KANA,BRKA,23.624159,85.469553,169.75
BARWADIH JN,BRWD,23.843836,84.11878,285.0
BASTI,BST,26.815678,82.770059,367.0
BEAS,BEAS,31.5193738,75.2908085,160.0
BEGU SARAI,BGS,25.425296,86.134476,161.0
BEGUMPET,BMT,17.4388739,78.4586266,17.5
BEOHARI,BEHR,24.0002687,81.3797154,423.5
BETTIAH,BTH,26.8058847,84.5229561,99.0
BHABUA ROAD,BBU,25.173007,83.618913,152.33333333333334
BHADOHI,BOY,25.3952636,82.5583597,64.5
BHADRAKH,BHC,21.0917458,86.5162305,32.5
BHAGALPUR,BGP,25.2419093,86.9767918,239.0
BHARUCH JN,BH,21.706907,72.997689,12.5
BHATAPARA,BYT,21.732464,81.946062,52.0
BHIWANI,BNW,28.7984261,76.1255797,12.0
BHOPAL JN,BPL,23.2668843843,77.4131428577,22.0
BHUBANESWAR,BBS,20.265388,85.842595,41.0
BHUSAVAL JN,BSL,21.0472812,75.7886717,144.66666666666666
BIHIYA,BEA,25.558893,84.448984,209.75
BIHTA,BTA,25.5609486,84.8740874,261.5
BILASPUR ROAD,BLQR,28.865601,79.254263,0.0
BINA JN,BINA,24.1709735,78.1831998,25.0
BOKARO THERMAL,BKRO,23.7851503,85.8755782,269.0
BORIVALI,BVI,19.228739,72.856412,19.0
BRAHMAPUR,BAM,19.2961348,84.7966912,52.0
BUXAR,BXR,25.562067,83.982184,261.8333333333333
CHAKIA,CAA,26.417182,85.04636,101.0
CHANDIGARH,CDG,30.7019773,76.82208,6.5
CHANDRAPURA,CRP,23.755676,86.119775,275.0
CHANGANASERI,CGY,9.449881,76.548414,24.0
CHARKHI DADRI,CKD,28.600799,76.279921,13.0
CHATRAPUR,CAP,19.3589572,84.973273,56.0
CHENGANNUR,CNGR,9.319504,76.608271,66.2
CHENNAI CENTRAL,MAS,13.0847613,80.2748563,8.0
CHHAPRA,CPR,25.78832,84.725004,153.0
CHIPLUN,CHI,17.5425074,73.522429,63.0
CHITRAKOOTDHAM,CKTD,25.217611,80.922775,83.5
CHITTAPUR,CT,17.1197808,77.0904516,25.0
CHOPAN,CPU,24.51403,83.025843,243.0
COIMBATORE JN,CBE,10.997639,76.966298,14.0
CUTTACK,CTC,20.466588,85.90156,46.0
DADAR,DR,19.017179,72.842972,12.0
DALSINGH SARAI,DSS,25.6647486,85.8414652,168.0
DALTONGANJ,DTO,24.033075,84.074843,191.25
DAMOH,DMO,23.836693,79.432246,362.5
DANAPUR,DNR,25.581921,85.044629,202.625
DARBHANGA JN,DBG,26.157088,85.907575,262.5
DAUND CHORD LINE,DDCC,18.4671,74.5535,14.5
DAUSA,DO,26.900047,76.330336,6.0
DEHRI ON SONE,DOS,24.914895,84.185434,150.66666666666666
DELHI,DLI,28.661816,77.228356,270.0
DELHI CANTT,DEC,28.613534,77.116577,11.0
DELHI S ROHILLA,DEE,28.662992,77.187106,2.0
DEORIA SADAR,DEOS,26.5076811676,83.7819590961,152.5
DHAMANGAON,DMN,20.784674,78.138054,18.5
DHANBAD JN,DHN,23.790966,86.428956,238.0
DHANDARI KALAN,DDL,30.874477,75.909491,22.0
DHARMANAGAR,DMR,24.366946,92.168247,50.5
DHARMAPURI,DPJ,12.126595,78.154742,31.0
DHARMAVARAM JN,DMM,14.424369,77.717115,14.25
DHONE,DHNE,15.396729,77.865727,9.0
DILDARNAGAR JN,DLN,25.419424,83.668324,259.0
DUMRAON,DURE,25.571984,84.143865,210.0
DURGAPUR,DGR,23.495046,87.297902,19.0
DUVVADA,DVD,17.703843,83.152059,22.5
ELURU,EE,16.717816,81.119762,32.25
ERNAKULAM TOWN,ERN,9.991582,76.2861,69.4
ERODE JN,ED,11.327682,77.725934,22.5
FALNA,FA,25.235808,73.234953,3.0
GADARWARA,GAR,22.899459,78.791734,27.5
GANDHINAGAR CAP,GNC,23.233379,72.629162,13.0
GARH BARUARI,GEB,26.019349,86.605596,372.0
GARWA ROAD,GHD,24.214419,83.885116,178.75
GAYA JN,GAYA,24.803978,84.999294,168.5
GETOR JAGATPURA,GTJT,26.836925,75.832384,9.5
GHAZIABAD,GZB,28.649702,77.431099,254.75
GHOGARDIHA,GGH,26.282768,86.468503,376.5
GOALPARA TOWN,GLPT,26.126535,90.620659,53.25
GOHANA,GHNA,29.140297,76.689378,11.5
GONDA JN,GD,27.154613,81.978152,255.0
GORAKHPUR JN,GKP,26.759311,83.381499,208.83333333333334
GOVINDPURI,GOY,26.454423,80.313203,280.0
GUDUR JN,GDR,14.148227,79.845121,28.0
GUMIA,GMIA,23.802651,85.828922,271.5
GUNA,GUNA,24.6405,77.314104,388.0
GUNTAKAL JN,GTL,15.17556,77.366611,24.5
GUNTUR JN,GNT,16.300784,80.441973,26.0
GURGAON,GGN,28.489165,77.010739,12.0
GUWAHATI,GHY,26.182635,91.751851,34.75
GWALIOR,GWL,26.216483,78.182292,34.0
H NIZAMUDDIN,NZM,28.58733,77.254249,19.2
HAIAGHAT,HYT,26.020321,85.878212,133.5
HAJIPUR JN,HJP,25.702909,85.2155,162.5
HALDWANI,HDW,29.215097,79.533732,0.0
HAPUR,HPU,28.739613,77.779576,153.5
HARDA,HD,22.338414,77.10084,40.5
HARDOI,HRI,27.399414,80.147877,161.5
HAZARIBAGH RD,HZD,24.174583,85.892035,229.5
HINDUPUR,HUP,13.819144,77.500362,25.5
HOSUR,HSRA,12.717606,77.822839,42.5
ITARSI JN,ET,22.608258,77.767128,153.0
JABALPUR,JBP,23.164636,79.950919,149.75
JAIPUR,JP,26.920203,75.786923,10.5
JAJPUR K ROAD,JJKR,20.943544,86.132518,44.5
JALANDHAR CANT,JRC,31.306235,75.632106,132.25
JALANDHAR CITY,JUC,31.331665,75.591499,154.5
JALGAON JN,JL,21.018115,75.562875,208.25
JAMALPUR JN,JMP,25.313906,86.492285,265.5
JAMMU TAWI,JAT,32.706975,74.880117,120.75
JAMUI,JMU,24.971949,86.254775,17.0
JANAKPUR ROAD,JNR,26.467914,85.700856,401.0
JANGIPUR ROAD,JRLE,24.459515,88.04076,47.5
JAPLA,JPL,24.538969,84.002866,101.5
JASIDIH JN,JSME,24.514517,86.644255,21.5
JAYNAGAR,JYG,26.589465,86.134871,114.0
JHAJHA,JAJ,24.779456,86.399854,3.5
JHANJHARPUR,JJP,26.228493,86.267833,378.0
KALYAN JN,KYN,19.234716,73.12974,21.0
KANKAVALI,KKW,16.2587773,73.7198709,180.0
KANNUR,CAN,11.8706942,75.3683267,94.33333333333333
KANPUR CENTRAL,CNB,26.45424,80.350966,102.8
KAPTANGANJ JN,CPJ,26.926388,83.699907,369.0
KARNAL,KUN,29.694566,76.969821,14.5
KARWAR,KAWR,14.821387,74.183139,93.66666666666667
KASARAGOD,KGQ,12.491175,74.987652,88.66666666666667
KATHGODAM,KGM,29.266583,79.54633,0.0
KATNI,KTE,23.833385,80.400543,74.0
KATNI MURWARA,KMZ,23.8343563,80.4014844,365.5
KATNI SOUTH,KTES,23.824725,80.401113,415.5
KATRASGARH,KTH,23.795757,86.302399,268.0
KATWA,KWAE,23.640315,88.124085,43.0
KAYANKULAM JN,KYJ,9.182586,76.512933,65.8
KHAGARIA JN,KGG,25.505891,86.465251,163.0
KHAIRTHAL,KRH,27.797324415,76.6417041217,12.5
KHALARI,KLRE,23.651055,85.001627,273.5
KHAMMAM,KMT,17.249347,80.138491,44.0
KHANDWA,KNW,21.823596,76.353227,175.25
KHARAGPUR JN,KGP,22.341432,87.328456,39.0
KHATIPURA,KWP,26.835709,75.890498,25.5
KHURDA ROAD JN,KUR,20.153076,85.708234,48.0
KISHANGANJ,KNE,26.097746,87.949657,55.5
KISHANGARH,KSG,26.588968,74.855553,8.0
KIUL JN,KIUL,25.171504,86.106198,135.25
KODERMA,KQR,24.434741,85.529458,224.5
KOKRAJHAR,KOJ,26.405057,90.274125,52.75
KOLKATA,KOAA,22.601175,88.385179,29.4
KOLLAM JN,QLN,8.886586,76.596753,76.6
KOTA JN,KOTA,25.223553,75.8805,27.666666666666668
KOTTAYAM,KTYM,9.594177,76.532168,66.8
KOZHIKODE,CLT,11.246234,75.780407,97.66666666666667
KUMTA,KT,14.436871,74.420652,196.0
KUNDAPURA,KUDA,13.612909,74.728366,193.0
KURUKSHETRA JN,KKDE,29.96944,76.852795,17.5
LAHERIA SARAI,LSI,26.110633,85.903825,133.0
