Station_Name,Station_Code,Lat,Long,Average_Delay
ABHAIPUR,AHA,25.21598646,86.32307246,0.0
ABU ROAD,ABR,24.470775,72.775695,4.75
AGARTALA,AGTL,23.792417,91.278481,51.0
AGRA CANTT,AGC,27.157992,77.990153,30.75
AGRA FORT,AF,27.183308,78.0191,0.0
AHMADNAGAR,ANG,19.07551948,74.72188247,24.0
AHMEDABAD JN,ADI,23.025515,72.601516,8.294117647058824
AISHBAGH,ASH,26.83738801,80.9096068,263.75
AJMER JN,AII,26.456612,74.637464,1.25
AJNI,AJNI,21.12685881,79.08251975,5.0
AKOLA JN,AK,20.723084,77.005497,14.166666666666666
ALIGARH JN,ALJN,27.889584,78.074559,50.0
ALLEPPEY,ALLP,9.483759,76.322476,41.0
AMBALA CANT JN,UMB,30.338918,76.826966,41.375
AMBASA,ABSA,23.930507,91.860783,72.5
AMRITSAR JN,ASR,31.631512,74.858025,143.5
ANAND JN,ANND,22.561307,72.965733,10.444444444444445
ANAND VIHAR TRM,ANVT,28.65050357,77.31521255,70.375
ANDUL,ADL,22.575169,88.239643,95.5
ANGUL,ANGL,20.859445,85.099994,24.5
ANKLESHWAR JN,AKV,21.623889,73.000633,14.75
ANUPPUR JN,APR,23.117312,81.695967,314.25
ARA,ARA,25.548889,84.662596,99.3
ARAKKONAM,AJJ,13.081512,79.667991,6.0
ARIYALUR,ALU,11.150035,79.068318,14.5
ARSIKERE JN,ASK,13.314425,76.2520848,18.0
ASANSOL JN,ASN,23.691441,86.975152,0.0
ASHOK NAGAR,ASKN,24.58015,77.726725,27.0
BADARPUR JN,BPB,24.8651775,92.5563227,90.5
BADNERA JN,BD,20.8567925,77.7323197,16.25
BALASORE,BLS,21.500521,86.919582,108.5
BALHARSHAH,BPQ,19.8490173,79.3485858,4.4
BALOTRA JN,BLT,25.830071,72.248683,6.25
BALRAMPUR,BLP,27.41582061,82.1606699,72.5
BANASWADI,BAND,13.00573,77.628196,70.0
BANDRA TERMINUS,BDTS,19.061911,72.840535,47.18181818181818
BANGARAPET,BWT,12.984808,78.178188,36.0
BAPUDHAM MOTIHARI,BMKI,26.655733,84.90529,66.0
BARAHAT,BHLE,24.92060047,87.0100838,0.0
BARAUNI JN,BJU,25.461768,85.988748,227.0
BAREILLY,BE,28.3371543,79.4108444,0.0
BARMER,BME,25.7445219,71.397067,1.0
BASTI,BST,26.815678,82.770059,177.5
BAYTU,BUT,25.897538,71.76868,6.75
BEGU SARAI,BGS,25.425296,86.134476,133.0
BELAGAVI,BGM,15.8492433,74.5095639,10.5
BETTIAH,BTH,26.8058847,84.5229561,62.0
BETUL,BZU,21.896393,77.905897,44.5
BHADRAKH,BHC,21.0917458,86.5162305,70.5
BHAGALPUR,BGP,25.2419093,86.9767918,0.0
BHAGAT KI KOTHI,BGKT,26.2484972,73.0133366,3.5
BHARATPUR JN,BTE,27.237107,77.488613,0.5
BHARUCH JN,BH,21.706907,72.997689,1.25
BHATAPARA,BYT,21.732464,81.946062,21.5
BHATINDA JN,BTI,30.209488,74.932083,0.0
