Station_Name,Station_Code,Lat,Long,Average_Delay
ABHAIPUR,AHA,25.2159864584,86.3230724591,42.5
ABU ROAD,ABR,24.470775,72.775695,10.75
ACHHNERA JN,AH,27.1817602284,77.7578389026,31.0
AGARTALA,AGTL,23.792417,91.278481,242.5
AGRA CANTT,AGC,27.157992,77.990153,130.25
AGRA FORT,AF,27.183308,78.0191,41.5
AHMADNAGAR,ANG,19.0755194777,74.721882467,33.0
AHMEDABAD JN,ADI,23.025515,72.601516,29.470588235294116
AISHBAGH,ASH,26.8373880081,80.9096067993,234.5
AJMER JN,AII,26.456612,74.637464,16.75
AJNI,AJNI,21.1268588122,79.0825197485,2.5
AKOLA JN,AK,20.723084,77.005497,64.16666666666667
ALIGARH JN,ALJN,27.889584,78.074559,63.5
ALLEPPEY,ALLP,9.483759,76.322476,72.5
AMBALA CANT JN,UMB,30.338918,76.826966,132.5
AMBASA,ABSA,23.930507,91.860783,259.0
AMRITSAR JN,ASR,31.631512,74.858025,272.0
ANAND JN,ANND,22.561307,72.965733,16.666666666666668
ANAND VIHAR TRM,ANVT,28.6505035654,77.31521255,37.125
ANDUL,ADL,22.575169,88.239643,260.0
ANGUL,ANGL,20.859445,85.099994,77.0
ANKLESHWAR JN,AKV,21.623889,73.000633,21.25
ANUPPUR JN,APR,23.117312,81.695967,187.25
ARA,ARA,25.548889,84.662596,94.1
ARAKKONAM,AJJ,13.081512,79.667991,175.33333333333334
ARIYALUR,ALU,11.150035,79.068318,49.0
ARSIKERE JN,ASK,13.314425,76.2520848,31.0
ASANSOL JN,ASN,23.691441,86.975152,27.0
ASHOK NAGAR,ASKN,24.58015,77.726725,38.0
BADARPUR JN,BPB,24.8651775,92.5563227,274.5
BADNERA JN,BD,20.8567925,77.7323197,16.25
BALASORE,BLS,21.500521,86.919582,61.5
BALHARSHAH,BPQ,19.8490173,79.3485858,109.7
BALOTRA JN,BLT,25.830071,72.248683,28.75
BALRAMPUR,BLP,27.4158206073,82.1606698987,88.0
BANASWADI,BAND,13.00573,77.628196,73.5
