Station_Name,Station_Code,Lat,Long,Average_Delay
ABHAIPUR,AHA,25.2159864584,86.3230724591,110.0
ABU ROAD,ABR,24.470775,72.775695,5.0
AGARTALA,AGTL,23.792417,91.278481,180.0
AGRA CANTT,AGC,27.157992,77.990153,130.75
AGRA FORT,AF,27.183308,78.0191,65.5
AHMADNAGAR,ANG,19.0755194777,74.721882467,26.5
AHMEDABAD JN,ADI,23.025515,72.601516,35.470588235294116
AISHBAGH,ASH,26.8373880081,80.9096067993,277.0
AJMER JN,AII,26.456612,74.637464,13.25
AJNI,AJNI,21.1268588122,79.0825197485,2.0
AKOLA JN,AK,20.723084,77.005497,51.833333333333336
ALIGARH JN,ALJN,27.889584,78.074559,95.0
ALLEPPEY,ALLP,9.483759,76.322476,64.0
AMBALA CANT JN,UMB,30.338918,76.826966,119.0
AMBASA,ABSA,23.930507,91.860783,198.0
AMRITSAR JN,ASR,31.631512,74.858025,196.0
ANAND JN,ANND,22.561307,72.965733,19.666666666666668
ANAND VIHAR TRM,ANVT,28.6505035654,77.31521255,85.75
ANDUL,ADL,22.575169,88.239643,208.5
ANGUL,ANGL,20.859445,85.099994,49.5
ANKLESHWAR JN,AKV,21.623889,73.000633,13.5
ANUPPUR JN,APR,23.117312,81.695967,266.75
ARA,ARA,25.548889,84.662596,119.9
ARAKKONAM,AJJ,13.081512,79.667991,149.0
ARIYALUR,ALU,11.150035,79.068318,36.75
ARSIKERE JN,ASK,13.314425,76.2520848,19.0
ASANSOL JN,ASN,23.691441,86.975152,31.0
ASHOK NAGAR,ASKN,24.58015,77.726725,31.0
BADARPUR JN,BPB,24.8651775,92.5563227,208.5
BADNERA JN,BD,20.8567925,77.7323197,9.0
BALASORE,BLS,21.500521,86.919582,74.0
BALHARSHAH,BPQ,19.8490173,79.3485858,73.4
BALOTRA JN,BLT,25.830071,72.248683,21.75
BALRAMPUR,BLP,27.4158206073,82.1606698987,130.5
BANASWADI,BAND,13.00573,77.628196,65.5
BANDRA TERMINUS,BDTS,19.061911,72.840535,38.166666666666664
BANGARAPET,BWT,12.984808,78.178188,39.0
BAPUDHAM MOTIHARI,BMKI,26.655733,84.90529,141.5
BARAHAT,BHLE,24.9206004744,87.0100837976,123.0
BARAUNI JN,BJU,25.461768,85.988748,241.5
BAREILLY,BE,28.3371543,79.4108444,50.5
BARMER,BME,25.7445219,71.397067,1.5
BASTI,BST,26.815678,82.770059,188.83333333333334
BAYTU,BUT,25.897538,71.76868,17.25
BEGU SARAI,BGS,25.425296,86.134476,87.5
BELAGAVI,BGM,15.8492433,74.5095639,20.75
BETTIAH,BTH,26.8058847,84.5229561,140.0
BETUL,BZU,21.896393,77.905897,58.75
BHADRAKH,BHC,21.0917458,86.5162305,121.5
BHAGALPUR,BGP,25.2419093,86.9767918,119.5
BHAGAT KI KOTHI,BGKT,26.2484972,73.0133366,2.0
BHARATPUR JN,BTE,27.237107,77.488613,29.0
BHARUCH JN,BH,21.706907,72.997689,30.5
BHATAPARA,BYT,21.732464,81.946062,104.0
BHATINDA JN,BTI,30.209488,74.932083,18.5
BHATNI JN,BTT,26.381257,83.934035,190.5
BHESTAN,BHET,21.1278829,72.8613128,45.5
BHILDI,BLDI,24.194251,72.008187,5.75
BHILWARA,BHL,25.3435508,74.6307734,21.75
BHOPAL JN,BPL,23.2668843843,77.4131428577,34.666666666666664
BHUBANESWAR,BBS,20.265388,85.842595,98.55555555555556
BHUSAVAL JN,BSL,21.0472812,75.7886717,106.36363636363636
BIKANER JN,BKN,28.014139,73.316598,22.0
BILASPUR JN,BSP,22.057473,82.167585,264.25
BINA JN,BINA,24.1709735,78.1831998,122.9
BIRUR JN,RRB,13.591101,75.974749,17.0
BORIVALI,BVI,19.228739,72.856412,53.3
BRAHMAPUR,BAM,19.2961348,84.7966912,131.28571428571428
BUNDI,BUDI,25.407922,75.650699,62.0
BUXAR,BXR,25.562067,83.982184,108.5
CHAKIA,CAA,26.417182,85.04636,140.5
CHAKRADHARPUR,CKP,22.678979,85.627771,344.6666666666667
CHALISGAON JN,CSN,20.464109,74.999049,25.666666666666668
CHANDERIYA,CNA,24.939558,74.629979,22.0
CHANDRAPUR,CD,19.960126,79.300505,45.75
CHENGALPATTU,CGL,12.692864,79.981519,38.5
CHENGANNUR,CNGR,9.319504,76.608271,16.0
CHENNAI EGMORE,MS,13.077678,80.260193,35.5
CHHAPRA,CPR,25.78832,84.725004,170.66666666666666
CHHAYAPURI,CYI,22.388284,73.179698,99.25
CHITTAURGARH,COR,24.874341,74.623687,20.5
CHURU,CUR,28.288281,74.966203,23.5
COIMBATORE JN,CBE,10.997639,76.966298,10.0
CUTTACK,CTC,20.466588,85.90156,129.0
DAHOD,DHD,22.843607,74.253374,174.0
DAMOH,DMO,23.836693,79.432246,195.5
DANAPUR,DNR,25.581921,85.044629,96.75
DANKUNI,DKAE,22.677422,88.291491,209.0
DARBHANGA JN,DBG,26.157088,85.907575,183.0
DAUND CHORD LINE,DDCC,18.4671,74.5535,16.833333333333332
DAVANGERE,DVG,14.467834,75.92229,15.5
DELHI,DLI,28.661816,77.228356,133.5
DELHI S ROHILLA,DEE,28.662992,77.187106,10.5
DELHI SAFDARJNG,DSJ,28.582121,77.186969,70.0
DEORIA SADAR,DEOS,26.5076811676,83.7819590961,226.66666666666666
DEWAS,DWX,22.977556,76.051191,25.75
DHANBAD JN,DHN,23.790966,86.428956,29.0
DHANERA,DQN,24.506528,72.032364,15.0
DHARMANAGAR,DMR,24.366946,92.168247,195.5
DHARWAR,DWR,15.440386,75.004552,16.5
DHENKANAL,DNKL,20.676825,85.590878,31.0
DHURI JN,DUI,30.372741,75.866603,123.0
DURG,DURG,21.200327,81.291837,192.83333333333334
DUVVADA,DVD,17.703843,83.152059,109.75
ELLENABAD,ENB,29.4441039926511,74.6579341054894,41.5
ELURU,EE,16.717816,81.119762,49.0
ERNAKULAM JN,ERS,9.969542,76.290672,60.0
ERNAKULAM TOWN,ERN,9.991582,76.2861,18.5
ERODE JN,ED,11.327682,77.725934,13.0
FARRUKHABAD,FBD,27.38236,79.571737,45.5
FIROZPUR CANT,FZR,30.942486,74.618439,15.0
GANDHIDHAM BG,GIMB,23.069086,70.147754,1.0
GAYA JN,GAYA,24.803978,84.999294,68.75
GONDA JN,GD,27.154613,81.978152,60.25
GONDIA JN,G,21.462435,80.190842,257.5
GORAKHPUR JN,GKP,26.759311,83.381499,163.9
GUDUR JN,GDR,14.148227,79.845121,35.875
GUNA,GUNA,24.6405,77.314104,65.0
GUNTAKAL JN,GTL,15.17556,77.366611,39.333333333333336
GUWAHATI,GHY,26.182635,91.751851,209.5
GWALIOR,GWL,26.216483,78.182292,122.75
H NIZAMUDDIN,NZM,28.58733,77.254249,138.5
H SAHIB NANDED,NED,19.160522,77.310478,118.0
HANSDIHA,HSDA,24.6141943022,87.0849798193,136.5
HANUMANGARH JN,HMH,29.614904,74.297633,28.0
HAPA,HAPA,22.468974,70.11814,44.0
HARIHAR,HRR,14.515431,75.812314,13.5
HATHRAS CITY,HTC,27.5998169,78.0550687,42.0
HINGOLI DECCAN,HNL,19.726357,77.146758,146.5
HOWRAH JN,HWH,22.584078,88.340999,83.0
HUBBALLI JN,UBL,15.350302,75.148104,18.75
INDORE JN BG,INDB,22.71757,75.868429,4.0
ITARSI JN,ET,22.608258,77.767128,65.3529411764706
JABALPUR,JBP,23.164636,79.950919,180.33333333333334
JAIPUR,JP,26.920203,75.786923,11.25
JALANDHAR CANT,JRC,31.306235,75.632106,112.5
JALOR,JOR,25.35418,72.63429,21.5
JAMALPUR JN,JMP,25.313906,86.492285,110.0
JAMMU TAWI,JAT,32.706975,74.880117,79.5
JAMNAGAR,JAM,22.493992,70.053879,24.5
JASIDIH JN,JSME,24.514517,86.644255,166.75
JAUNPUR JN,JNU,25.762849,82.699696,185.0
JAWAI BANDH,JWB,25.114043,73.147325,7.0
JAYNAGAR,JYG,26.589465,86.134871,211.5
JHAJHA,JAJ,24.779456,86.399854,152.25
