Station_Name,Station_Code,Lat,Long,Average_Delay
AGARTALA,AGTL,23.792417,91.278481,1.0
AHMEDABAD JN,ADI,23.025515,72.601516,0.75
AJMER JN,AII,26.456612,74.637464,1.0
AKALTARA,AKT,22.029121,82.422049,26.5
ALLEPPEY,ALLP,9.483759,76.322476,14.0
ALUVA,AWY,10.108163,76.356508,14.0
AMBALA CANT JN,UMB,30.338918,76.826966,7.25
AMBANDAURA,AADR,31.670727,76.110391,8.5
AMBASA,ABSA,23.930507,91.860783,6.5
AMRITSAR JN,ASR,31.631512,74.858025,1.0
AMROHA,AMRO,28.892688,78.474329,31.0
ANAND JN,ANND,22.561307,72.965733,4.25
ANANDPUR SAHIB,ANSB,31.2305136,76.5006035,15.0
AONLA,AO,28.296051,79.16915,19.5
ARA,ARA,25.548889,84.662596,56.5
ARSIKERE JN,ASK,13.314425,76.2520848,7.5
ARUNACHAL,ARCL,24.855593,92.742995,0.5
ASAFPUR,AFR,28.405553,78.905957,20.0
ASANSOL JN,ASN,23.691441,86.975152,18.0
AURANGABAD,AWB,19.859276,75.310646,13.5
BADARPUR JN,BPB,24.8651775,92.5563227,10.5
BAKHTIYARPUR JN,BKP,25.45611,85.529564,30.0
BALASORE,BLS,21.500521,86.919582,47.5
BALLABGARH,BVH,28.3408609239,77.312775968,9.0
BANBASA,BNSA,28.991685,80.0732101,9.5
BARA JAMDA,BJMD,22.1665327,85.412392,303.5
BARABIL,BBN,22.104577,85.369058,181.5
BARADWAR,BUA,22.011725,82.813724,30.5
BAREILLY,BRY,28.3372843,79.4109744,8.0
BAREILLY CITY,BC,28.3556564,79.403718,14.5
BARH,BARH,25.46165,85.709426,28.5
BASHARATGANJ,BTG,28.288009,79.2851956,19.0
BASI KIRATPUR,BSKR,29.497228,78.213283,43.5
BASMAT,BMF,19.3334723149,77.1517775964,30.0
BAYANA JN,BXN,26.916354,77.297131,18.0
BEAS,BEAS,31.5193738,75.2908085,9.5
BELDA,BLDA,22.07144398,87.33691374,49.0
BHADRAKH,BHC,21.0917458,86.5162305,42.0
BHADRAVATI,BDVT,13.8424287,75.702832,9.5
BHARATPUR JN,BTE,27.237107,77.488613,17.5
BHATAPARA,BYT,21.732464,81.946062,24.5
BHUBANESWAR,BBS,20.265388,85.842595,38.5
BIHIYA,BEA,25.558893,84.448984,54.0
BIHTA,BTA,25.5609486,84.8740874,59.5
BIJNOR,BJO,29.3856298,78.1468047,44.5
BILASPUR JN,BSP,22.057473,82.167585,16.0
BILASPUR ROAD,BLQR,28.865601,79.254263,11.0
BIRUR JN,RRB,13.591101,75.974749,9.5
BOKAJAN,BXJ,26.018426,93.779466,11.0
BOKARO STL CITY,BKSC,23.656551,86.085016,33.5
BUXAR,BXR,25.562067,83.982184,51.0
CHAIBASA,CBSA,22.560494,85.812342,311.5
CHAMPA,CPH,22.034731,82.665149,28.0
CHAND SIAU,CPS,29.13201,78.275855,45.0
CHANDAUSI JN,CH,28.458626,78.780268,14.0
CHANDIGARH,CDG,30.7019773,76.82208,9.0
CHANDRAPURA,CRP,23.755676,86.119775,34.5
CHAPARMUKH JN,CPK,26.202272,92.511718,9.0
CHENGANNUR,CNGR,9.319504,76.608271,11.5
CHENNAI CENTRAL,MAS,13.0847613,80.2748563,2.0
CHIKJAJUR JN,JRU,14.126112,76.138705,8.0
CHIPLUN,CHI,17.5425074,73.522429,19.5
CHIRALA,CLX,15.830755,80.353602,27.0
CHITTARANJAN,CRJ,23.857138,86.878036,23.5
COIMBATORE JN,CBE,10.997639,76.966298,1.0
CUTTACK,CTC,20.466588,85.90156,53.0
DABTARA,DUB,28.368424,78.991164,19.5
DADAR,DR,19.017179,72.842972,22.25
DANGOAPOSI,DPS,22.167964,85.59273,304.5
DAVANGERE,DVG,14.467834,75.92229,8.0
DEHRADUN,DDN,30.3140377,78.0336011,3.25
DELHI,DLI,28.661816,77.228356,29.25
DELHI CANTT,DEC,28.613534,77.116577,10.0
DELHI S ROHILLA,DEE,28.662992,77.187106,1.0
DELHI SHAHDARA,DSA,28.673098,77.293154,24.5
DEOBAND,DBD,29.6800315,77.6708734,10.5
