Station_Name,Station_Code,Lat,Long,Average_Delay
AGARTALA,AGTL,23.792417,91.278481,4.0
AHMEDABAD JN,ADI,23.025515,72.601516,0.75
AJMER JN,AII,26.456612,74.637464,2.0
AKALTARA,AKT,22.029121,82.422049,17.5
ALLEPPEY,ALLP,9.483759,76.322476,18.5
ALUVA,AWY,10.108163,76.356508,17.0
AMBALA CANT JN,UMB,30.338918,76.826966,17.25
AMBANDAURA,AADR,31.670727,76.110391,17.0
AMBASA,ABSA,23.930507,91.860783,9.5
AMRITSAR JN,ASR,31.631512,74.858025,12.0
AMROHA,AMRO,28.892688,78.474329,20.5
ANAND JN,ANND,22.561307,72.965733,4.75
ANANDPUR SAHIB,ANSB,31.2305136,76.5006035,24.0
AONLA,AO,28.296051,79.16915,19.5
ARA,ARA,25.548889,84.662596,26.5
ARSIKERE JN,ASK,13.314425,76.2520848,10.0
ARUNACHAL,ARCL,24.855593,92.742995,9.5
ASAFPUR,AFR,28.405553,78.905957,21.0
ASANSOL JN,ASN,23.691441,86.975152,16.5
AURANGABAD,AWB,19.859276,75.310646,20.5
BADARPUR JN,BPB,24.8651775,92.5563227,15.5
BAKHTIYARPUR JN,BKP,25.45611,85.529564,30.5
BALASORE,BLS,21.500521,86.919582,27.5
BALLABGARH,BVH,28.3408609239,77.312775968,13.5
BANBASA,BNSA,28.991685,80.0732101,11.0
BARA JAMDA,BJMD,22.1665327,85.412392,134.5
BARABIL,BBN,22.104577,85.369058,117.0
BARADWAR,BUA,22.011725,82.813724,20.5
BAREILLY,BRY,28.3372843,79.4109744,12.0
BAREILLY CITY,BC,28.3556564,79.403718,19.0
BARH,BARH,25.46165,85.709426,34.0
BASHARATGANJ,BTG,28.288009,79.2851956,18.5
BASI KIRATPUR,BSKR,29.497228,78.213283,28.5
BASMAT,BMF,19.3334723149,77.1517775964,30.0
BAYANA JN,BXN,26.916354,77.297131,23.0
BEAS,BEAS,31.5193738,75.2908085,25.0
BELDA,BLDA,22.07144398,87.33691374,25.5
BHADRAKH,BHC,21.0917458,86.5162305,25.0
BHADRAVATI,BDVT,13.8424287,75.702832,11.0
BHARATPUR JN,BTE,27.237107,77.488613,19.0
BHATAPARA,BYT,21.732464,81.946062,19.0
BHODWAL MAJRI,BDMJ,29.1852092,77.0082364,26.0
BHUBANESWAR,BBS,20.265388,85.842595,28.5
BIHIYA,BEA,25.558893,84.448984,28.0
BIHTA,BTA,25.5609486,84.8740874,27.0
BIJNOR,BJO,29.3856298,78.1468047,29.5
BILASPUR JN,BSP,22.057473,82.167585,11.0
BILASPUR ROAD,BLQR,28.865601,79.254263,17.0
BIRUR JN,RRB,13.591101,75.974749,10.75
BOKAJAN,BXJ,26.018426,93.779466,11.5
BOKARO STL CITY,BKSC,23.656551,86.085016,21.0
BUXAR,BXR,25.562067,83.982184,26.0
CHAIBASA,CBSA,22.560494,85.812342,147.5
CHAMPA,CPH,22.034731,82.665149,17.5
CHAND SIAU,CPS,29.13201,78.275855,29.5
CHANDAUSI JN,CH,28.458626,78.780268,14.5
CHANDIGARH,CDG,30.7019773,76.82208,17.0
CHANDRAPURA,CRP,23.755676,86.119775,25.5
CHAPARMUKH JN,CPK,26.202272,92.511718,13.5
CHAUBE,CBH,24.2372952691,85.8160239368,17.0
CHENGANNUR,CNGR,9.319504,76.608271,13.0
CHENNAI CENTRAL,MAS,13.0847613,80.2748563,3.5
CHIKJAJUR JN,JRU,14.126112,76.138705,12.0
CHIPLUN,CHI,17.5425074,73.522429,34.5
CHIRALA,CLX,15.830755,80.353602,17.5
CHITTARANJAN,CRJ,23.857138,86.878036,21.0
COIMBATORE JN,CBE,10.997639,76.966298,1.0
CUTTACK,CTC,20.466588,85.90156,39.0
DABTARA,DUB,28.368424,78.991164,20.5
DADAR,DR,19.017179,72.842972,31.0
DANAPUR,DNR,25.581921,85.044629,29.5
DANGOAPOSI,DPS,22.167964,85.59273,139.0
DAVANGERE,DVG,14.467834,75.92229,11.0
DEHRADUN,DDN,30.3140377,78.0336011,8.75
DELHI,DLI,28.661816,77.228356,20.25
DELHI CANTT,DEC,28.613534,77.116577,8.0
DELHI S ROHILLA,DEE,28.662992,77.187106,1.0
DELHI SHAHDARA,DSA,28.673098,77.293154,17.5
DEOBAND,DBD,29.6800315,77.6708734,19.5
DHANDARI KALAN,DDL,30.874477,75.909491,15.0
