Station_Name,Station_Code,Lat,Long,Average_Delay
ABHAIPUR,AHA,25.2159864584,86.3230724591,23.5
ABHAYAPURI ASAM,AYU,26.356599,90.641696,35.75
ABJUGANJ,AJUG,25.242369,86.775451,24.875
ABOHAR,ABS,30.1393834225,74.1956861774,19.714285714285715
ABU ROAD,ABR,24.470775,72.775695,3.0
ABUTARA H,ABW,26.0707762,89.5868746,18.25
ACHALDA,ULD,26.701949,79.404392,41.55555555555556
ACHALGANJ,ACH,26.444642,80.545415,36.75
ACHARAPAKKAM,ACK,12.406776,79.821722,11.0
ACHEGAON,ACG,20.976217,75.934247,22.0
ACHHNERA JN,AH,27.1817602284,77.7578389026,49.61538461538461
ACHUARA H,ACU,25.45273,85.661087,33.2
ADAPUR,ADX,26.924721,84.941759,73.875
ADARI ROAD,ADE,20.986795,70.330818,22.5
ADARSH MANPUR,AHMP,25.1344757598,85.9110626782,29.5
ADAS ROAD,ADD,22.4866280782,73.0346944543,6.2
ADDERI,AEX,14.141045,75.157978,4.5
ADHARTAL,ADTL,23.227389,79.972274,60.5
ADHICHCHANUR,ACN,12.05415,79.182478,5.666666666666667
ADHIKARI,ADQ,26.57689211,88.16988226,51.666666666666664
ADHINPUR,AHZ,26.418478,81.726848,155.5
ADHYATMIK NAGAR H,AKNR,28.679874,77.499727,30.25
ADI SAPTAGRAM,ADST,22.95447,88.378872,19.0
ADIHALLI,ADHL,13.2834201678,76.3472840454,4.5
ADILABAD,ADB,19.680104,78.535285,9.333333333333334
ADINA,ADF,25.114397,88.12318,27.5
ADITYAPUR,ADTP,22.782212,86.158954,26.833333333333332
ADIYAKKAMUNGALAM,AYM,10.756748,79.68058,14.875
ADONI,AD,15.617035,77.27485,27.0
ADRA JN,ADRA,23.495992,86.674665,22.48780487804878
ADRSH NGR DELHI,ANDI,28.714205,77.166707,39.22222222222222
ADUTURAI,ADT,11.009165,79.478668,16.166666666666668
AGARAM SIBBANDI,AGM,12.414388,79.113347,11.666666666666666
AGARPARA,AGP,22.682505,88.384761,9.0
AGARTALA,AGTL,23.792417,91.278481,4.666666666666667
AGASOD,AGD,24.234023,78.216912,58.0
AGAUTHAR H,AGTR,26.0081455466,84.8437572205,16.166666666666668
AGHWANPUR,AWP,28.939542,78.702865,34.5
AGOMONI,AGMN,26.225947,89.786242,68.5
AGORI KHAS,AGY,24.59896,83.056105,47.0
AGRA CANTT,AGC,27.157992,77.990153,70.125
AGRA CITY,AGA,27.1945731,78.0157752,48.25
AGRA FORT,AF,27.183308,78.0191,16.875
AGRADWIP,AGAE,23.58096,88.226117,16.0
AGSAULI,AUL,27.705677,78.444553,27.375
AGTHORI,AGT,26.20089324,91.686006,11.5
AHALYAPUR,AHLR,26.468381,83.824844,83.16666666666667
AHERA,AHQ,28.926421,77.278624,29.72222222222222
AHIMANPUR,AHM,25.252404,82.511544,139.0
AHIRAN,AHN,24.517687,88.041125,29.416666666666668
AHIRAULI H,AHU,27.30686,83.034225,80.75
AHJU,AHJU,32.02843,76.690156,5.2
AHMADGARH,AHH,30.683642,75.829518,23.5
AHMADNAGAR,ANG,19.0755194777,74.721882467,4.0
AHMADPUR JN,AMP,23.8325090573,87.6928410938,32.0625
AHMEDABAD JN,ADI,23.025515,72.601516,3.2
AILAM H,AILM,29.2719947091,77.2915349414,32.0625
