Station_Name,Station_Code,Lat,Long,Average_Delay
ABHAIPUR,AHA,25.2159864584,86.3230724591,23.5
ABHAYAPURI ASAM,AYU,26.356599,90.641696,32.0
ABJUGANJ,AJUG,25.242369,86.775451,39.375
ABOHAR,ABS,30.1393834225,74.1956861774,22.142857142857142
ABU ROAD,ABR,24.470775,72.775695,3.0
ABUTARA H,ABW,26.0707762,89.5868746,30.0
ACHALDA,ULD,26.701949,79.404392,52.666666666666664
ACHALGANJ,ACH,26.444642,80.545415,39.75
ACHARAPAKKAM,ACK,12.406776,79.821722,9.5
ACHEGAON,ACG,20.976217,75.934247,22.0
ACHHNERA JN,AH,27.1817602284,77.7578389026,44.38461538461539
ACHUARA H,ACU,25.45273,85.661087,30.2
ADAPUR,ADX,26.924721,84.941759,65.25
ADARI ROAD,ADE,20.986795,70.330818,21.0
ADARSH MANPUR,AHMP,25.1344757598,85.9110626782,12.5
ADAS ROAD,ADD,22.4866280782,73.0346944543,4.5
ADDERI,AEX,14.141045,75.157978,5.5
ADHARTAL,ADTL,23.227389,79.972274,45.0
ADHICHCHANUR,ACN,12.05415,79.182478,5.333333333333333
ADHIKARI,ADQ,26.57689211,88.16988226,61.5
ADHINPUR,AHZ,26.418478,81.726848,119.5
ADHYATMIK NAGAR H,AKNR,28.679874,77.499727,41.75
ADI SAPTAGRAM,ADST,22.95447,88.378872,14.0
ADIHALLI,ADHL,13.2834201678,76.3472840454,5.5
ADILABAD,ADB,19.680104,78.535285,3.3333333333333335
ADINA,ADF,25.114397,88.12318,31.7
ADITYAPUR,ADTP,22.782212,86.158954,26.166666666666668
ADIYAKKAMUNGALAM,AYM,10.756748,79.68058,14.5
ADONI,AD,15.617035,77.27485,33.0
ADRA JN,ADRA,23.495992,86.674665,29.736842105263158
ADRSH NGR DELHI,ANDI,28.714205,77.166707,50.5
ADUTURAI,ADT,11.009165,79.478668,17.5
AGARAM SIBBANDI,AGM,12.414388,79.113347,9.333333333333334
AGARPARA,AGP,22.682505,88.384761,11.0
AGARTALA,AGTL,23.792417,91.278481,5.0
AGASOD,AGD,24.234023,78.216912,82.5
AGAUTHAR H,AGTR,26.0081455466,84.8437572205,14.166666666666666
AGHWANPUR,AWP,28.939542,78.702865,40.0
AGOMONI,AGMN,26.225947,89.786242,121.25
AGORI KHAS,AGY,24.59896,83.056105,49.5
AGRA CANTT,AGC,27.157992,77.990153,270.875
AGRA CITY,AGA,27.1945731,78.0157752,36.75
AGRA FORT,AF,27.183308,78.0191,18.125
AGRADWIP,AGAE,23.58096,88.226117,11.0
AGSAULI,AUL,27.705677,78.444553,28.0
AGTHORI,AGT,26.20089324,91.686006,16.0
AHALYAPUR,AHLR,26.468381,83.824844,86.0
AHERA,AHQ,28.926421,77.278624,23.27777777777778
AHIMANPUR,AHM,25.252404,82.511544,82.125
AHIRAN,AHN,24.517687,88.041125,30.333333333333332
AHIRAULI H,AHU,27.30686,83.034225,80.75
AHJU,AHJU,32.02843,76.690156,3.6
AHMADGARH,AHH,30.683642,75.829518,20.0
AHMADNAGAR,ANG,19.0755194777,74.721882467,3.0
AHMADPUR JN,AMP,23.8325090573,87.6928410938,28.8125
AHMEDABAD JN,ADI,23.025515,72.601516,4.2
AILAM H,AILM,29.2719947091,77.2915349414,26.125
AIT,AIT,25.903719,79.230436,20.666666666666668
AITHAL,ATMO,29.8079295893,78.0436230264,53.0
AIYANAPURAM,AYN,10.788547,78.929033,8.133333333333333
AJAIBPUR,AJR,28.4728347205,77.5937373035,33.529411764705884
AJAKOLLU,AJK,16.3467833327,77.8736361627,63.5
AJANTI,ANI,21.893954,76.285956,0.0
AJARAKA,AIA,27.959391,76.564209,14.5
AJGAIN,AJ,26.61721,80.620988,56.1
AJHAI,AJH,27.63615,77.558423,61.666666666666664
AJHARAIL,AHL,25.781638,87.848322,42.166666666666664
AJIT,AJIT,25.86007697,72.67795462,24.666666666666668
AJIT GILL MATTA H,AJTM,30.483469,74.863795,9.857142857142858
AJITWAL,AJL,30.807611,75.339818,17.1
AJJAMPUR,AJP,13.7283327,76.0097415,28.5
AJMER JN,AII,26.456612,74.637464,1.0
AJNI,AJNI,21.1268588122,79.0825197485,70.5
AJNOD,AJN,22.931326,75.738947,15.916666666666666
AKALKOT ROAD,AKOR,17.450243,76.137689,86.0
AKALTARA,AKT,22.029121,82.422049,39.0
AKANAPET,AKE,18.110863,78.396309,62.785714285714285
AKASHI P H,AKZ,23.3851244008,84.8877858557,5.285714285714286
AKATHUMURI,AMY,8.70031,76.758792,8.2
AKBARGANJ,AKJ,26.531456,81.501628,119.0
AKBARNAGAR,AKN,25.2348807669,86.8345333624,41.916666666666664
AKELA HANSPUR H,ALNP,28.34054,80.315571,2.7142857142857144
AKIVIDU,AKVD,16.582654,81.369055,18.625
AKKAMPET,AKAT,13.6491060718,80.0188634064,16.0
AKKIHEBBALU,AKK,12.62489,76.377598,21.5
AKODIA,AKD,23.378255,76.599245,21.5
AKOLA JN,AK,20.723084,77.005497,28.7
AKORA,AKW,25.613687,80.139995,64.5
AKOT,AKOT,21.095661,77.047217,0.0
AKSHAYWAT R NGR,AYRN,25.688767621,85.3154110229,43.5
ALAKKUDI,ALK,10.77766297,79.0537095,9.066666666666666
ALAL,ALAL,30.378176,75.724207,17.75
ALAMANDA,ALM,18.01251,83.271604,50.0
ALAMNAGAR,AMG,26.84708,80.860312,0.0
ALAMPUR,ALMR,21.944013,71.699156,15.4
ALAMPUR ROAD,ALPR,15.895657,78.047012,111.5
ALANDI,ALN,18.451229,74.093095,13.0
ALAPAKAM,ALP,11.6178033436,79.7272273724,19.166666666666668
ALAWAL PUR,AWL,31.425164,75.642236,33.333333333333336
ALAWALPUR IDRISPUR,AIH,29.0477960432,77.2716388989,26.529411764705884
ALEHPUR HALT,APRH,26.2094647257,84.7889855798,9.5
ALER,ALER,17.6459553,79.0483414,50.0
ALEWAHI,AWH,20.38793,79.710147,114.625
ALGAPUR,ALGP,24.754753,92.595918,13.5
ALGAWAN,AIG,27.700598,79.963236,0.0
ALIA BADA,ALB,22.44677,70.210367,0.0
ALIGANJ,ALJ,29.143806,78.932709,29.1
ALIGARH JN,ALJN,27.889584,78.074559,38.35
ALIPUR DUAR,APD,26.479307,89.520667,84.75
ALIPUR DUAR COURT,APDC,26.499255,89.526808,38.5
ALIPUR DUAR JN,APDJ,26.523279,89.534048,88.5
ALLEPPEY,ALLP,9.483759,76.322476,8.625
ALMATTI,LMT,16.3459,75.9005,64.83333333333333
ALMAW H,ALMW,25.259915,82.489941,82.125
ALNIYA,ALNI,25.0316757156,75.9087458728,13.2
ALUABARI ROAD,AUB,26.269681,88.18561,60.125
ALUVA,AWY,10.108163,76.356508,12.375
ALWAL,ALW,17.505779,78.515006,52.166666666666664
ALWAR,AWR,27.559273,76.621265,259.5
ALWAR TIRUNAGRI,AWT,8.602296,77.941809,6.9
AMAGURA,AGZ,19.068103,82.147342,27.0
AMALNER,AN,21.049009,75.057314,29.5
AMALPUR,AMLP,22.161144,73.508313,5.7
AMALSAD,AML,20.811373,72.956092,16.0
AMAN VADI,AMW,20.300507,77.065281,51.5
AMAR SAHEED J P H,ASJP,25.560087,84.409699,12.5
AMARAVATHI COLONY JN,AVC,14.498219,75.854093,8.75
AMARAVIIA,AMVA,8.397109,77.100362,17.555555555555557
AMARDA ROAD,ARD,21.734258,87.102374,111.16666666666667
AMARGARH,AGR,23.080689,74.747038,20.25
AMARPURA,APA,26.110973,74.249302,6.0
AMARPURA RATHAN,AMPR,29.483399,74.078953,22.25
AMAUSI,AMS,26.77443,80.841544,61.0
AMBAGAON,AGB,19.062527,82.239507,27.0
AMBALA CANT JN,UMB,30.338918,76.826966,16.2972972972973
AMBALA CITY,UBC,30.378497,76.763996,17.529411764705884
AMBALAPUZHA,AMPA,9.386059,76.363817,11.857142857142858
AMBALE,ABLE,18.398719,74.171511,16.5
AMBANDAURA,AADR,31.670727,76.110391,2.5
AMBAPENDARPUR H,APP,25.2669627882,85.5297094055,79.16666666666667
AMBARI,ABX,19.6893606972,78.2166847791,23.25
AMBARI FALAKATA,ABFC,26.641553,88.510593,13.166666666666666
AMBASA,ABSA,23.930507,91.860783,28.5
AMBATTUR,ABU,13.1143059808,80.1525249074,11.823529411764707
AMBATURAI,ABI,10.272226,77.924468,6.5
AMBIAPUR,AAP,26.515364,79.826878,62.666666666666664
AMBIKA BHAWANI HALT,AABH,25.751433665,84.9690033484,29.5
AMBIKA KALNA,ABKA,23.211377,88.353984,17.5
AMBIKAPUR,ABKP,23.137032,83.145109,19.666666666666668
AMBIKESHWAR,ABE,26.368567,77.963828,175.2
AMBLI ROAD,ABD,23.05437,72.494044,12.0
AMBLIYASAN,UMN,23.447386,72.423181,11.5
AMBODALA,AMB,19.8363234649,83.4563524799,76.75
AMBUR,AB,12.782934,78.721266,0.0
AMDARA,UDR,24.0995008758,80.5779045111,45.0
AMDI,AMDI,21.35241,79.318756,177.0
AMETHI,AME,26.153024,81.806276,118.5
AMGAON,AGN,21.3612928554,80.3746491022,79.2
AMGURI,AGI,26.812601,94.524011,38.0
AMHERA H,ARH,29.26223824,78.28580221,12.25
AMIN,AMIN,29.904968,76.900028,58.0
AMJONGA,AMGA,25.9816211386,90.8529670435,17.75
AMLA JN,AMLA,21.919717,78.123187,32.333333333333336
AMLAI,AAL,23.173469,81.593507,40.9
AMLI,AMLI,25.828156,76.286156,19.5
AMLO,AMLO,23.768893,85.980234,62.166666666666664
AMLORI SARSAR,ALS,26.2947140024,84.3455775659,25.428571428571427
AMMANABROLU,ANB,15.596402,80.148353,67.66666666666667
AMMAPALI,AMPL,25.2724414889,87.4585745682,28.5
AMMAPET,AMT,10.779506,79.315738,12.1
AMMASANDRA,AMSA,13.264571,76.7114857,18.0
AMMUGUDA,AMQ,17.487039,78.527215,54.666666666666664
AMNAPUR,ANQ,17.049465,74.459554,19.5
AMOLWA,AMO,27.211161,84.478487,6.0
AMONI,AONI,26.448121,92.919609,23.5
AMRAVATI,AMI,20.9300829,77.7577863,13.25
AMRELI,AE,21.607831,71.228012,0.0
AMRELI PARA,AEP,21.6079811042,71.2281676154,0.16666666666666666
AMRITSAR JN,ASR,31.631512,74.858025,19.666666666666668
AMRITVEL,AVL,21.077372,71.679671,3.0
AMROHA,AMRO,28.892688,78.474329,32.4
ANAKAPALLE,AKP,17.695503,83.008851,0.0
ANAND JN,ANND,22.561307,72.965733,1.9
ANAND NAGAR,ANDN,27.103714,83.270698,168.75
ANAND VIHAR,ANVR,28.6486144,77.3140236,16.52
ANANDAPURAM,ANF,14.073324,75.209164,10.5
ANANDPUR SAHIB,ANSB,31.2305136,76.5006035,19.5
ANANDTANDAVPUR,ANP,11.143966349,79.6576745148,19.0
ANANGUR,ANU,11.39694,77.820053,26.166666666666668
ANANTAPUR,ATP,14.686478,77.595312,5.833333333333333
ANANTARAJUPET,ANE,13.999592,79.302468,13.5
ANANTNAG,ANT,33.7385342444998,75.1071310881525,16.285714285714285
ANAPARTI,APT,16.935817,81.953181,0.0
ANARA,ANR,23.481082,86.559763,47.5
ANAS,ANAS,22.866009,74.421513,10.5
ANAVARDIKHANPET,AVN,13.05050406,79.56735043,10.125
ANCHELI,ACL,20.845167,72.944978,17.428571428571427
ANCHURI P H,ANCR,23.283904,86.993174,17.0
ANDAL JN,UDL,23.579012,87.181194,17.075
ANDAMPALLAM,AND,12.08842638,79.16898527,5.333333333333333
ANDANAPETTAI,APE,10.758823,79.844096,17.125
ANDUL,ADL,22.575169,88.239643,83.66666666666667
ANEKAL ROAD,AEK,12.723885,77.710727,20.25
ANGADGERI H,ANGR,16.45187366,75.84589116,64.0
ANGADI,AGCI,22.806751,73.282558,7.7
ANGADIPPURAM,AAM,10.979489,76.207343,5.1
ANGAMALI,AFK,10.183676,76.37786,12.625
ANGAR GHAT,ARG,25.795385,85.907174,49.25
ANGUA P H,AGV,21.892582,87.269923,149.5
ANGUL,ANGL,20.859445,85.099994,47.5
ANIPUR,APU,24.545736,92.434527,8.25
ANJANI,ANO,17.620605,73.399308,47.5
ANJAR,AJE,23.1194723,70.0366109,18.5
ANJHI SHAHABAD,AJI,27.643994,79.973314,0.0
ANKLESHWAR JN,AKV,21.623889,73.000633,11.0
ANKOLA,ANKL,14.645347,74.332936,66.0
ANKORAH AKORHA,ANH,24.761167,84.169539,71.0
ANKUSPUR,AKS,25.5713190547,83.4940121521,68.42857142857143
ANNANUR,ANNR,13.116018,80.126743,11.5
ANNAVARAM,ANV,17.269633,82.419677,0.0
ANNECHAKANAHALLI H,ANC,12.7379,76.282814,15.25
ANNIGERI,NGR,15.432164,75.430851,28.071428571428573
ANTAH,ATH,25.1611771,76.3072684,12.5
ANUGRAHA N ROAD,AUBR,24.8559556,84.3298444,85.77777777777777
ANUPGANJ,APG,26.757292,81.126093,112.5
ANUPGARH,APH,29.1968977,73.2045643,0.0
ANUPPAMBATTU,APB,13.304293,80.230769,15.5
ANUPPUR JN,APR,23.117312,81.695967,33.53846153846154
ANUPSHAHR,AUS,28.9479511135174,75.2112297993153,10.625
AONLA,AO,28.296051,79.16915,15.25
APPIKATLA,APL,15.970371,80.514466,85.33333333333333
APTA,APTA,18.863471,73.152629,14.928571428571429
APURVA PH,APRD,21.727401,87.638201,10.25
ARA,ARA,25.548889,84.662596,38.44
ARAG,ARAG,16.823628,74.791164,30.5
ARAKKONAM,AJJ,13.081512,79.667991,16.26086956521739
ARAKU,ARK,18.333991,82.86256,17.5
ARALAGUPPE H,ARGP,13.253132,76.615439,3.0
ARALVAYMOZHI,AAY,8.2494513612,77.5292646945,3.5
ARAMBAKAM,AKM,13.532686,80.074371,18.666666666666668
ARAND,ARN,21.102097,82.183013,71.75
ARANG MAHANADI,ANMD,21.189614,81.955513,25.0
ARANTANGI,ATQ,10.1644690569637,78.9968481380492,6.0
ARAON,AON,27.114343,78.692248,5.25
ARARIYA,ARR,26.1371182668,87.4119980969,32.333333333333336
ARARIYA COURT,ARQ,26.114921,87.446912,31.333333333333332
ARASALU H,ARU,13.999309,75.314466,6.5
ARAUL MAKANPUR,ARL,26.920662,80.018633,27.5
ARAVALI ROAD,AVRD,17.316531,73.53816,49.5
ARAVALLI,AVLI,16.620491,81.599095,20.2
ARAVANKADU,AVK,11.359124,76.769203,2.75
AREPALLI H,ARPL,16.270534,77.862369,59.0
ARGORA P H,AOR,23.347039,85.314358,1.4285714285714286
ARGUL PH,ARGL,20.12442672,85.67088007,13.0
ARIGADA,ARGD,23.643461,85.466475,56.1
ARIYALUR,ALU,11.150035,79.068318,19.0
ARJANSAR,AS,28.933796,73.871969,45.0
ARJUNAHALLI H,ARNH,12.512857,76.391729,21.25
ARJUNI,AJU,20.8165878335,80.022581618,109.5
ARKHA H,ARKA,25.867316,81.331277,94.5
ARNEJ,AEJ,22.582088,72.268322,4.0
ARNETHA,ARE,25.3897784806,76.0186741699,14.5
