Station_Name,Station_Code,Lat,Long,Average_Delay
ABHAIPUR,AHA,25.2159864584,86.3230724591,34.642857142857146
ABHAYAPURI ASAM,AYU,26.356599,90.641696,37.75
ABJUGANJ,AJUG,25.242369,86.775451,25.875
ABOHAR,ABS,30.1393834225,74.1956861774,19.428571428571427
ABU ROAD,ABR,24.470775,72.775695,3.0
ABUTARA H,ABW,26.0707762,89.5868746,17.75
ACHALDA,ULD,26.701949,79.404392,54.0
ACHALGANJ,ACH,26.444642,80.545415,37.0
ACHARAPAKKAM,ACK,12.406776,79.821722,8.5
ACHEGAON,ACG,20.976217,75.934247,20.5
ACHHNERA JN,AH,27.1817602284,77.7578389026,72.61538461538461
ACHUARA H,ACU,25.45273,85.661087,36.4
ADAPUR,ADX,26.924721,84.941759,74.875
ADARI ROAD,ADE,20.986795,70.330818,21.5
ADARSH MANPUR,AHMP,25.1344757598,85.9110626782,72.0
ADAS ROAD,ADD,22.4866280782,73.0346944543,7.0
ADDERI,AEX,14.141045,75.157978,3.0
ADHARTAL,ADTL,23.227389,79.972274,58.0
ADHICHCHANUR,ACN,12.05415,79.182478,6.666666666666667
ADHIKARI,ADQ,26.57689211,88.16988226,50.0
ADHINPUR,AHZ,26.418478,81.726848,122.0
ADHYATMIK NAGAR H,AKNR,28.679874,77.499727,34.0
ADI SAPTAGRAM,ADST,22.95447,88.378872,19.0
ADIHALLI,ADHL,13.2834201678,76.3472840454,6.5
ADILABAD,ADB,19.680104,78.535285,7.0
ADINA,ADF,25.114397,88.12318,29.5
ADITYAPUR,ADTP,22.782212,86.158954,22.27777777777778
ADIYAKKAMUNGALAM,AYM,10.756748,79.68058,11.875
ADONI,AD,15.617035,77.27485,24.5
ADRA JN,ADRA,23.495992,86.674665,23.29268292682927
ADRSH NGR DELHI,ANDI,28.714205,77.166707,44.44444444444444
ADUTURAI,ADT,11.009165,79.478668,15.5
AGARAM SIBBANDI,AGM,12.414388,79.113347,12.0
AGARPARA,AGP,22.682505,88.384761,8.0
AGARTALA,AGTL,23.792417,91.278481,4.285714285714286
AGASOD,AGD,24.234023,78.216912,56.5
AGAUTHAR H,AGTR,26.0081455466,84.8437572205,17.5
AGHWANPUR,AWP,28.939542,78.702865,36.25
AGOMONI,AGMN,26.225947,89.786242,68.25
AGORI KHAS,AGY,24.59896,83.056105,56.5
AGRA CANTT,AGC,27.157992,77.990153,81.625
AGRA CITY,AGA,27.1945731,78.0157752,64.25
AGRA FORT,AF,27.183308,78.0191,21.375
AGRADWIP,AGAE,23.58096,88.226117,12.0
AGSAULI,AUL,27.705677,78.444553,28.875
AGTHORI,AGT,26.20089324,91.686006,20.5
AHALYAPUR,AHLR,26.468381,83.824844,75.5
AHERA,AHQ,28.926421,77.278624,32.666666666666664
AHIMANPUR,AHM,25.252404,82.511544,105.75
AHIRAN,AHN,24.517687,88.041125,31.916666666666668
AHIRAULI H,AHU,27.30686,83.034225,73.0
AHJU,AHJU,32.02843,76.690156,5.4
AHMADGARH,AHH,30.683642,75.829518,24.1
AHMADNAGAR,ANG,19.0755194777,74.721882467,4.0
AHMADPUR JN,AMP,23.8325090573,87.6928410938,30.125
AHMEDABAD JN,ADI,23.025515,72.601516,2.9166666666666665
AILAM H,AILM,29.2719947091,77.2915349414,36.75
AIT,AIT,25.903719,79.230436,33.333333333333336
AITHAL,ATMO,29.8079295893,78.0436230264,35.5
AIYANAPURAM,AYN,10.788547,78.929033,7.266666666666667
AJAIBPUR,AJR,28.4728347205,77.5937373035,36.88235294117647
AJAKOLLU,AJK,16.3467833327,77.8736361627,63.5
AJANTI,ANI,21.893954,76.285956,0.5
AJARAKA,AIA,27.959391,76.564209,12.0
AJGAIN,AJ,26.61721,80.620988,70.9
AJHAI,AJH,27.63615,77.558423,67.0
AJHARAIL,AHL,25.781638,87.848322,47.666666666666664
AJIT,AJIT,25.86007697,72.67795462,26.0
AJIT GILL MATTA H,AJTM,30.483469,74.863795,12.285714285714286
AJITWAL,AJL,30.807611,75.339818,17.3
AJJAMPUR,AJP,13.7283327,76.0097415,28.0
