Station_Name,Station_Code,Lat,Long,Average_Delay
ABU ROAD,ABR,24.470775,72.775695,6.0
ADRA JN,ADRA,23.495992,86.674665,74.5
AGRA CANTT,AGC,27.157992,77.990153,17.666666666666668
AJMER JN,AII,26.456612,74.637464,7.0
ALLEPPEY,ALLP,9.483759,76.322476,46.5
ANARA,ANR,23.481082,86.559763,285.0
ANGUL,ANGL,20.859445,85.099994,270.5
ASANSOL JN,ASN,23.691441,86.975152,104.25
BALASORE,BLS,21.500521,86.919582,99.0
BALHARSHAH,BPQ,19.8490173,79.3485858,14.833333333333334
BALLIA,BUI,25.76057,84.15312,68.5
BANKURA,BQA,23.2243871,87.0746875,75.0
BARAUNI JN,BJU,25.461768,85.988748,60.5
BARDDHAMAN JN,BWN,23.249718,87.870281,8.0
BAREILLY,BE,28.3371543,79.4108444,55.5
BEGU SARAI,BGS,25.425296,86.134476,45.0
BHADRAKH,BHC,21.0917458,86.5162305,88.5
BHARUCH JN,BH,21.706907,72.997689,4.5
BHOPAL JN,BPL,23.2668843843,77.4131428577,16.4
BHUBANESWAR,BBS,20.265388,85.842595,130.33333333333334
BHUSAVAL JN,BSL,21.0472812,75.7886717,17.0
BILASPUR JN,BSP,22.057473,82.167585,10.5
BOKARO STL CITY,BKSC,23.656551,86.085016,81.25
BORIVALI,BVI,19.228739,72.856412,12.25
CHAKRADHARPUR,CKP,22.678979,85.627771,229.5
CHAPARMUKH JN,CPK,26.202272,92.511718,78.5
CHENNAI CENTRAL,MAS,13.0847613,80.2748563,2.0
CHHAPRA,CPR,25.78832,84.725004,56.5
CHOPAN,CPU,24.51403,83.025843,23.0
CUTTACK,CTC,20.466588,85.90156,147.16666666666666
DALTONGANJ,DTO,24.033075,84.074843,44.25
DANAPUR,DNR,25.581921,85.044629,83.0
DEHRI ON SONE,DOS,24.914895,84.185434,76.0
DELHI CANTT,DEC,28.613534,77.116577,8.0
DHANBAD JN,DHN,23.790966,86.428956,91.5
DHENKANAL,DNKL,20.676825,85.590878,263.5
DIBRUGARH,DBRG,27.4636065659,94.9352579102,39.6
DIMAPUR,DMV,25.905702,93.727816,73.25
DURG,DURG,21.200327,81.291837,13.5
DURGAPUR,DGR,23.495046,87.297902,103.0
ERNAKULAM JN,ERS,9.969542,76.290672,40.5
FALNA,FA,25.235808,73.234953,5.0
GARWA ROAD,GHD,24.214419,83.885116,33.75
GAYA JN,GAYA,24.803978,84.999294,114.91666666666667
GONDIA JN,G,21.462435,80.190842,31.5
GUNTAKAL JN,GTL,15.17556,77.366611,49.0
GURGAON,GGN,28.489165,77.010739,5.5
GUWAHATI,GHY,26.182635,91.751851,69.75
GWALIOR,GWL,26.216483,78.182292,22.375
H NIZAMUDDIN,NZM,28.58733,77.254249,3.1818181818181817
HAJIPUR JN,HJP,25.702909,85.2155,56.75
HIJILLI,HIJ,22.319921,87.320169,101.0
HOWRAH JN,HWH,22.584078,88.340999,59.0
ITARSI JN,ET,22.608258,77.767128,26.5
JAIPUR,JP,26.920203,75.786923,12.0
JAJPUR K ROAD,JJKR,20.943544,86.132518,91.5
JALGAON JN,JL,21.018115,75.562875,22.5
JAMMU TAWI,JAT,32.706975,74.880117,69.0
JASIDIH JN,JSME,24.514517,86.644255,12.0
JHARSUGUDA JN,JSG,21.862274,84.017427,248.0
KALYAN JN,KYN,19.234716,73.12974,13.5
KANNUR,CAN,11.8706942,75.3683267,49.5
KANPUR CENTRAL,CNB,26.45424,80.350966,66.86363636363636
KARWAR,KAWR,14.821387,74.183139,50.0
KASARAGOD,KGQ,12.491175,74.987652,55.0
KATHUA,KTHU,32.397897,75.551922,61.5
KATIHAR JN,KIR,25.548947,87.566409,50.0
KAZIPET JN,KZJ,17.974211,79.511025,29.0
