Station_Name,Station_Code,Lat,Long,Average_Delay
ABU ROAD,ABR,24.470775,72.775695,14.5
ADRA JN,ADRA,23.495992,86.674665,50.5
AGRA CANTT,AGC,27.157992,77.990153,33.833333333333336
AHMEDABAD JN,ADI,23.025515,72.601516,8.5
AJMER JN,AII,26.456612,74.637464,14.0
ALLEPPEY,ALLP,9.483759,76.322476,43.0
ANARA,ANR,23.481082,86.559763,99.5
ANGUL,ANGL,20.859445,85.099994,90.5
ASANSOL JN,ASN,23.691441,86.975152,36.25
BALASORE,BLS,21.500521,86.919582,61.0
BALHARSHAH,BPQ,19.8490173,79.3485858,26.666666666666668
BALLIA,BUI,25.76057,84.15312,34.75
BANKURA,BQA,23.2243871,87.0746875,49.5
BARAUNI JN,BJU,25.461768,85.988748,37.75
BARDDHAMAN JN,BWN,23.249718,87.870281,27.5
BAREILLY,BE,28.3371543,79.4108444,33.25
BEGU SARAI,BGS,25.425296,86.134476,41.5
BHADRAKH,BHC,21.0917458,86.5162305,52.25
BHARUCH JN,BH,21.706907,72.997689,12.5
BHOPAL JN,BPL,23.2668843843,77.4131428577,24.7
BHUBANESWAR,BBS,20.265388,85.842595,53.666666666666664
BHUSAVAL JN,BSL,21.0472812,75.7886717,26.5
BILASPUR JN,BSP,22.057473,82.167585,4.5
BOKARO STL CITY,BKSC,23.656551,86.085016,42.5
BORIVALI,BVI,19.228739,72.856412,20.0
CHAKRADHARPUR,CKP,22.678979,85.627771,88.5
CHAPARMUKH JN,CPK,26.202272,92.511718,57.0
CHENNAI CENTRAL,MAS,13.0847613,80.2748563,12.0
CHHAPRA,CPR,25.78832,84.725004,28.5
CHOPAN,CPU,24.51403,83.025843,20.5
CUTTACK,CTC,20.466588,85.90156,67.33333333333333
DADAR,DR,19.017179,72.842972,47.0
DALTONGANJ,DTO,24.033075,84.074843,37.0
DANAPUR,DNR,25.581921,85.044629,40.5
DEHRI ON SONE,DOS,24.914895,84.185434,27.0
DELHI CANTT,DEC,28.613534,77.116577,11.5
DHANBAD JN,DHN,23.790966,86.428956,32.75
DHARMAVARAM JN,DMM,14.424369,77.717115,51.0
DHENKANAL,DNKL,20.676825,85.590878,92.0
DIBRUGARH,DBRG,27.4636065659,94.9352579102,21.5
DIMAPUR,DMV,25.905702,93.727816,50.25
DURG,DURG,21.200327,81.291837,8.5
DURGAPUR,DGR,23.495046,87.297902,38.0
ERNAKULAM JN,ERS,9.969542,76.290672,38.0
FALNA,FA,25.235808,73.234953,14.0
GARWA ROAD,GHD,24.214419,83.885116,29.0
GAYA JN,GAYA,24.803978,84.999294,48.583333333333336
GONDIA JN,G,21.462435,80.190842,24.5
GUNTAKAL JN,GTL,15.17556,77.366611,45.0
GURGAON,GGN,28.489165,77.010739,12.5
GUWAHATI,GHY,26.182635,91.751851,46.0
GWALIOR,GWL,26.216483,78.182292,33.5
H NIZAMUDDIN,NZM,28.58733,77.254249,20.642857142857142
HAJIPUR JN,HJP,25.702909,85.2155,29.0
HIJILLI,HIJ,22.319921,87.320169,58.75
HOWRAH JN,HWH,22.584078,88.340999,24.75
ITARSI JN,ET,22.608258,77.767128,29.0
JAIPUR,JP,26.920203,75.786923,16.0
JAJPUR K ROAD,JJKR,20.943544,86.132518,54.0
JALGAON JN,JL,21.018115,75.562875,26.5
JAMMU TAWI,JAT,32.706975,74.880117,30.0
JASIDIH JN,JSME,24.514517,86.644255,32.0
JHARSUGUDA JN,JSG,21.862274,84.017427,69.0
KALYAN JN,KYN,19.234716,73.12974,20.5
KANNUR,CAN,11.8706942,75.3683267,36.5
KANPUR CENTRAL,CNB,26.45424,80.350966,43.0
KARWAR,KAWR,14.821387,74.183139,45.0
KASARAGOD,KGQ,12.491175,74.987652,39.5
KATHUA,KTHU,32.397897,75.551922,36.5
KATIHAR JN,KIR,25.548947,87.566409,30.166666666666668
KAZIPET JN,KZJ,17.974211,79.511025,42.5
KISHANGANJ,KNE,26.097746,87.949657,48.333333333333336
KODERMA,KQR,24.434741,85.529458,60.0
KOKRAJHAR,KOJ,26.405057,90.274125,37.333333333333336
KOLLAM JN,QLN,8.886586,76.596753,39.0
KOTA JN,KOTA,25.223553,75.8805,23.0
KOZHIKODE,CLT,11.246234,75.780407,37.0
KSR BANGALORE CY JN,SBC,12.977595,77.568083,18.5
KUDAL,KUDL,16.017651,73.67813,40.0
LOHARDAGA BS,LAD,23.445967,84.70733,29.25
LUCKNOW NR,LKO,26.830675,80.925291,29.75
LUDHIANA JN,LDH,30.912367,75.847873,33.5
LUMDING JN,LMG,25.750036,93.1766,45.25
MADGAON,MAO,15.267911,73.970724,25.5
MADHUPUR JN,MDP,24.270633,86.642183,32.5
MAHESANA JN,MSH,23.602623,72.388708,13.5
MANGALORE JN,MAJN,12.866193,74.88006,31.0
MANSI JN,MNE,25.509398,86.554446,42.5
MARIANI JN,MXN,26.652435,94.308203,39.75
MATHURA JN,MTJ,27.480145,77.673117,12.5
MORADABAD,MB,28.831621,78.765801,21.75
MORANHAT,MRHT,27.1829782,94.9193076,34.0
MUMBAI CENTRAL,MMCT,18.9697,72.8194,9.0
MURI,MURI,23.376284371,85.8669906885,64.5
MUZAFFARPUR JN,MFP,26.122311,85.378006,35.5
NAGDA JN,NAD,23.45592,75.412491,15.5
NAGPUR,NGP,21.153567,79.089004,32.125
NASIK ROAD,NK,19.947627,73.841897,28.0
NAUGACHIA,NNA,25.385261,87.09387,44.0
NEW ALIPURDAUR,NOQ,26.48572,89.541398,33.25
NEW BONGAIGAON,NBQ,26.4758354405,90.5368434644,30.333333333333332
NEW COOCH BEHAR,NCB,26.353159,89.469766,40.0
NEW DELHI,NDLS,28.642314,77.220004,29.441176470588236
NEW JALPAIGURI,NJP,26.683025,88.443391,37.333333333333336
NEW MISAMARI,NMM,26.810166,92.575454,41.0
NEW TINSUKIA JN,NTSK,27.479748,95.334128,50.0
NSC BOSE J GOMO,GMO,23.873106,86.14823,60.5
PALANPUR JN,PNU,24.174433,72.430172,10.0
PANVEL,PNVL,18.990919,73.121756,26.25
PARASNATH,PNME,23.987971,86.037862,41.5
PATHANKOT CANTT,PTKC,32.2593,75.636044,36.0
PATLIPUTRA,PPTA,25.621426,85.068505,35.0
PATNA JN,PNBE,25.60256,85.136824,27.5
PRAYAGRAJ JN,PRYJ,25.4453,81.8253,45.27777777777778
RAICHUR,RC,16.192441,77.339165,49.5
RAIPUR JN,R,21.256462,81.629328,16.0
RAJ NANDGAON,RJN,21.101186,81.039019,26.0
RANCHI,RNC,23.348811,85.33352,15.4
RANGAPARA NORTH,RPAN,26.8215934,92.682658,37.5
RANGIYA JN,RNY,26.447901,91.605929,49.5
RATLAM JN,RTM,23.34038,75.050826,18.125
RATNAGIRI,RN,17.002793,73.356938,41.75
RENUKUT,RNQ,24.203558,83.039896,38.5
RJNDR NGR BIHAR,RJPB,25.603351,85.162449,18.0
ROURKELA,ROU,22.22844,84.863132,86.0
SAI P NILAYAM,SSPN,14.160468,77.757559,42.5
SAMASTIPUR JN,SPJ,25.858304,85.78736,30.5
SAMBALPUR CITY,SBPY,21.4770222859,84.0076171613,81.5
SAWAI MADHOPUR,SWM,26.018279,76.35622,16.5
SEALDAH,SDAH,22.566758,88.374713,31.0
SECUNDERABAD JN,SC,17.433147,78.501481,26.25
SERAM,SEM,17.180683,77.28353,50.0
SHORANUR JN,SRR,10.758855,76.272196,33.0
SIMALUGURI JN,SLGR,26.917281,94.756816,34.0
SURAT,ST,21.206568,72.840793,17.625
TANGLA,TNL,26.658355,91.912274,44.5
TATANAGAR JN,TATA,22.768954,86.20056,67.0
THIVIM,THVM,15.62955,73.876104,43.0
THRISUR,TCR,10.51479,76.207919,39.0
TRIVANDRUM CNTL,TVC,8.486679,76.95121,19.0
UDALGURI,ULG,26.744291,92.094329,45.0
UDUPI,UD,13.336341,74.771733,35.5
V LAKSHMIBAI JHANSI,VGLJ,25.4439,78.5533,25.7
VADODARA JN,BRC,22.310756,73.181065,19.875
VALSAD,BL,20.6085595,72.9335291,14.0
VAPI,VAPI,20.374338,72.909127,17.5
VARANASI JN,BSB,25.327281,82.986468,27.25
VASAI ROAD,BSR,19.3824486,72.8322217,26.0
VIJAYAWADA JN,BZA,16.518262,80.618648,24.0
WARANGAL,WL,17.972477,79.604929,39.0
YADGIR,YG,16.744396,77.130366,50.0
