Station_Name,Station_Code,Lat,Long,Average_Delay
ABU ROAD,ABR,24.470775,72.775695,12.0
ADRA JN,ADRA,23.495992,86.674665,136.0
AGRA CANTT,AGC,27.157992,77.990153,33.5
AJMER JN,AII,26.456612,74.637464,14.5
ALLEPPEY,ALLP,9.483759,76.322476,25.5
ANARA,ANR,23.481082,86.559763,250.0
ANGUL,ANGL,20.859445,85.099994,227.5
ASANSOL JN,ASN,23.691441,86.975152,106.25
BALASORE,BLS,21.500521,86.919582,179.75
BALHARSHAH,BPQ,19.8490173,79.3485858,27.166666666666668
BALLIA,BUI,25.76057,84.15312,44.5
BANKURA,BQA,23.2243871,87.0746875,137.0
BARAUNI JN,BJU,25.461768,85.988748,52.25
BARDDHAMAN JN,BWN,23.249718,87.870281,85.0
BAREILLY,BE,28.3371543,79.4108444,37.75
BEGU SARAI,BGS,25.425296,86.134476,46.0
BHADRAKH,BHC,21.0917458,86.5162305,171.0
BHARUCH JN,BH,21.706907,72.997689,7.5
BHOPAL JN,BPL,23.2668843843,77.4131428577,20.8
BHUBANESWAR,BBS,20.265388,85.842595,173.5
BHUSAVAL JN,BSL,21.0472812,75.7886717,32.0
BILASPUR JN,BSP,22.057473,82.167585,2.5
BOKARO STL CITY,BKSC,23.656551,86.085016,133.25
BORIVALI,BVI,19.228739,72.856412,20.75
CHAKRADHARPUR,CKP,22.678979,85.627771,220.5
CHAPARMUKH JN,CPK,26.202272,92.511718,70.0
CHENNAI CENTRAL,MAS,13.0847613,80.2748563,13.0
CHHAPRA,CPR,25.78832,84.725004,35.25
CHOPAN,CPU,24.51403,83.025843,66.0
CUTTACK,CTC,20.466588,85.90156,189.66666666666666
DALTONGANJ,DTO,24.033075,84.074843,97.25
DANAPUR,DNR,25.581921,85.044629,63.5
DEHRI ON SONE,DOS,24.914895,84.185434,70.0
DELHI CANTT,DEC,28.613534,77.116577,11.5
DHANBAD JN,DHN,23.790966,86.428956,97.0
DHENKANAL,DNKL,20.676825,85.590878,224.0
DIBRUGARH,DBRG,27.4636065659,94.9352579102,25.0
DIMAPUR,DMV,25.905702,93.727816,53.0
DURG,DURG,21.200327,81.291837,7.5
DURGAPUR,DGR,23.495046,87.297902,108.5
ERNAKULAM JN,ERS,9.969542,76.290672,21.0
FALNA,FA,25.235808,73.234953,12.0
GARWA ROAD,GHD,24.214419,83.885116,86.5
GAYA JN,GAYA,24.803978,84.999294,141.41666666666666
GONDIA JN,G,21.462435,80.190842,19.0
GUNTAKAL JN,GTL,15.17556,77.366611,46.5
GURGAON,GGN,28.489165,77.010739,11.5
GUWAHATI,GHY,26.182635,91.751851,50.5
GWALIOR,GWL,26.216483,78.182292,32.125
H NIZAMUDDIN,NZM,28.58733,77.254249,19.428571428571427
HAJIPUR JN,HJP,25.702909,85.2155,35.75
HIJILLI,HIJ,22.319921,87.320169,178.5
HOWRAH JN,HWH,22.584078,88.340999,84.75
ITARSI JN,ET,22.608258,77.767128,29.5
JAIPUR,JP,26.920203,75.786923,18.5
JAJPUR K ROAD,JJKR,20.943544,86.132518,151.5
JALGAON JN,JL,21.018115,75.562875,37.5
JAMMU TAWI,JAT,32.706975,74.880117,27.5
JASIDIH JN,JSME,24.514517,86.644255,95.5
JHARSUGUDA JN,JSG,21.862274,84.017427,204.0
KALYAN JN,KYN,19.234716,73.12974,31.0
KANNUR,CAN,11.8706942,75.3683267,28.5
KANPUR CENTRAL,CNB,26.45424,80.350966,113.45454545454545
KARWAR,KAWR,14.821387,74.183139,37.0
KASARAGOD,KGQ,12.491175,74.987652,32.0
KATHUA,KTHU,32.397897,75.551922,32.5
KATIHAR JN,KIR,25.548947,87.566409,39.166666666666664
KAZIPET JN,KZJ,17.974211,79.511025,41.75
KISHANGANJ,KNE,26.097746,87.949657,56.333333333333336
KODERMA,KQR,24.434741,85.529458,164.75
KOKRAJHAR,KOJ,26.405057,90.274125,49.833333333333336
KOLLAM JN,QLN,8.886586,76.596753,29.0
KOTA JN,KOTA,25.223553,75.8805,20.375
KOZHIKODE,CLT,11.246234,75.780407,27.0
KSR BANGALORE CY JN,SBC,12.977595,77.568083,16.0
KUDAL,KUDL,16.017651,73.67813,40.0
LOHARDAGA BS,LAD,23.445967,84.70733,90.0
LUCKNOW NR,LKO,26.830675,80.925291,35.75
LUDHIANA JN,LDH,30.912367,75.847873,27.5
LUMDING JN,LMG,25.750036,93.1766,47.25
MADGAON,MAO,15.267911,73.970724,17.5
MADHUPUR JN,MDP,24.270633,86.642183,98.0
MAHESANA JN,MSH,23.602623,72.388708,8.5
MANGALORE JN,MAJN,12.866193,74.88006,22.0
MANSI JN,MNE,25.509398,86.554446,65.0
MARIANI JN,MXN,26.652435,94.308203,43.25
MATHURA JN,MTJ,27.480145,77.673117,10.0
MORADABAD,MB,28.831621,78.765801,24.5
MORANHAT,MRHT,27.1829782,94.9193076,24.5
MUMBAI CENTRAL,MMCT,18.9697,72.8194,9.75
MURI,MURI,23.376284371,85.8669906885,192.5
MUZAFFARPUR JN,MFP,26.122311,85.378006,40.0
NAGDA JN,NAD,23.45592,75.412491,17.5
NAGPUR,NGP,21.153567,79.089004,27.125
NASIK ROAD,NK,19.947627,73.841897,37.5
NAUGACHIA,NNA,25.385261,87.09387,66.0
NEW ALIPURDAUR,NOQ,26.48572,89.541398,28.25
