Station_Name,Station_Code,Lat,Long,Average_Delay
AGRA CANTT,AGC,27.157992,77.990153,16.75
AHMEDABAD JN,ADI,23.025515,72.601516,0.0
AJMER JN,AII,26.456612,74.637464,2.5
ALIGARH JN,ALJN,27.889584,78.074559,18.0
ALWAR,AWR,27.559273,76.621265,8.0
AMBALA CANT JN,UMB,30.338918,76.826966,7.0
AMRITSAR JN,ASR,31.631512,74.858025,0.75
ANAND JN,ANND,22.561307,72.965733,9.5
ASANSOL JN,ASN,23.691441,86.975152,13.0
BALASORE,BLS,21.500521,86.919582,42.5
BANDIKUI JN,BKI,27.039271,76.566723,5.0
BANGALORE CANT,BNC,12.9936735,77.5993269,6.5
BARDDHAMAN JN,BWN,23.249718,87.870281,14.5
BAROG,BOF,30.8908529,77.0829696,6.0
BARSOI JN,BOE,25.6512422,87.9229421,5.0
BEAS,BEAS,31.5193738,75.2908085,12.833333333333334
BEGUMPET,BMT,17.4388739,78.4586266,7.0
BHADRAKH,BHC,21.0917458,86.5162305,39.5
BHARUCH JN,BH,21.706907,72.997689,6.5
BHOPAL JN,BPL,23.2668843843,77.4131428577,17.5
BHUBANESWAR,BBS,20.265388,85.842595,55.0
BILASPUR ROAD,BLQR,28.865601,79.254263,2.5
BINA JN,BINA,24.1709735,78.1831998,13.5
BOKARO STL CITY,BKSC,23.656551,86.085016,3.5
BOLPUR S NIKTN,BHP,23.657804,87.698136,20.0
BORIVALI,BVI,19.228739,72.856412,24.0
CHANDIGARH,CDG,30.7019773,76.82208,4.666666666666667
CHANDRAPURA,CRP,23.755676,86.119775,4.0
CHENNAI CENTRAL,MAS,13.0847613,80.2748563,7.333333333333333
COIMBATORE JN,CBE,10.997639,76.966298,1.0
CUTTACK,CTC,20.466588,85.90156,63.0
DAURAI,DOZ,26.395604,74.619546,0.0
DEHRADUN,DDN,30.3140377,78.0336011,7.0
DELHI CANTT,DEC,28.613534,77.116577,10.0
DHANBAD JN,DHN,23.790966,86.428956,4.5
DHARMPUR HMCHL,DMP,30.900491,77.023914,8.0
DHAULPUR,DHO,26.697592,77.906049,24.0
DURG,DURG,21.200327,81.291837,16.0
DURGAPUR,DGR,23.495046,87.297902,8.5
ERODE JN,ED,11.327682,77.725934,14.0
ETAWAH,ETW,26.78597,79.021502,15.25
GANDHINAGAR JPR,GADJ,26.873067,75.79828,4.5
GHAZIABAD,GZB,28.649702,77.431099,7.375
GURGAON,GGN,28.489165,77.010739,7.0
GUWAHATI,GHY,26.182635,91.751851,1.5
GWALIOR,GWL,26.216483,78.182292,21.5
H NIZAMUDDIN,NZM,28.58733,77.254249,5.0
HALDWANI,HDW,29.215097,79.533732,4.0
HARIDWAR JN,HW,29.947787,78.154899,11.0
HOWRAH JN,HWH,22.584078,88.340999,17.4
JAIPUR,JP,26.920203,75.786923,5.5
JAJPUR K ROAD,JJKR,20.943544,86.132518,54.0
JALANDHAR CITY,JUC,31.331665,75.591499,9.666666666666666
JOLARPETTAI,JTJ,12.560852,78.57782,7.25
KALKA,KLK,30.837667,76.931759,2.5
KANPUR CENTRAL,CNB,26.45424,80.350966,5.0
KANTABANJI,KBJ,20.474059,82.906517,82.0
KARNAL,KUN,29.694566,76.969821,38.5
KATHGODAM,KGM,29.266583,79.54633,0.0
KATPADI JN,KPD,12.972734,79.135341,17.333333333333332
KESINGA,KSNG,20.188103,83.224709,99.0
KHARAGPUR JN,KGP,22.341432,87.328456,51.5
KHARIAR ROAD,KRAR,20.9013855558,82.510513277,53.0
KISHANGANJ,KNE,26.097746,87.949657,15.0
KISHANGARH,KSG,26.588968,74.855553,2.0
KSR BANGALORE CY JN,SBC,12.977595,77.568083,10.0
KURUKSHETRA JN,KKDE,29.96944,76.852795,13.0
LAL KUAN,LKU,29.071574,79.517641,3.5
LALITPUR,LAR,24.688222,78.395791,22.0
LUCKNOW NE,LJN,26.831967,80.918587,4.0
LUDHIANA JN,LDH,30.912367,75.847873,11.333333333333334
MAHASAMUND,MSMD,21.113138,82.10389,29.0
MALDA TOWN,MLDT,25.015659,88.130338,5.5
MATHURA JN,MTJ,27.480145,77.673117,25.0
MEERUT CITY,MTC,28.97761,77.675106,6.0
MORADABAD,MB,28.831621,78.765801,4.0
MORENA,MRA,26.500504,78.003442,32.5
MUMBAI CENTRAL,MMCT,18.9697,72.8194,9.5
MURI,MURI,23.376284371,85.8669906885,6.0
MUZAFFARNAGAR,MOZ,29.468689,77.707807,7.0
MYSORE JN,MYS,12.318946,76.646013,1.0
NADIAD JN,ND,22.694106,72.855718,9.5
NEW DELHI,NDLS,28.642314,77.220004,42.416666666666664
NEW FARAKKA JN,NFK,24.794558,87.915236,6.5
NEW JALPAIGURI,NJP,26.683025,88.443391,1.0
NEW MISAMARI,NMM,26.810166,92.575454,11.0
PANIPAT JN,PNP,29.388948,76.963793,16.0
PARVATIPURAM,PVP,18.77067,83.426966,107.0
PHAGWARA JN,PGW,31.2175557498,75.7655019775,13.333333333333334
PHAPHUND,PHD,26.6321183177,79.5542552124,15.5
PUNE JN,PUNE,18.529378,73.873086,1.0
