Station_Name,Station_Code,Lat,Long,Average_Delay
AGRA CANTT,AGC,27.157992,77.990153,19.5
AHMEDABAD JN,ADI,23.025515,72.601516,3.0
AJMER JN,AII,26.456612,74.637464,3.0
AJNI,AJNI,21.1268588122,79.0825197485,0.0
AKOLA JN,AK,20.723084,77.005497,77.0
ALIGARH JN,ALJN,27.889584,78.074559,18.0
ALWAR,AWR,27.559273,76.621265,10.5
AMBALA CANT JN,UMB,30.338918,76.826966,19.666666666666668
AMRITSAR JN,ASR,31.631512,74.858025,28.5
ANAND JN,ANND,22.561307,72.965733,9.5
ASANSOL JN,ASN,23.691441,86.975152,10.5
BADNERA JN,BD,20.8567925,77.7323197,73.0
BALASORE,BLS,21.500521,86.919582,20.0
BALHARSHAH,BPQ,19.8490173,79.3485858,0.0
BANDIKUI JN,BKI,27.039271,76.566723,11.0
BANGALORE CANT,BNC,12.9936735,77.5993269,9.5
BARDDHAMAN JN,BWN,23.249718,87.870281,16.0
BAROG,BOF,30.8908529,77.0829696,14.0
BARSOI JN,BOE,25.6512422,87.9229421,14.0
BEAS,BEAS,31.5193738,75.2908085,39.333333333333336
BEGUMPET,BMT,17.4388739,78.4586266,17.5
BELAGAVI,BGM,15.8492433,74.5095639,67.0
BHADRAKH,BHC,21.0917458,86.5162305,16.5
BHARUCH JN,BH,21.706907,72.997689,12.5
BHOPAL JN,BPL,23.2668843843,77.4131428577,21.0
BHUBANESWAR,BBS,20.265388,85.842595,32.5
BHUSAVAL JN,BSL,21.0472812,75.7886717,67.0
BILASPUR ROAD,BLQR,28.865601,79.254263,12.0
BINA JN,BINA,24.1709735,78.1831998,19.0
BOKARO STL CITY,BKSC,23.656551,86.085016,6.5
BOLPUR S NIKTN,BHP,23.657804,87.698136,17.0
BORIVALI,BVI,19.228739,72.856412,20.0
CHANDIGARH,CDG,30.7019773,76.82208,9.333333333333334
CHANDRAPUR,CD,19.960126,79.300505,0.0
CHANDRAPURA,CRP,23.755676,86.119775,9.5
CHENNAI CENTRAL,MAS,13.0847613,80.2748563,3.6666666666666665
COIMBATORE JN,CBE,10.997639,76.966298,4.0
CUTTACK,CTC,20.466588,85.90156,34.0
DADAR,DR,19.017179,72.842972,0.0
DAURAI,DOZ,26.395604,74.619546,2.0
DEHRADUN,DDN,30.3140377,78.0336011,10.0
DELHI CANTT,DEC,28.613534,77.116577,11.5
DHAMANGAON,DMN,20.784674,78.138054,82.0
DHANBAD JN,DHN,23.790966,86.428956,8.5
DHARMPUR HMCHL,DMP,30.900491,77.023914,16.5
DHARWAR,DWR,15.440386,75.004552,63.0
DHAULPUR,DHO,26.697592,77.906049,23.5
DURG,DURG,21.200327,81.291837,8.0
DURGAPUR,DGR,23.495046,87.297902,10.5
ERODE JN,ED,11.327682,77.725934,12.0
ETAWAH,ETW,26.78597,79.021502,18.75
GANDHINAGAR JPR,GADJ,26.873067,75.79828,11.5
GETOR JAGATPURA,GTJT,26.836925,75.832384,0.0
GHAZIABAD,GZB,28.649702,77.431099,11.125
GURGAON,GGN,28.489165,77.010739,11.5
GUWAHATI,GHY,26.182635,91.751851,6.0
GWALIOR,GWL,26.216483,78.182292,24.25
H NIZAMUDDIN,NZM,28.58733,77.254249,9.0
HALDWANI,HDW,29.215097,79.533732,8.5
HARIDWAR JN,HW,29.947787,78.154899,13.5
HOWRAH JN,HWH,22.584078,88.340999,10.75
HUBBALLI JN,UBL,15.350302,75.148104,60.0
IGATPURI,IGP,19.694053,73.562379,160.0
JAIPUR,JP,26.920203,75.786923,11.0
JAJPUR K ROAD,JJKR,20.943544,86.132518,30.0
JALANDHAR CITY,JUC,31.331665,75.591499,36.333333333333336
JOLARPETTAI,JTJ,12.560852,78.57782,9.0
KALKA,KLK,30.837667,76.931759,7.666666666666667
KALYAN JN,KYN,19.234716,73.12974,330.0
KANPUR CENTRAL,CNB,26.45424,80.350966,9.5
KANTABANJI,KBJ,20.474059,82.906517,33.0
KARNAL,KUN,29.694566,76.969821,19.0
KATHGODAM,KGM,29.266583,79.54633,0.0
KATPADI JN,KPD,12.972734,79.135341,11.5
KAZIPET JN,KZJ,17.974211,79.511025,0.0
KESINGA,KSNG,20.188103,83.224709,39.0
KHARAGPUR JN,KGP,22.341432,87.328456,19.5
KHARIAR ROAD,KRAR,20.9013855558,82.510513277,26.0
KHATIPURA,KWP,26.835709,75.890498,6.0
KISHANGANJ,KNE,26.097746,87.949657,20.0
KISHANGARH,KSG,26.588968,74.855553,8.0
KSR BANGALORE CY JN,SBC,12.977595,77.568083,5.75
KURUKSHETRA JN,KKDE,29.96944,76.852795,15.75
LAL KUAN,LKU,29.071574,79.517641,9.5
LALITPUR,LAR,24.688222,78.395791,29.0
LUCKNOW NE,LJN,26.831967,80.918587,8.5
LUDHIANA JN,LDH,30.912367,75.847873,34.833333333333336
MAHASAMUND,MSMD,21.113138,82.10389,21.0
MALDA TOWN,MLDT,25.015659,88.130338,10.0
MALKAPUR,MKU,20.891974,76.202946,85.0
MANAK NAGAR,MKG,26.810176,80.890615,9.0
MATHURA JN,MTJ,27.480145,77.673117,28.0
MEERUT CITY,MTC,28.97761,77.675106,11.0
MIRAJ JN,MRJ,16.819946,74.638839,77.0
MORADABAD,MB,28.831621,78.765801,6.5
MORENA,MRA,26.500504,78.003442,31.5
MUMBAI CENTRAL,MMCT,18.9697,72.8194,5.5
MURI,MURI,23.376284371,85.8669906885,10.0
MUZAFFARNAGAR,MOZ,29.468689,77.707807,11.5
MYSORE JN,MYS,12.318946,76.646013,2.0
NADIAD JN,ND,22.694106,72.855718,10.5
NAGPUR,NGP,21.153567,79.089004,1.0
NASIK ROAD,NK,19.947627,73.841897,111.0
NEW DELHI,NDLS,28.642314,77.220004,15.625
NEW FARAKKA JN,NFK,24.794558,87.915236,11.5
NEW JALPAIGURI,NJP,26.683025,88.443391,10.0
NEW MISAMARI,NMM,26.810166,92.575454,16.0
PANIPAT JN,PNP,29.388948,76.963793,16.75
PARVATIPURAM,PVP,18.77067,83.426966,37.0
PHAGWARA JN,PGW,31.2175557498,75.7655019775,38.5
PHAPHUND,PHD,26.6321183177,79.5542552124,18.0
PULGAON JN,PLO,20.726734,78.318111,81.0
PUNE JN,PUNE,18.529378,73.873086,24.333333333333332
PURI,PURI,19.811459,85.839992,14.5
RAIPUR JN,R,21.256462,81.629328,11.0
RAJPURA JN,RPJ,30.486458949,76.5940201901,14.0
RAMGUNDAM,RDM,18.763329,79.4351,0.0
RAMPUR,RMU,28.778863,79.023419,7.0
RANCHI,RNC,23.348811,85.33352,9.0
RANGAPARA NORTH,RPAN,26.8215934,92.682658,11.5
RANGIYA JN,RNY,26.447901,91.605929,19.0
RANI KAMLAPATI,RKMP,23.2216,77.4401,15.0
RANIGANJ,RNG,23.602851,87.11698,10.0
RAYAGADA,RGDA,19.175642,83.410505,34.0
REWARI,RE,28.202779,76.609414,8.5
ROORKEE,RK,29.851671,77.87417,11.5
RUDRAPUR CITY,RUPC,28.969281,79.379212,14.0
SAHARANPUR,SRE,29.960529,77.541739,6.0
SALEM JN,SA,11.671726,78.113415,10.5
SATARA,STR,17.688361,74.063727,59.0
SECUNDERABAD JN,SC,17.433147,78.501481,6.666666666666667
SEVAGRAM,SEGM,20.739076,78.619225,0.0
SHEGAON,SEG,20.801724,76.690331,85.0
SHIMLA,SML,31.102794,77.159932,5.0
SIRHIND JN,SIR,30.624222,76.383194,15.0
SOLAN,SOL,30.907937,77.097531,16.0
SOLAPUR JN,SUR,17.664496,75.893401,22.0
SONIPAT JN,SNP,28.989423,77.017343,18.0
SURAT,ST,21.206568,72.840793,11.0
TANDUR,TDU,17.25044,77.585037,28.0
TANGLA,TNL,26.658355,91.912274,17.5
TIRUPPUR,TUP,11.108906,77.341247,11.5
TITLAGARH,TIG,20.284399,83.154382,36.0
TUNDLA JN,TDL,27.207747,78.233285,14.5
UDALGURI,ULG,26.744291,92.094329,17.0
V LAKSHMIBAI JHANSI,VGLJ,25.4439,78.5533,13.5
VADODARA JN,BRC,22.310756,73.181065,11.0
VAPI,VAPI,20.374338,72.909127,16.5
VIKARABAD JN,VKB,17.337132,77.909409,25.0
VISHAKAPATNAM,VSKP,17.72159,83.289514,18.0
VIZIANAGRAM JN,VZM,18.111374,83.395586,35.0
WADI,WADI,17.054312,76.99155,24.0
WARDHA JN,WR,20.732777,78.594157,72.0
