Station_Name,Station_Code,Lat,Long,Average_Delay
ABHAIPUR,AHA,25.2159864584,86.3230724591,66.6
ABOHAR,ABS,30.1393834225,74.1956861774,32.666666666666664
ABU ROAD,ABR,24.470775,72.775695,16.895833333333332
ACHHNERA JN,AH,27.1817602284,77.7578389026,56.85
ADESAR,AAR,23.5529783995,70.9720505023,10.0
ADHARTAL,ADTL,23.227389,79.972274,4.0
ADILABAD,ADB,19.680104,78.535285,95.0
ADIPUR,AI,23.0770527,70.0786586,128.71428571428572
ADONI,AD,15.617035,77.27485,38.16
ADRA JN,ADRA,23.495992,86.674665,107.13636363636364
ADRSH NGR DELHI,ANDI,28.714205,77.166707,42.0
ADUTURAI,ADT,11.009165,79.478668,23.75
AGARTALA,AGTL,23.792417,91.278481,202.0
AGRA CANTT,AGC,27.157992,77.990153,34.88785046728972
AGRA FORT,AF,27.183308,78.0191,70.74074074074075
AHMADNAGAR,ANG,19.0755194777,74.721882467,60.80555555555556
AHMADPUR JN,AMP,23.8325090573,87.6928410938,35.5
AHMEDABAD JN,ADI,23.025515,72.601516,34.49230769230769
AISHBAGH,ASH,26.8373880081,80.9096067993,38.857142857142854
AIT,AIT,25.903719,79.230436,409.0
AJJAMPUR,AJP,13.7283327,76.0097415,7.5
AJMER JN,AII,26.456612,74.637464,26.966101694915253
AJNI,AJNI,21.1268588122,79.0825197485,16.818181818181817
AKALKOT ROAD,AKOR,17.450243,76.137689,17.0
AKALTARA,AKT,22.029121,82.422049,53.7
AKBARPUR,ABP,26.429818,82.539073,40.2
AKIVIDU,AKVD,16.582654,81.369055,46.25
AKODIA,AKD,23.378255,76.599245,28.75
AKOLA JN,AK,20.723084,77.005497,65.56666666666666
ALAMNAGAR,AMG,26.84708,80.860312,136.0
ALER,ALER,17.6459553,79.0483414,58.0
ALIA BADA,ALB,22.44677,70.210367,29.0
ALIGARH JN,ALJN,27.889584,78.074559,115.5
ALIPUR DUAR JN,APDJ,26.523279,89.534048,278.0
ALLEPPEY,ALLP,9.483759,76.322476,31.535714285714285
ALUABARI ROAD,AUB,26.269681,88.18561,90.0
ALUVA,AWY,10.108163,76.356508,52.568627450980394
ALWAR,AWR,27.559273,76.621265,23.333333333333332
AMALNER,AN,21.049009,75.057314,20.862068965517242
AMALSAD,AML,20.811373,72.956092,13.25
AMBALA CANT JN,UMB,30.338918,76.826966,44.52272727272727
AMBALAPUZHA,AMPA,9.386059,76.363817,37.5
AMBANDAURA,AADR,31.670727,76.110391,3.5
AMBASA,ABSA,23.930507,91.860783,221.5
AMBATURAI,ABI,10.272226,77.924468,16.5
AMBIKAPUR,ABKP,23.137032,83.145109,1.0
AMBLI ROAD,ABD,23.05437,72.494044,10.0
AMBODALA,AMB,19.8363234649,83.4563524799,34.0
AMBUR,AB,12.782934,78.721266,17.75
AMDARA,UDR,24.0995008758,80.5779045111,38.75
AMETHI,AME,26.153024,81.806276,62.166666666666664
AMGAON,AGN,21.3612928554,80.3746491022,59.75
AMLA JN,AMLA,21.919717,78.123187,53.642857142857146
AMLAI,AAL,23.173469,81.593507,45.0
AMRAVATI,AMI,20.9300829,77.7577863,0.6
AMRITSAR JN,ASR,31.631512,74.858025,35.2
AMROHA,AMRO,28.892688,78.474329,35.5
ANAKAPALLE,AKP,17.695503,83.008851,39.92857142857143
ANAND JN,ANND,22.561307,72.965733,38.0
ANAND NAGAR,ANDN,27.103714,83.270698,85.5
ANAND VIHAR TRM,ANVT,28.6505035654,77.31521255,97.95454545454545
ANANDPUR SAHIB,ANSB,31.2305136,76.5006035,9.0
ANANTAPUR,ATP,14.686478,77.595312,30.866666666666667
ANAPARTI,APT,16.935817,81.953181,47.5
ANARA,ANR,23.481082,86.559763,24.75
ANDAL JN,UDL,23.579012,87.181194,16.428571428571427
ANDHERI,ADH,19.1174289,72.846853,15.25
ANGAMALI,AFK,10.183676,76.37786,24.916666666666668
ANGUL,ANGL,20.859445,85.099994,59.333333333333336
ANJAR,AJE,23.1194723,70.0366109,13.428571428571429
ANKLESHWAR JN,AKV,21.623889,73.000633,16.161290322580644
ANKOLA,ANKL,14.645347,74.332936,58.0
ANNAVARAM,ANV,17.269633,82.419677,56.46153846153846
ANTAH,ATH,25.1611771,76.3072684,11.75
ANUGRAHA N ROAD,AUBR,24.8559556,84.3298444,90.83333333333333
ANUPPUR JN,APR,23.117312,81.695967,109.55
ARA,ARA,25.548889,84.662596,115.35087719298245
ARAKKONAM,AJJ,13.081512,79.667991,33.94285714285714
ARALVAYMOZHI,AAY,8.2494513612,77.5292646945,13.0
ARANTANGI,ATQ,10.1644690569637,78.9968481380492,25.5
ARARIYA COURT,ARQ,26.114921,87.446912,219.0
ARIYALUR,ALU,11.150035,79.068318,17.9375
ARSIKERE JN,ASK,13.314425,76.2520848,22.76923076923077
ARUMUGANERI,ANY,8.579144,78.091842,14.5
ARUPPUKKOTTAI,APK,9.524631681,78.10189147,17.75
ASALPUR JOBNER,JOB,26.900084,75.423467,13.75
ASANSOL JN,ASN,23.691441,86.975152,104.61627906976744
ASARVA JN,ASV,23.043981,72.612937,3.0
ASHOK NAGAR,ASKN,24.58015,77.726725,138.16666666666666
ATARRA,ATE,25.291367,80.576491,68.91666666666667
ATELI,AEL,28.100118,76.253105,11.5
ATRU,ATRU,24.8821354,76.6702185,12.0
