Station_Name,Station_Code,Lat,Long,Average_Delay
ABHAIPUR,AHA,25.2159864584,86.3230724591,91.83333333333333
ABHAYAPURI ASAM,AYU,26.356599,90.641696,322.5
ABOHAR,ABS,30.1393834225,74.1956861774,41.333333333333336
ABU ROAD,ABR,24.470775,72.775695,19.56
ACHHNERA JN,AH,27.1817602284,77.7578389026,41.875
ADAVALI,ADVI,16.921753,73.592514,126.0
ADESAR,AAR,23.5529783995,70.9720505023,29.4
ADHARTAL,ADTL,23.227389,79.972274,6.0
ADILABAD,ADB,19.680104,78.535285,79.5
ADIPUR,AI,23.0770527,70.0786586,57.714285714285715
ADONI,AD,15.617035,77.27485,50.96153846153846
ADRA JN,ADRA,23.495992,86.674665,69.22727272727273
ADRSH NGR DELHI,ANDI,28.714205,77.166707,58.0
ADUTURAI,ADT,11.009165,79.478668,24.5
AGARTALA,AGTL,23.792417,91.278481,116.0
AGRA CANTT,AGC,27.157992,77.990153,57.63636363636363
AGRA FORT,AF,27.183308,78.0191,60.689655172413794
AHMADNAGAR,ANG,19.0755194777,74.721882467,104.19444444444444
AHMADPUR JN,AMP,23.8325090573,87.6928410938,15.0
AHMEDABAD JN,ADI,23.025515,72.601516,28.848275862068967
AISHBAGH,ASH,26.8373880081,80.9096067993,89.77272727272727
AIT,AIT,25.903719,79.230436,134.0
AJJAMPUR,AJP,13.7283327,76.0097415,15.5
AJMER JN,AII,26.456612,74.637464,32.41538461538462
AJNI,AJNI,21.1268588122,79.0825197485,27.545454545454547
AKALKOT ROAD,AKOR,17.450243,76.137689,21.5
AKALTARA,AKT,22.029121,82.422049,66.5
AKBARPUR,ABP,26.429818,82.539073,105.0
AKIVIDU,AKVD,16.582654,81.369055,40.75
AKODIA,AKD,23.378255,76.599245,46.25
AKOLA JN,AK,20.723084,77.005497,74.29347826086956
ALAMNAGAR,AMG,26.84708,80.860312,27.0
ALER,ALER,17.6459553,79.0483414,51.833333333333336
ALIA BADA,ALB,22.44677,70.210367,36.5
ALIGARH JN,ALJN,27.889584,78.074559,78.8048780487805
ALIPUR DUAR JN,APDJ,26.523279,89.534048,281.5
ALLEPPEY,ALLP,9.483759,76.322476,57.92857142857143
ALUABARI ROAD,AUB,26.269681,88.18561,39.5
ALUVA,AWY,10.108163,76.356508,75.27450980392157
ALWAR,AWR,27.559273,76.621265,27.558823529411764
AMALNER,AN,21.049009,75.057314,26.103448275862068
AMALSAD,AML,20.811373,72.956092,14.0
AMBALA CANT JN,UMB,30.338918,76.826966,67.06741573033707
AMBALAPUZHA,AMPA,9.386059,76.363817,82.33333333333333
AMBANDAURA,AADR,31.670727,76.110391,76.5
AMBASA,ABSA,23.930507,91.860783,137.5
AMBATURAI,ABI,10.272226,77.924468,13.5
AMBIKAPUR,ABKP,23.137032,83.145109,18.5
AMBLI ROAD,ABD,23.05437,72.494044,11.5
AMBODALA,AMB,19.8363234649,83.4563524799,34.5
AMBUR,AB,12.782934,78.721266,23.166666666666668
AMDARA,UDR,24.0995008758,80.5779045111,35.25
AMETHI,AME,26.153024,81.806276,46.166666666666664
AMGAON,AGN,21.3612928554,80.3746491022,54.25
AMLA JN,AMLA,21.919717,78.123187,77.2
AMLAI,AAL,23.173469,81.593507,47.5
AMRAVATI,AMI,20.9300829,77.7577863,5.857142857142857
AMRITSAR JN,ASR,31.631512,74.858025,75.02941176470588
AMROHA,AMRO,28.892688,78.474329,42.75
ANAKAPALLE,AKP,17.695503,83.008851,44.82142857142857
ANAND JN,ANND,22.561307,72.965733,36.28703703703704
ANAND NAGAR,ANDN,27.103714,83.270698,34.0
ANAND VIHAR TRM,ANVT,28.6505035654,77.31521255,73.26415094339623
ANANDPUR SAHIB,ANSB,31.2305136,76.5006035,56.5
ANANTAPUR,ATP,14.686478,77.595312,42.86666666666667
ANAPARTI,APT,16.935817,81.953181,34.25
ANARA,ANR,23.481082,86.559763,29.75
ANDAL JN,UDL,23.579012,87.181194,11.428571428571429
ANDHERI,ADH,19.1174289,72.846853,17.166666666666668
ANGAMALI,AFK,10.183676,76.37786,76.5
ANGUL,ANGL,20.859445,85.099994,61.9
ANJAR,AJE,23.1194723,70.0366109,14.142857142857142
ANKLESHWAR JN,AKV,21.623889,73.000633,23.193548387096776
ANKOLA,ANKL,14.645347,74.332936,87.0
ANNAVARAM,ANV,17.269633,82.419677,44.23076923076923
ANTAH,ATH,25.1611771,76.3072684,20.0
ANUGRAHA N ROAD,AUBR,24.8559556,84.3298444,98.42857142857143
ANUPPUR JN,APR,23.117312,81.695967,118.7
ARA,ARA,25.548889,84.662596,146.13888888888889
ARAKKONAM,AJJ,13.081512,79.667991,42.028169014084504
ARALVAYMOZHI,AAY,8.2494513612,77.5292646945,13.0
ARANTANGI,ATQ,10.1644690569637,78.9968481380492,11.5
ARARIYA COURT,ARQ,26.114921,87.446912,51.0
ARAVALI ROAD,AVRD,17.316531,73.53816,121.5
ARIYALUR,ALU,11.150035,79.068318,34.5625
ARSIKERE JN,ASK,13.314425,76.2520848,30.423076923076923
ARUMUGANERI,ANY,8.579144,78.091842,13.0
ARUPPUKKOTTAI,APK,9.524631681,78.10189147,14.0
ASALPUR JOBNER,JOB,26.900084,75.423467,18.5
ASANSOL JN,ASN,23.691441,86.975152,55.172413793103445
ASARVA JN,ASV,23.043981,72.612937,2.5
ASHOK NAGAR,ASKN,24.58015,77.726725,104.33333333333333
ATARRA,ATE,25.291367,80.576491,90.83333333333333
ATELI,AEL,28.100118,76.253105,17.5
ATRU,ATRU,24.8821354,76.6702185,23.0
ATTABIRA,ATS,21.388039,83.792637,90.5
ATTUR,ATU,11.594788,78.592092,16.5
ATUL,ATUL,20.544593354,72.9271335858,13.0
AUNG,AUNG,26.16423,80.544495,39.0
AUNRIHAR JN,ARJ,25.54466,83.187272,48.57142857142857
AURANGABAD,AWB,19.859276,75.310646,134.83333333333334
AVADI,AVD,13.118247,80.100518,33.5
AYODHYA DHAM JN,AY,26.787784,82.200604,76.57142857142857
AYODHYAPATTANAM,APN,11.671392,78.233642,9.0
AZAMGARH,AMH,26.038607,83.160614,197.5
BABATPUR,BTP,25.453616,82.8800248,164.0
BABHNAN,BV,26.938525,82.500127,74.8
BABINA,BAB,25.237832,78.451748,67.28571428571429
BACHHRAWAN,BCN,26.4773211,81.1054565,37.5
BADAMI,BDM,15.958918,75.6767002,107.5
BADARPUR JN,BPB,24.8651775,92.5563227,165.7
BADARWAS,BDWS,24.98333982,77.56182792,55.5
BADNERA JN,BD,20.8567925,77.7323197,68.09210526315789
BADSHAHNAGAR,BNZ,26.8686134,80.9613606,73.28571428571429
BADSHAHPUR,BSE,25.652268,82.190552,34.0
BAGAHA,BUG,27.130045,84.066991,206.16666666666666
BAGALKOT,BGK,16.1787931,75.7002383,103.0
BAGBAHRA,BGBR,21.0462946,82.3841486,38.333333333333336
BAGDIHI,BEH,21.951046,84.18631,28.0
BAGEVADI RD,BSRX,16.47986853,75.82814753,97.5
BAGNAN,BZN,22.462515,87.970711,34.5
BAHADUR SINGH W,BSS,30.319025,75.858906,29.0
BAHADURGARH,BGZ,28.700863,76.930886,32.92307692307692
BAHERI,BHI,28.777391,79.5003221,40.25
BAIKUNTHPUR RD,BRH,23.317286,82.5298836,58.0
BAIRAGNIA,BGU,26.738282,85.273334,60.5
BAJVA,BJW,22.3662226,73.1431251,2.0
BAKHTIYARPUR JN,BKP,25.45611,85.529564,129.7741935483871
BALAGHAT JN,BTC,21.8116285,80.1998853,87.75
BALAMU JN,BLM,27.167363,80.352497,80.75
BALANGIR,BLGR,20.688591,83.494207,76.95833333333333
BALASORE,BLS,21.500521,86.919582,76.9375
BALHARSHAH,BPQ,19.8490173,79.3485858,53.56310679611651
BALLABGARH,BVH,28.3408609239,77.312775968,55.888888888888886
BALLIA,BUI,25.76057,84.15312,58.54545454545455
BALOTRA JN,BLT,25.830071,72.248683,36.5
BALRAMPUR,BLP,27.4158206073,82.1606698987,56.0
BALUGAN,BALU,19.747366,85.200953,97.72340425531915
BAMNIA,BMI,23.0957635,74.7590158,66.3
BAMRA,BMB,22.051355,84.291044,71.16666666666667
BANAPURA,BPF,22.4703575471,77.4807316095,60.0
BANASANDRA,BSN,13.265332,76.659317,17.5
BANASTHALI NIWAI,BNLW,26.3839278087,75.9351100635,30.9
BANASWADI,BAND,13.00573,77.628196,45.25
BANDA JN,BNDA,25.477677,80.336246,88.66666666666667
BANDAKPUR,BNU,23.848206,79.575956,42.0
BANDEL JN,BDC,22.9236565,88.3793623,8.0
BANDIKUI JN,BKI,27.039271,76.566723,35.541666666666664
BANDRA TERMINUS,BDTS,19.061911,72.840535,11.626666666666667
BANGALORE CANT,BNC,12.9936735,77.5993269,30.227272727272727
BANGALORE EAST,BNCE,13.00148,77.6184701,44.666666666666664
BANGARAPET,BWT,12.984808,78.178188,49.588235294117645
BANGRIPOSI,BGY,22.130678,86.501362,36.0
BANKHEDI,BKH,22.7748819,78.5379969,39.5
BANKURA,BQA,23.2243871,87.0746875,70.77272727272727
BANO,BANO,22.6647837973,84.9029854114,74.0
BANSPANI,BSPX,22.00024281,85.42341227,179.0
BAPATLA,BPP,15.9086144,80.4684248,57.1875
BAPUDHAM MOTIHARI,BMKI,26.655733,84.90529,221.57142857142858
BARABANKI JN,BBK,26.935335,81.18104,99.36842105263158
BARABHUM,BBM,23.0912864,86.2112372,43.5
BARADWAR,BUA,22.011725,82.813724,93.0
BARAHAT,BHLE,24.9206004744,87.0100837976,36.25
BARAKAR,BRR,23.7416829,86.818859,23.6
BARAN,BAZ,25.0967701,76.5051284,73.625
BARAUNI JN,BJU,25.461768,85.988748,153.42857142857142
BARDDHAMAN JN,BWN,23.249718,87.870281,48.57575757575758
BARDOLI,BIY,21.1342405,73.1058944,265.6666666666667
BAREILLY,BE,28.3371543,79.4108444,76.57692307692308
BAREILLY,BRY,28.3372843,79.4109744,46.25
BAREILLY CITY,BC,28.3556564,79.403718,43.5
BAREJADI,BJD,22.8954267,72.6778863,13.0
BARETA,BRZ,29.8593339,75.6924026,28.0
BARGARH ROAD,BRGA,21.332903,83.642586,78.58333333333333
BARGAWAN,BRGW,24.197002,82.455989,74.5
BARH,BARH,25.46165,85.709426,64.58333333333333
BARHIYA,BRYA,25.2832026,86.0150768,44.25
BARIARPUR,BUP,25.2810286076,86.5740372229,28.875
BARIPADA,BPO,21.9227408,86.73709,31.5
BARKA KANA,BRKA,23.624159,85.469553,94.25
BARKUR,BKJ,13.4774588,74.7596804,47.25
BARMER,BME,25.7445219,71.397067,14.2
BARNAGAR,BNG,23.0304117,75.6111208,20.75
BARNALA,BNN,30.3703968,75.5492466,54.5
BARPALI,BRPL,21.1836377,83.5948758,104.0
BARPETA ROAD,BPRD,26.5028473,90.9639649,119.9
BARRACKPORE,BP,22.7610653,88.371428,7.0
BARSI TOWN,BTW,18.240993,75.718169,20.5
BARSOI JN,BOE,25.6512422,87.9229421,125.71428571428571
BARWA SAGAR,BWR,25.351848,78.731628,72.33333333333333
BASAR,BSX,18.86512,77.938506,70.16666666666667
BASMAT,BMF,19.3334723149,77.1517775964,33.666666666666664
BASNI,BANE,26.222963,73.010639,50.0
BASTA,BTS,21.7029241,87.0637831,26.0
BASTI,BST,26.815678,82.770059,142.93939393939394
BASWA,BU,27.149686,76.575644,17.0
BATALA JN,BAT,31.8214816,75.1944316,28.5
BAVLA,VLA,22.833389,72.365123,25.0
BAYANA JN,BXN,26.916354,77.297131,62.05882352941177
BAYTU,BUT,25.897538,71.76868,17.5
BAZPUR,BPZ,29.1578998,79.1463827,24.0
BEAS,BEAS,31.5193738,75.2908085,84.05882352941177
BEAWAR,BER,26.1089078,74.3149711,15.173913043478262
BECHHIWARA,BHWA,23.787792,73.535256,4.5
BEDHAM,BEDM,27.453929,77.209461,13.0
BEGU SARAI,BGS,25.425296,86.134476,114.23076923076923
BEGUMPET,BMT,17.4388739,78.4586266,23.833333333333332
BELA TAL,BTX,25.2767862477,79.5544818896,120.0
BELAGAVI,BGM,15.8492433,74.5095639,37.22222222222222
BELAMPALLI,BPA,19.0536892,79.4863374,78.53333333333333
BELAPUR,BAP,19.6195693118,74.6617443079,121.25
BELDA,BLDA,22.07144398,87.33691374,35.285714285714285
BELLARY JN,BAY,15.145135,76.921995,26.166666666666668
BELPAHAR,BPH,21.8272123,83.8490763,73.83333333333333
BELTHARA ROAD,BLTR,26.121418,83.841719,125.5
BEOHARI,BEHR,24.0002687,81.3797154,97.0
BERCHHA,BCH,23.2824808,76.3341929,24.166666666666668
BETNOTI,BTQ,21.74134,86.8435187,33.0
BETTIAH,BTH,26.8058847,84.5229561,210.83333333333334
BETUL,BZU,21.896393,77.905897,79.421875
BHABHAR,BAH,24.06528,71.615774,16.25
BHABUA ROAD,BBU,25.173007,83.618913,87.44444444444444
BHACHAU BG,BCOB,23.301391,70.344972,33.45454545454545
BHADOHI,BOY,25.3952636,82.5583597,59.0
BHADRACHALAM RD,BDCR,17.550365,80.616024,40.5
BHADRAKH,BHC,21.0917458,86.5162305,78.3896103896104
BHADRAVATI,BDVT,13.8424287,75.702832,14.0
BHAGA JN,VAA,23.723331,86.405555,89.5
BHAGALPUR,BGP,25.2419093,86.9767918,86.0
BHAGAT KI KOTHI,BGKT,26.2484972,73.0133366,14.214285714285714
BHAKTI NAGAR,BKNG,22.282963,70.792278,104.0
BHALKI,BHLK,18.0470111,77.228081,15.5
BHANDAI,BHA,27.06906445,77.96680748,144.0
BHANDAK,BUX,20.084262,79.112528,60.5
BHANDARA ROAD,BRD,21.238512,79.647523,75.58333333333333
BHANVAD,BNVD,21.9330444,69.7988578,63.0
BHARAT KUP,BTKP,25.217166,80.767679,172.91666666666666
BHARATPUR JN,BTE,27.237107,77.488613,42.31666666666667
BHARTHANA,BNT,26.7502248,79.2163612,44.75
BHARUCH JN,BH,21.706907,72.997689,32.73529411764706
BHARWARI,BRE,25.5591917,81.4918665,45.75
BHATAPARA,BYT,21.732464,81.946062,76.21052631578948
BHATINDA JN,BTI,30.209488,74.932083,25.125
BHATIYA,BHTA,22.0881542,69.2803623,26.5
BHATKAL,BTJL,13.98866,74.5655589,68.3125
BHATNI JN,BTT,26.381257,83.934035,117.0
BHATTU,BHT,29.387323,75.34013,51.0
