Station_Name,Station_Code,Lat,Long,Average_Delay
ABHAIPUR,AHA,25.2159864584,86.3230724591,52.3
ABHAYAPURI ASAM,AYU,26.356599,90.641696,336.0
ABOHAR,ABS,30.1393834225,74.1956861774,52.166666666666664
ABU ROAD,ABR,24.470775,72.775695,14.183673469387756
ACHHNERA JN,AH,27.1817602284,77.7578389026,60.2
ADESAR,AAR,23.5529783995,70.9720505023,23.6
ADHARTAL,ADTL,23.227389,79.972274,3.0
ADILABAD,ADB,19.680104,78.535285,93.5
ADIPUR,AI,23.0770527,70.0786586,71.71428571428571
ADONI,AD,15.617035,77.27485,47.08
ADRA JN,ADRA,23.495992,86.674665,83.04545454545455
ADRSH NGR DELHI,ANDI,28.714205,77.166707,61.0
ADUTURAI,ADT,11.009165,79.478668,22.0
AGARTALA,AGTL,23.792417,91.278481,91.5
AGRA CANTT,AGC,27.157992,77.990153,60.48148148148148
AGRA FORT,AF,27.183308,78.0191,74.0
AHMADNAGAR,ANG,19.0755194777,74.721882467,89.58333333333333
AHMADPUR JN,AMP,23.8325090573,87.6928410938,22.5
AHMEDABAD JN,ADI,23.025515,72.601516,29.08823529411765
AISHBAGH,ASH,26.8373880081,80.9096067993,44.04761904761905
AIT,AIT,25.903719,79.230436,125.0
AJJAMPUR,AJP,13.7283327,76.0097415,10.0
AJMER JN,AII,26.456612,74.637464,34.983870967741936
AJNI,AJNI,21.1268588122,79.0825197485,22.181818181818183
AKALKOT ROAD,AKOR,17.450243,76.137689,17.75
AKALTARA,AKT,22.029121,82.422049,58.9
AKBARPUR,ABP,26.429818,82.539073,201.0
AKIVIDU,AKVD,16.582654,81.369055,50.0
AKODIA,AKD,23.378255,76.599245,41.75
AKOLA JN,AK,20.723084,77.005497,71.54347826086956
ALAMNAGAR,AMG,26.84708,80.860312,51.0
ALER,ALER,17.6459553,79.0483414,58.666666666666664
ALIA BADA,ALB,22.44677,70.210367,26.5
ALIGARH JN,ALJN,27.889584,78.074559,127.275
ALIPUR DUAR JN,APDJ,26.523279,89.534048,234.0
ALLEPPEY,ALLP,9.483759,76.322476,49.32142857142857
ALUABARI ROAD,AUB,26.269681,88.18561,51.5
ALUVA,AWY,10.108163,76.356508,64.6470588235294
ALWAR,AWR,27.559273,76.621265,30.727272727272727
AMALNER,AN,21.049009,75.057314,23.551724137931036
AMALSAD,AML,20.811373,72.956092,11.75
AMBALA CANT JN,UMB,30.338918,76.826966,52.78409090909091
AMBALAPUZHA,AMPA,9.386059,76.363817,80.5
AMBANDAURA,AADR,31.670727,76.110391,42.5
AMBASA,ABSA,23.930507,91.860783,114.0
AMBATURAI,ABI,10.272226,77.924468,13.5
AMBIKAPUR,ABKP,23.137032,83.145109,43.0
AMBLI ROAD,ABD,23.05437,72.494044,9.5
AMBODALA,AMB,19.8363234649,83.4563524799,40.25
AMBUR,AB,12.782934,78.721266,17.333333333333332
AMDARA,UDR,24.0995008758,80.5779045111,36.5
AMETHI,AME,26.153024,81.806276,63.666666666666664
AMGAON,AGN,21.3612928554,80.3746491022,50.5
AMLA JN,AMLA,21.919717,78.123187,67.96428571428571
AMLAI,AAL,23.173469,81.593507,44.0
AMRAVATI,AMI,20.9300829,77.7577863,6.125
AMRITSAR JN,ASR,31.631512,74.858025,56.5
AMROHA,AMRO,28.892688,78.474329,55.0
ANAKAPALLE,AKP,17.695503,83.008851,47.607142857142854
ANAND JN,ANND,22.561307,72.965733,34.851851851851855
ANAND NAGAR,ANDN,27.103714,83.270698,38.0
ANAND VIHAR TRM,ANVT,28.6505035654,77.31521255,111.74
ANANDPUR SAHIB,ANSB,31.2305136,76.5006035,40.75
ANANTAPUR,ATP,14.686478,77.595312,46.5
ANAPARTI,APT,16.935817,81.953181,39.75
ANARA,ANR,23.481082,86.559763,36.25
ANDAL JN,UDL,23.579012,87.181194,14.714285714285714
ANDHERI,ADH,19.1174289,72.846853,17.083333333333332
ANGAMALI,AFK,10.183676,76.37786,45.583333333333336
ANGUL,ANGL,20.859445,85.099994,65.93333333333334
ANJAR,AJE,23.1194723,70.0366109,13.142857142857142
ANKLESHWAR JN,AKV,21.623889,73.000633,16.483870967741936
ANKOLA,ANKL,14.645347,74.332936,68.0
ANNAVARAM,ANV,17.269633,82.419677,60.69230769230769
ANTAH,ATH,25.1611771,76.3072684,18.25
ANUGRAHA N ROAD,AUBR,24.8559556,84.3298444,121.85714285714286
ANUPPUR JN,APR,23.117312,81.695967,125.65
ARA,ARA,25.548889,84.662596,121.203125
ARAKKONAM,AJJ,13.081512,79.667991,37.857142857142854
ARALVAYMOZHI,AAY,8.2494513612,77.5292646945,12.0
