Station_Name,Station_Code,Lat,Long,Average_Delay
ABHAIPUR,AHA,25.2159864584,86.3230724591,42.5
ABU ROAD,ABR,24.470775,72.775695,10.833333333333334
ACHHNERA JN,AH,27.1817602284,77.7578389026,114.66666666666667
ADAVALI,ADVI,16.921753,73.592514,108.0
AGARTALA,AGTL,23.792417,91.278481,277.25
AGAUTHAR H,AGTR,26.0081455466,84.8437572205,11.5
AGORI KHAS,AGY,24.59896,83.056105,0.0
AGRA CANTT,AGC,27.157992,77.990153,53.5
AGRA FORT,AF,27.183308,78.0191,41.5
AHMADNAGAR,ANG,19.0755194777,74.721882467,31.333333333333332
AHMEDABAD JN,ADI,23.025515,72.601516,31.037037037037038
AISHBAGH,ASH,26.8373880081,80.9096067993,197.2
AIT,AIT,25.903719,79.230436,66.0
AJMER JN,AII,26.456612,74.637464,12.5
AJNI,AJNI,21.1268588122,79.0825197485,70.8
AKALKOT ROAD,AKOR,17.450243,76.137689,142.0
AKALTARA,AKT,22.029121,82.422049,14.0
AKANAPET,AKE,18.110863,78.396309,54.5
AKOLA JN,AK,20.723084,77.005497,80.15384615384616
ALEHPUR HALT,APRH,26.2094647257,84.7889855798,14.5
ALIGARH JN,ALJN,27.889584,78.074559,44.75
ALIPUR DUAR JN,APDJ,26.523279,89.534048,8.0
ALLEPPEY,ALLP,9.483759,76.322476,44.0
ALMATTI,LMT,16.3459,75.9005,46.0
ALWAR,AWR,27.559273,76.621265,19.0
AMALNER,AN,21.049009,75.057314,14.666666666666666
AMARDA ROAD,ARD,21.734258,87.102374,30.0
AMBALA CANT JN,UMB,30.338918,76.826966,79.05555555555556
AMBANDAURA,AADR,31.670727,76.110391,8.5
AMBASA,ABSA,23.930507,91.860783,295.5
AMBLIYASAN,UMN,23.447386,72.423181,13.0
AMLORI SARSAR,ALS,26.2947140024,84.3455775659,21.0
AMRAVATI,AMI,20.9300829,77.7577863,1.0
AMRITSAR JN,ASR,31.631512,74.858025,151.25
ANAND JN,ANND,22.561307,72.965733,16.8
ANAND NAGAR,ANDN,27.103714,83.270698,30.5
ANAND VIHAR TRM,ANVT,28.6505035654,77.31521255,34.35294117647059
ANANDPUR SAHIB,ANSB,31.2305136,76.5006035,13.0
ANANTAPUR,ATP,14.686478,77.595312,42.833333333333336
ANDUL,ADL,22.575169,88.239643,382.6666666666667
ANGUA P H,AGV,21.892582,87.269923,14.0
ANGUL,ANGL,20.859445,85.099994,45.5
ANKUSPUR,AKS,25.5713190547,83.4940121521,92.0
ANNIGERI,NGR,15.432164,75.430851,40.0
ANUPPUR JN,APR,23.117312,81.695967,187.25
ARA,ARA,25.548889,84.662596,113.375
ARAKKONAM,AJJ,13.081512,79.667991,175.33333333333334
ARAVANKADU,AVK,11.359124,76.769203,2.5
ARIYALUR,ALU,11.150035,79.068318,49.0
ARSIKERE JN,ASK,13.314425,76.2520848,31.0
ASANSOL JN,ASN,23.691441,86.975152,15.875
ASHOK NAGAR,ASKN,24.58015,77.726725,38.0
ASHOKAPURAM,AP,12.273762,76.635315,2.0
AUNRIHAR JN,ARJ,25.54466,83.187272,140.0
AURANGABAD,AWB,19.859276,75.310646,10.5
AVADI,AVD,13.118247,80.100518,11.0
AYODHYA DHAM JN,AY,26.787784,82.200604,10.0
BABA RAGHUNI HALT DWARIKA,BRHD,25.7600467439,86.5967982178,43.0
BABHNAN,BV,26.938525,82.500127,43.0
BABINA,BAB,25.237832,78.451748,84.0
BADAMI,BDM,15.958918,75.6767002,52.0
BADARPUR JN,BPB,24.8651775,92.5563227,308.75
BADLA GHAT,BHB,25.5537629,86.5871439,41.0
BADNERA JN,BD,20.8567925,77.7323197,68.22222222222223
BADSHAHNAGAR,BNZ,26.8686134,80.9613606,56.0
BAGALKOT,BGK,16.1787931,75.7002383,48.0
BAGEVADI RD,BSRX,16.47986853,75.82814753,39.5
BAGNAN,BZN,22.462515,87.970711,38.0
BAHANAGA BAZAR,BNBR,21.33613403,86.76172839,15.0
BAHERI,BHI,28.777391,79.5003221,241.0
BAKHRABAD,VKD,22.118541,87.36345,38.0
BAKHTIYARPUR JN,BKP,25.45611,85.529564,73.33333333333333
BALAGHAT JN,BTC,21.8116285,80.1998853,44.0
BALASORE,BLS,21.500521,86.919582,183.0
BALGANUR,BLR,15.59262851,75.60251865,48.5
BALHARSHAH,BPQ,19.8490173,79.3485858,86.73333333333333
BALICHAK,BCK,22.35818589,87.55335416,35.0
BALLIA,BUI,25.76057,84.15312,50.57142857142857
BALRAMPUR,BLP,27.4158206073,82.1606698987,64.25
BALSAMAND,BLSD,27.581307,74.473873,10.0
BALUGAN,BALU,19.747366,85.200953,23.75
BANASWADI,BAND,13.00573,77.628196,73.5
BANDA JN,BNDA,25.477677,80.336246,62.0
BANDRA TERMINUS,BDTS,19.061911,72.840535,20.25
BANGALORE CANT,BNC,12.9936735,77.5993269,17.333333333333332
BANGARAPET,BWT,12.984808,78.178188,39.5
BANNI MAHAMMANPATTI H,BMPT,25.891285,84.778666,10.5
BANSDIH ROAD,BCD,25.8115832,84.215238,94.5
BANSPANI,BSPX,22.00024281,85.42341227,27.5
BAPUDHAM MOTIHARI,BMKI,26.655733,84.90529,147.0
BARABANKI JN,BBK,26.935335,81.18104,55.0
BARAHAT,BHLE,24.9206004744,87.0100837976,32.75
BARAKAR,BRR,23.7416829,86.818859,81.5
BARAUNI JN,BJU,25.461768,85.988748,210.75
BARDDHAMAN JN,BWN,23.249718,87.870281,441.0
BARDOLI,BIY,21.1342405,73.1058944,38.0
BAREILLY,BE,28.3371543,79.4108444,25.833333333333332
BAREILLY CITY,BC,28.3556564,79.403718,5.5
BARHNI,BNY,27.4957951,82.7918337,34.0
BARKA KANA,BRKA,23.624159,85.469553,7.75
BARMER,BME,25.7445219,71.397067,3.0
BAROG,BOF,30.8908529,77.0829696,22.0
BARPETA ROAD,BPRD,26.5028473,90.9639649,71.0
BARSI TOWN,BTW,18.240993,75.718169,132.0
BARSOI JN,BOE,25.6512422,87.9229421,13.5
BARUA CHAK,BRCK,27.122672,82.055181,35.0
BASAR,BSX,18.86512,77.938506,49.5
BASMAT,BMF,19.3334723149,77.1517775964,72.5
BASTA,BTS,21.7029241,87.0637831,26.0
BASTI,BST,26.815678,82.770059,133.2
BAYANA JN,BXN,26.916354,77.297131,222.0
BEAS,BEAS,31.5193738,75.2908085,35.5
BEGU SARAI,BGS,25.425296,86.134476,139.6
BEGUMPET,BMT,17.4388739,78.4586266,26.0
BELAGAVI,BGM,15.8492433,74.5095639,30.0
BELAPUR,BAP,19.6195693118,74.6617443079,35.0
BELDA,BLDA,22.07144398,87.33691374,38.0
BELHA,BYL,21.961973,82.077189,10.0
BELLARY JN,BAY,15.145135,76.921995,94.5
BENAPUR,BPE,22.27135231,87.37624084,43.0
BETTIAH,BTH,26.8058847,84.5229561,157.0
BETUL,BZU,21.896393,77.905897,41.166666666666664
BHACHAU BG,BCOB,23.301391,70.344972,161.5
BHACHHBAR,BBC,25.73181,71.044404,4.0
BHADRAKH,BHC,21.0917458,86.5162305,186.5
BHAGALPUR,BGP,25.2419093,86.9767918,104.875
BHAGAT KI KOTHI,BGKT,26.2484972,73.0133366,13.5
BHALKI,BHLK,18.0470111,77.228081,117.5
BHANDARA ROAD,BRD,21.238512,79.647523,21.0
BHARAT KUP,BTKP,25.217166,80.767679,124.5
BHARATPUR JN,BTE,27.237107,77.488613,143.66666666666666
BHARUCH JN,BH,21.706907,72.997689,21.5
BHATAPARA,BYT,21.732464,81.946062,67.6
BHATINDA JN,BTI,30.209488,74.932083,25.0
BHATKAL,BTJL,13.98866,74.5655589,29.0
BHATNI JN,BTT,26.381257,83.934035,98.5
BHAWANI MANDI,BWM,24.419472,75.82981,207.5
BHESTAN,BHET,21.1278829,72.8613128,28.5
BHILWARA,BHL,25.3435508,74.6307734,18.0
BHIWANDI ROAD,BIRD,19.268544,73.045654,66.0
BHOJIPURA JN,BPR,28.4939826,79.44724,19.0
BHOPAL JN,BPL,23.2668843843,77.4131428577,39.55555555555556
BHUBANESWAR,BBS,20.265388,85.842595,118.22222222222223
BHUSAVAL JN,BSL,21.0472812,75.7886717,84.21052631578948
BIDADI,BID,12.8004252,77.3902984,14.5
BIDAR,BIDR,17.9116836,77.5137793,121.0
BIJAINAGAR,BJNR,25.931003,74.6530589,12.75
BIJAURIA,BJV,28.574785,79.655274,10.0
BIKANER JN,BKN,28.014139,73.316598,17.0
BILASPUR JN,BSP,22.057473,82.167585,142.78571428571428
BINA JN,BINA,24.1709735,78.1831998,100.0
BIRUR JN,RRB,13.591101,75.974749,26.5
BOKARO STL CITY,BKSC,23.656551,86.085016,25.75
BOLARUM,BMO,17.5335493,78.5154167,47.5
BOLPUR S NIKTN,BHP,23.657804,87.698136,160.16666666666666
BORIVALI,BVI,19.228739,72.856412,27.846153846153847
BRAHMAPUR,BAM,19.2961348,84.7966912,161.75
BRIJ KISHOR H,BKRH,26.31374,84.69461,16.5
BUNDI,BUDI,25.407922,75.650699,31.0
BURHANPUR,BAU,21.3343976,76.1986787,107.0
BUTI BORI,BTBR,20.91847276,79.01362896,22.0
BUXAR,BXR,25.562067,83.982184,94.92857142857143
BYADARAHALLI,BDRL,12.5019534049,76.7520832336,13.0
C SHAHUMHARAJ T,KOP,16.70257,74.237695,4.0
CANCONA,CNO,15.006906,74.039454,20.0
CASTLE ROCK,CLR,15.397879,74.334484,146.0
CHAIBASA,CBSA,22.560494,85.812342,20.5
CHAKIA,CAA,26.417182,85.04636,148.0
CHAKRADHARPUR,CKP,22.678979,85.627771,219.0
CHALISGAON JN,CSN,20.464109,74.999049,78.5
CHALSA JN,CLD,26.882215,88.798213,17.0
CHALTHAN,CHM,21.157909,72.95617,39.0
CHAMARAJAPURAM,CMJ,12.29844,76.637861,3.0
CHAMPA,CPH,22.034731,82.665149,48.666666666666664
CHANDERIYA,CNA,24.939558,74.629979,8.0
CHANDIGARH,CDG,30.7019773,76.82208,12.5
CHANDIL JN,CNI,22.956014,86.072109,11.125
CHANDRAGIRI KOPPAL H,CGKR,12.485167,76.730177,11.5
CHANDRAPUR,CD,19.960126,79.300505,29.142857142857142
CHANDRAPURA,CRP,23.755676,86.119775,91.5
CHANDUR,CND,20.8045192,77.9821558,83.0
CHANNAPATNA,CPT,12.659673,77.203824,13.75
CHAPARMUKH JN,CPK,26.202272,92.511718,338.5
CHENGALPATTU,CGL,12.692864,79.981519,40.4
CHENGANNUR,CNGR,9.319504,76.608271,13.0
CHENNAI CENTRAL,MAS,13.0847613,80.2748563,49.27272727272727
CHENNAI EGMORE,MS,13.077678,80.260193,23.0
CHHAPRA,CPR,25.78832,84.725004,124.93333333333334
CHHAPRA KACHERI,CI,25.785987,84.747095,5.0
CHHAYAPURI,CYI,22.388284,73.179698,80.75
CHIKODI ROAD,CKR,16.3690477592,74.7694943298,24.0
CHIPLUN,CHI,17.5425074,73.522429,64.6
CHIT BARAGAON,CBN,25.744109,84.00154,103.0
CHITRAKOOTDHAM,CKTD,25.217611,80.922775,58.5
CHITTAPUR,CT,17.1197808,77.0904516,53.5
CHITTARANJAN,CRJ,23.857138,86.878036,59.25
CHITTAURGARH,COR,24.874341,74.623687,22.333333333333332
CHOPAN,CPU,24.51403,83.025843,0.0
CHOTI KHATU,CTKT,27.155534,74.35723,8.5
CHUNAR,CAR,25.103351,82.874703,0.0
CHURK,CUK,24.6496787,83.1032006,0.0
CHURU,CUR,28.288281,74.966203,24.5
COIMBATORE JN,CBE,10.997639,76.966298,10.6
COONOOR,ONR,11.343714,76.791337,1.0
CUTTACK,CTC,20.466588,85.90156,151.3846153846154
DADAR,DR,19.017179,72.842972,27.833333333333332
DAHOD,DHD,22.843607,74.253374,129.75
DALTONGANJ,DTO,24.033075,84.074843,16.5
DAMOH,DMO,23.836693,79.432246,144.33333333333334
DANAPUR,DNR,25.581921,85.044629,186.71428571428572
DANGARWA,DNW,23.401485,72.441253,13.5
DANKUNI,DKAE,22.677422,88.291491,385.75
DANTAN,DNT,21.930376,87.284055,36.0
DARBHANGA JN,DBG,26.157088,85.907575,194.83333333333334
DAUND CHORD LINE,DDCC,18.4671,74.5535,24.333333333333332
DAUND JN,DD,18.463547,74.578622,86.33333333333333
DAVANGERE,DVG,14.467834,75.92229,16.5
DEGANA JN,DNA,26.897349,74.316388,14.0
DEHRADUN,DDN,30.3140377,78.0336011,8.25
DELHI,DLI,28.661816,77.228356,119.66666666666667
DELHI CANTT,DEC,28.613534,77.116577,14.0
DELHI S ROHILLA,DEE,28.662992,77.187106,2.5
DELHI SAFDARJNG,DSJ,28.582121,77.186969,188.5
DEOBAND,DBD,29.6800315,77.6708734,12.5
DEOGHAR,DGHR,24.51178242,86.69712126,6.0
DEORIA SADAR,DEOS,26.5076811676,83.7819590961,138.5
DEPALSAR,DEP,28.2368573,74.9203375,23.5
DEWAS,DWX,22.977556,76.051191,39.5
DHAMANGAON,DMN,20.784674,78.138054,146.0
DHAMARA GHAT,DHT,25.590821,86.599522,47.5
DHANBAD JN,DHN,23.790966,86.428956,38.5
DHANDARI KALAN,DDL,30.874477,75.909491,558.0
DHARANGAON,DXG,21.006447,75.286092,5.0
DHARMABAD,DAB,18.8882603101,77.8493415012,61.75
DHARMANAGAR,DMR,24.366946,92.168247,295.75
DHARMAPURI,DPJ,12.126595,78.154742,22.5
DHARMAVARAM JN,DMM,14.424369,77.717115,56.25
DHARMPUR HMCHL,DMP,30.900491,77.023914,20.0
DHARWAR,DWR,15.440386,75.004552,41.5
DHENKANAL,DNKL,20.676825,85.590878,24.666666666666668
DHONE,DHNE,15.396729,77.865727,77.0
DHRANGADHRA,DHG,22.9871651,71.4791076,161.0
DHUPGURI,DQG,26.573532,88.994973,214.0
