Station_Name,Station_Code,Lat,Long,Average_Delay
ABU ROAD,ABR,24.470775,72.775695,6.5
AGRA CANTT,AGC,27.157992,77.990153,9.833333333333334
AHMEDABAD JN,ADI,23.025515,72.601516,3.857142857142857
AJMER JN,AII,26.456612,74.637464,14.75
ALIGARH JN,ALJN,27.889584,78.074559,11.5
ALLEPPEY,ALLP,9.483759,76.322476,17.0
ALWAR,AWR,27.559273,76.621265,37.0
AMBALA CANT JN,UMB,30.338918,76.826966,12.7
AMBANDAURA,AADR,31.670727,76.110391,0.0
AMRITSAR JN,ASR,31.631512,74.858025,2.0
ANAND VIHAR TRM,ANVT,28.6505035654,77.31521255,4.333333333333333
ANANDPUR SAHIB,ANSB,31.2305136,76.5006035,1.5
ANANTAPUR,ATP,14.686478,77.595312,15.0
ANGUL,ANGL,20.859445,85.099994,10.0
ANJAR,AJE,23.1194723,70.0366109,18.5
ARA,ARA,25.548889,84.662596,29.0
ASANSOL JN,ASN,23.691441,86.975152,17.25
AURANGABAD,AWB,19.859276,75.310646,6.0
AYODHYA DHAM JN,AY,26.787784,82.200604,17.0
BAKHTIYARPUR JN,BKP,25.45611,85.529564,21.5
BALASORE,BLS,21.500521,86.919582,16.5
BALHARSHAH,BPQ,19.8490173,79.3485858,6.0
BALUGAN,BALU,19.747366,85.200953,16.5
BANGALORE CANT,BNC,12.9936735,77.5993269,3.5
BANSPANI,BSPX,22.00024281,85.42341227,16.5
BARAHAT,BHLE,24.9206004744,87.0100837976,13.0
BAREILLY,BE,28.3371543,79.4108444,11.75
BARKA KANA,BRKA,23.624159,85.469553,31.0
BARSOI JN,BOE,25.6512422,87.9229421,10.5
BASTI,BST,26.815678,82.770059,13.0
BEAS,BEAS,31.5193738,75.2908085,9.5
BEGU SARAI,BGS,25.425296,86.134476,14.0
BELAGAVI,BGM,15.8492433,74.5095639,13.0
BETUL,BZU,21.896393,77.905897,19.5
BHACHAU BG,BCOB,23.301391,70.344972,19.0
BHADRAKH,BHC,21.0917458,86.5162305,9.0
BHAGALPUR,BGP,25.2419093,86.9767918,1.0
BHILWARA,BHL,25.3435508,74.6307734,6.5
BHOPAL JN,BPL,23.2668843843,77.4131428577,9.0
BHUBANESWAR,BBS,20.265388,85.842595,13.857142857142858
BHUJ,BHUJ,23.2660225,69.6778278,8.5
BIJAINAGAR,BJNR,25.931003,74.6530589,5.0
BILASPUR JN,BSP,22.057473,82.167585,2.5
BOKARO STL CITY,BKSC,23.656551,86.085016,11.5
BOLPUR S NIKTN,BHP,23.657804,87.698136,15.25
BORIVALI,BVI,19.228739,72.856412,14.75
BRAHMAPUR,BAM,19.2961348,84.7966912,4.75
BUNDI,BUDI,25.407922,75.650699,9.0
BUXAR,BXR,25.562067,83.982184,22.5
C SHAHUMHARAJ T,KOP,16.70257,74.237695,1.0
CHAIBASA,CBSA,22.560494,85.812342,16.0
CHAKRADHARPUR,CKP,22.678979,85.627771,26.5
CHANDERIYA,CNA,24.939558,74.629979,0.5
CHANDIGARH,CDG,30.7019773,76.82208,15.5
CHANDIL JN,CNI,22.956014,86.072109,39.25
CHANDLODIYA,CLDY,23.074516,72.543606,15.0
CHANDRAPUR,CD,19.960126,79.300505,6.0
CHENGANNUR,CNGR,9.319504,76.608271,7.0
CHENNAI CENTRAL,MAS,13.0847613,80.2748563,3.142857142857143
CHENNAI EGMORE,MS,13.077678,80.260193,3.25
CHITTAURGARH,COR,24.874341,74.623687,1.5
COIMBATORE JN,CBE,10.997639,76.966298,2.0
CUTTACK,CTC,20.466588,85.90156,15.166666666666666
DADAR,DR,19.017179,72.842972,6.375
DALTONGANJ,DTO,24.033075,84.074843,46.5
DAVANGERE,DVG,14.467834,75.92229,6.5
DEHRADUN,DDN,30.3140377,78.0336011,2.5
DELHI,DLI,28.661816,77.228356,3.0
DELHI CANTT,DEC,28.613534,77.116577,40.5
DEOBAND,DBD,29.6800315,77.6708734,14.0
DEOGHAR,DGHR,24.51178242,86.69712126,27.0
DHANBAD JN,DHN,23.790966,86.428956,4.5
DHARMAPURI,DPJ,12.126595,78.154742,17.5
DHARMAVARAM JN,DMM,14.424369,77.717115,21.0
DHARWAR,DWR,15.440386,75.004552,5.666666666666667
DHENKANAL,DNKL,20.676825,85.590878,19.0
DHRANGADHRA,DHG,22.9871651,71.4791076,28.0
DINDIGUL JN,DG,10.35381,77.985472,10.0
DONGARGARH,DGG,21.185492,80.759857,10.0
DUMKA,DUMK,24.289527,87.254975,4.5
DURG,DURG,21.200327,81.291837,24.333333333333332
DURGAPUR,DGR,23.495046,87.297902,16.5
DWARKA,DWK,22.251023,68.980434,16.5
ELURU,EE,16.717816,81.119762,20.0
ERNAKULAM JN,ERS,9.969542,76.290672,15.5
ERNAKULAM TOWN,ERN,9.991582,76.2861,5.5
ERODE JN,ED,11.327682,77.725934,11.25
ETAWAH,ETW,26.78597,79.021502,16.5
FALNA,FA,25.235808,73.234953,7.5
GANDHIDHAM BG,GIMB,23.069086,70.147754,23.0
GANDHINAGAR CAP,GNC,23.233379,72.629162,1.0
GANDHINAGAR JPR,GADJ,26.873067,75.79828,38.0
GANGAPUR CITY,GGC,26.468979,76.727708,9.0
GARWA ROAD,GHD,24.214419,83.885116,26.5
GAYA JN,GAYA,24.803978,84.999294,28.23076923076923
GHATPRABHA,GPB,16.240718896,74.7598229541,20.0
