Station_Name,Station_Code,Lat,Long,Average_Delay
ABU ROAD,ABR,24.470775,72.775695,11.0
AGRA CANTT,AGC,27.157992,77.990153,15.0
AHMEDABAD JN,ADI,23.025515,72.601516,4.666666666666667
AJMER JN,AII,26.456612,74.637464,8.75
ALIGARH JN,ALJN,27.889584,78.074559,26.0
ALLEPPEY,ALLP,9.483759,76.322476,15.5
ALWAR,AWR,27.559273,76.621265,19.0
AMBALA CANT JN,UMB,30.338918,76.826966,36.3
AMBANDAURA,AADR,31.670727,76.110391,8.5
AMRITSAR JN,ASR,31.631512,74.858025,30.5
ANAND VIHAR TRM,ANVT,28.6505035654,77.31521255,6.666666666666667
ANANDPUR SAHIB,ANSB,31.2305136,76.5006035,13.0
ANANTAPUR,ATP,14.686478,77.595312,14.75
ANGUL,ANGL,20.859445,85.099994,14.0
ANJAR,AJE,23.1194723,70.0366109,12.0
ARA,ARA,25.548889,84.662596,13.5
ASANSOL JN,ASN,23.691441,86.975152,13.75
AURANGABAD,AWB,19.859276,75.310646,10.5
AYODHYA DHAM JN,AY,26.787784,82.200604,10.5
BAKHTIYARPUR JN,BKP,25.45611,85.529564,24.5
BALASORE,BLS,21.500521,86.919582,16.5
BALHARSHAH,BPQ,19.8490173,79.3485858,13.0
BALLIA,BUI,25.76057,84.15312,15.0
BALUGAN,BALU,19.747366,85.200953,23.75
BANGALORE CANT,BNC,12.9936735,77.5993269,9.0
BANSPANI,BSPX,22.00024281,85.42341227,27.5
BARAHAT,BHLE,24.9206004744,87.0100837976,14.5
BAREILLY,BE,28.3371543,79.4108444,13.75
BARKA KANA,BRKA,23.624159,85.469553,7.75
BARSOI JN,BOE,25.6512422,87.9229421,13.5
BASTI,BST,26.815678,82.770059,10.0
BEAS,BEAS,31.5193738,75.2908085,35.5
BEGU SARAI,BGS,25.425296,86.134476,11.5
BELAGAVI,BGM,15.8492433,74.5095639,17.5
BETUL,BZU,21.896393,77.905897,9.0
BHACHAU BG,BCOB,23.301391,70.344972,7.5
BHADRAKH,BHC,21.0917458,86.5162305,15.5
BHAGALPUR,BGP,25.2419093,86.9767918,2.0
BHILWARA,BHL,25.3435508,74.6307734,10.5
BHOPAL JN,BPL,23.2668843843,77.4131428577,5.0
BHUBANESWAR,BBS,20.265388,85.842595,22.571428571428573
BHUJ,BHUJ,23.2660225,69.6778278,3.5
BIJAINAGAR,BJNR,25.931003,74.6530589,10.0
BILASPUR JN,BSP,22.057473,82.167585,0.0
BOKARO STL CITY,BKSC,23.656551,86.085016,5.833333333333333
BOLPUR S NIKTN,BHP,23.657804,87.698136,10.5
BORIVALI,BVI,19.228739,72.856412,12.25
BRAHMAPUR,BAM,19.2961348,84.7966912,16.5
BUNDI,BUDI,25.407922,75.650699,7.5
BUXAR,BXR,25.562067,83.982184,11.5
C SHAHUMHARAJ T,KOP,16.70257,74.237695,4.0
CHAIBASA,CBSA,22.560494,85.812342,20.5
CHAKRADHARPUR,CKP,22.678979,85.627771,20.5
CHANDERIYA,CNA,24.939558,74.629979,1.5
CHANDIGARH,CDG,30.7019773,76.82208,12.5
CHANDIL JN,CNI,22.956014,86.072109,11.125
CHANDLODIYA,CLDY,23.074516,72.543606,6.0
CHANDRAPUR,CD,19.960126,79.300505,15.5
CHENGANNUR,CNGR,9.319504,76.608271,8.0
CHENNAI CENTRAL,MAS,13.0847613,80.2748563,4.142857142857143
CHENNAI EGMORE,MS,13.077678,80.260193,5.25
CHHAPRA,CPR,25.78832,84.725004,11.0
CHITTAURGARH,COR,24.874341,74.623687,7.0
COIMBATORE JN,CBE,10.997639,76.966298,1.5
CUTTACK,CTC,20.466588,85.90156,25.0
DADAR,DR,19.017179,72.842972,10.0
DALTONGANJ,DTO,24.033075,84.074843,16.5
DAVANGERE,DVG,14.467834,75.92229,5.0
DEHRADUN,DDN,30.3140377,78.0336011,8.25
DELHI,DLI,28.661816,77.228356,29.0
DELHI CANTT,DEC,28.613534,77.116577,14.0
DEOBAND,DBD,29.6800315,77.6708734,12.5
