Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Long,Lat
2269,VANDE BHARAT SPL,,nan,,,,
2270,VANDE BHARAT SPL,,nan,,,,
2435,VANDE BHARAT SPL,,nan,,,,
2436,VANDE BHARAT SPL,,nan,,,,
12461,VANDE BHARAT EXP,JODHPUR JN,JU,1.0,NWR,73.02319,26.283765
12461,VANDE BHARAT EXP,PALI MARWAR,PMY,5.0,NWR,73.327309,25.790692
12461,VANDE BHARAT EXP,FALNA,FA,10.0,NWR,73.23495300000000,25.235808
12461,VANDE BHARAT EXP,ABU ROAD,ABR,8.0,NWR,72.775695,24.470775
12461,VANDE BHARAT EXP,PALANPUR JN,PNU,1.0,NWR,72.430172,24.174433
12461,VANDE BHARAT EXP,MAHESANA JN,MSH,4.0,NWR,72.388708,23.602623
12462,JU VANDE BHARAT,SABARMATI JN,SBIB,2.0,NWR,,
12462,JU VANDE BHARAT,MAHESANA JN,MSH,9.0,NWR,72.388708,23.602623
12462,JU VANDE BHARAT,PALANPUR JN,PNU,1.0,NWR,72.430172,24.174433
12462,JU VANDE BHARAT,ABU ROAD,ABR,5.0,NWR,72.775695,24.470775
12462,JU VANDE BHARAT,FALNA,FA,5.0,NWR,73.23495300000000,25.235808
12462,JU VANDE BHARAT,PALI MARWAR,PMY,19.0,NWR,73.327309,25.790692
12462,JU VANDE BHARAT,JODHPUR JN,JU,9.0,NWR,73.02319,26.283765
20101,SC VANDE BHARAT,NAGPUR,NGP,1.0,CR,79.089004,21.153567
20101,SC VANDE BHARAT,SEVAGRAM,SEGM,10.0,CR,78.619225,20.739076
20101,SC VANDE BHARAT,CHANDRAPUR,CD,12.0,CR,79.300505,19.960126
20101,SC VANDE BHARAT,BALHARSHAH,BPQ,10.0,CR,79.3485858,19.8490173
20101,SC VANDE BHARAT,RAMGUNDAM,RDM,8.0,CR,79.43510000000000,18.763329
20101,SC VANDE BHARAT,KAZIPET JN,KZJ,23.0,CR,79.511025,17.974211
20102,NGP VANDE BHARAT,SECUNDERABAD JN,SC,2.0,CR,78.50148100000000,17.433147
20102,NGP VANDE BHARAT,KAZIPET JN,KZJ,9.0,CR,79.511025,17.974211
20102,NGP VANDE BHARAT,RAMGUNDAM,RDM,19.0,CR,79.43510000000000,18.763329
20102,NGP VANDE BHARAT,BALHARSHAH,BPQ,2.0,CR,79.3485858,19.8490173
20102,NGP VANDE BHARAT,CHANDRAPUR,CD,0.0,CR,79.300505,19.960126
20102,NGP VANDE BHARAT,SEVAGRAM,SEGM,12.0,CR,78.619225,20.739076
20171,VANDE BHARAT EXP,RANI KAMLAPATI,RKMP,2.0,WCR,77.4401,23.2216
20171,VANDE BHARAT EXP,V LAKSHMIBAI JHANSI,VGLJ,6.0,WCR,78.5533,25.4439
20171,VANDE BHARAT EXP,GWALIOR,GWL,8.0,WCR,78.18229200000000,26.216483
20171,VANDE BHARAT EXP,AGRA CANTT,AGC,4.0,WCR,77.990153,27.157992
20171,VANDE BHARAT EXP,H NIZAMUDDIN,NZM,1.0,WCR,77.254249,28.58733
20172,VANDE BHARAT EXP,H NIZAMUDDIN,NZM,0.0,WCR,77.254249,28.58733
20172,VANDE BHARAT EXP,AGRA CANTT,AGC,17.0,WCR,77.990153,27.157992
20172,VANDE BHARAT EXP,GWALIOR,GWL,15.0,WCR,78.18229200000000,26.216483
20172,VANDE BHARAT EXP,V LAKSHMIBAI JHANSI,VGLJ,9.0,WCR,78.5533,25.4439
20173,VANDE BHARAT EXP,RANI KAMLAPATI,RKMP,1.0,WCR,77.4401,23.2216
20173,VANDE BHARAT EXP,NARMADAPURAM,NDPM,5.0,WCR,,
20173,VANDE BHARAT EXP,ITARSI JN,ET,0.0,WCR,77.767128,22.608258
20173,VANDE BHARAT EXP,PIPARIYA,PPI,14.0,WCR,78.354538,22.753941
20173,VANDE BHARAT EXP,NARSINGHPUR,NU,16.0,WCR,79.214385,22.943112
20173,VANDE BHARAT EXP,JABALPUR,JBP,2.0,WCR,79.950919,23.164636
20173,VANDE BHARAT EXP,KATNI,KTE,8.0,WCR,80.400543,23.833385
20173,VANDE BHARAT EXP,MAIHAR,MYR,4.0,WCR,80.763148,24.255485
20173,VANDE BHARAT EXP,SATNA,STA,2.0,WCR,80.827717,24.568619
20174,VANDE BHARAT EXP,REWA,REWA,0.0,WCR,81.250615,24.537122
20174,VANDE BHARAT EXP,SATNA,STA,8.0,WCR,80.827717,24.568619
20174,VANDE BHARAT EXP,MAIHAR,MYR,7.0,WCR,80.763148,24.255485
20174,VANDE BHARAT EXP,KATNI,KTE,7.0,WCR,80.400543,23.833385
20174,VANDE BHARAT EXP,JABALPUR,JBP,9.0,WCR,79.950919,23.164636
