Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Lat,Long
12301,KOLKATA RAJDHNI,HOWRAH JN,HWH,0,ER,22.584078,88.340999
12301,KOLKATA RAJDHNI,ASANSOL JN,ASN,17,ER,23.691441,86.975152
12301,KOLKATA RAJDHNI,DHANBAD JN,DHN,5,ER,23.790966,86.428956
12301,KOLKATA RAJDHNI,PARASNATH,PNME,11,ER,23.987971,86.037862
12301,KOLKATA RAJDHNI,GAYA JN,GAYA,2,ER,24.803978,84.999294
12301,KOLKATA RAJDHNI,PT DEEN DAYAL UPADHYAY JN,DDU,15,ER,,
12301,KOLKATA RAJDHNI,PRAYAGRAJ JN,PRYJ,28,ER,,
12301,KOLKATA RAJDHNI,KANPUR CENTRAL,CNB,26,ER,26.45424,80.350966
12301,KOLKATA RAJDHNI,NEW DELHI,NDLS,29,ER,28.642314,77.220004
12302,KOLKATA RJDHNI,NEW DELHI,NDLS,38,ER,28.642314,77.220004
12302,KOLKATA RJDHNI,KANPUR CENTRAL,CNB,65,ER,26.45424,80.350966
12302,KOLKATA RJDHNI,PRAYAGRAJ JN,PRYJ,114,ER,,
12302,KOLKATA RJDHNI,PT DEEN DAYAL UPADHYAY JN,DDU,158,ER,,
12302,KOLKATA RJDHNI,GAYA JN,GAYA,174,ER,24.803978,84.999294
12302,KOLKATA RJDHNI,PARASNATH,PNME,186,ER,23.987971,86.037862
12302,KOLKATA RJDHNI,DHANBAD JN,DHN,178,ER,23.790966,86.428956
12302,KOLKATA RJDHNI,ASANSOL JN,ASN,190,ER,23.691441,86.975152
12302,KOLKATA RJDHNI,HOWRAH JN,HWH,176,ER,22.584078,88.340999
12305,KOLKATA RJDHNI,HOWRAH JN,HWH,1,ER,22.584078,88.340999
12305,KOLKATA RJDHNI,BARDDHAMAN JN,BWN,16,ER,23.249718,87.870281
12305,KOLKATA RJDHNI,MADHUPUR JN,MDP,21,ER,24.270633,86.642183
12305,KOLKATA RJDHNI,JASIDIH JN,JSME,23,ER,24.514517,86.644255
12305,KOLKATA RJDHNI,PATNA JN,PNBE,8,ER,25.60256,85.136824
