Station Name,Rating,Number of Reviews
Paradeep Railway Station,3.7,347
Puri Railway Station,4.0,126
Sakhi Gopal Railway Station,4.0,87
Naupada Junction Railway Station,3.9,753
Kotabommali Railway Station,3.8,162
Palasa Railway Station,3.9,11060
Mandasa Road Railway Station,4.0,53
Chatrapur Railway Station,4.0,1890
Palur Railway Station,4.0,100
Sompeta Railway Station,3.9,1142
Adoni Railway Station,3.8,753
Kosigi Railway Station,3.8,207
Badarli Railway Station,4.0,909
Maddikera Railway Station,3.9,128
Guntakal Railway Station,4.1,4458
Guntakal Central Railway Station,4.2,569
Gooty Railway Station,4.0,226
Devinagara Railway Station,4.1,13167
Karatgi Railway Station,3.8,6
Daroji Railway Station,4.0,99
Chhatrapati Shivaji Terminus,4.5,91133
Churchgate Railway Station,4.3,36707
Goregaon Railway Station,4.2,25594
Lokmanya Tilak Terminus,3.9,26229
Thane Railway Station,4.1,24192
Kalyan Railway Station,3.7,25659
Mumbai Central Railway Station,4.2,18718
Vashi Railway Station,4.2,15800
CBD Belapur Railway Station,4.1,15382
Kurla Railway Station,3.8,15112
Sri Sathya Sai Prashanthi Nilayam,4.3,1376
Anantapur Railway Station,4.1,732
Rayadurg Railway Station,3.8,753
Penukonda Railway Station,4.1,237
Chennekotha Palli Railway Station,3.6,32
Makkajipalli Railway Station,3.5,19
Siri Railway Station,5.0,1
Chigicherla Railway Station,3.8,49
Dharmavaram Railway Station,4.0,8944
Tadipatri Railway Station,4.1,865
Chittoor Railway Station,4.0,3990
Kuppam Railway Station,3.8,1880
Pakala Railway Station,3.9,1379
Pileru Railway Station,4.0,519
Gudupalli Railway Station,3.8,311
Madanapalle Road Railway Station,4.0,178
Piler Railway Station,4.0,124
Siddampalli Railway Station,4.5,1
Katpadi Railway Station,4.1,3160
Vellore Railway Station,4.0,289
Eluru Railway Station,3.8,426
Nuzvid Railway Station,3.6,295
Kaikalur Railway Station,4.1,1043
Gannavaram Railway Station,3.4,121
Dosapadu Railway Station,3.4,169
Pedda Avutapale,3.3,39
Gudivada Railway Station,3.9,466
Akividu Railway Station,4.1,852
Tadepalligudem Railway Station,4.0,9646
Ramavarappadu Railway Station,4.1,798
Guntur Railway Station,4.1,54145
Bellamkonda Railway Station,4.0,454
New Guntur,3.3,526
Mangalagiri Railway Station,3.9,341
Nadukude Railway Station,4.0,324
Nidubrolu Railway Station,3.9,209
Vejendla Railway Station,4.2,130
Vemuru Railway Station,3.7,94
Siripuram Railway Station,4.1,82
New Guntur Railway Station,3.1,97
Kadapa Railway Station,4.0,5933
Razampeta Railway Station,3.6,592
Yerraguntla Junction Railway Station,3.9,1582
Proddatur Railway Station,4.0,484
Jammalamadugu Railway Station,4.1,75
Kadiri Railway Station,4.0,506
Venkatagiri Railway Station,4.0,80
Kakinada Town Railway Station,4.2,953
Kakinada Port Railway Station,4.0,485
Kakinada Port,4.0,457
Kovada Railway Station,3.0,1
Samarlakota Railway Station,4.0,1780
Pithapuram Railway Station,5.0,2
Bikkavolu,3.9,55
Durgada Gate Railway Station,4.4,28
Anaparthi Railway Station,4.0,51
Annavaram Railway Station,3.9,1835
Kurnool Railway Station,4.3,16980
Betamcherla Railway Station,3.7,235
Kotla Railway Station,3.8,91
Koilakuntla Railway Station,4.4,39
Nandyal Railway Station,3.7,33
Dupadu Railway Station,3.7,24
Panyam Railway Station,4.2,4
Dhone Railway Station,3.9,1562
Machilipatnam Railway Station,4.4,1609
Repalle Railway Station,4.1,2394
Rajahmundry Railway Station,3.9,1188
Rajahmundry East Railway Station,4.0,413
Kovvur Railway Station,3.7,590
Chagallu Railway Station,3.6,35
Nidadavolu Junction Railway Station,4.1,564
Tanuku Railway Station,3.8,3966
Srikakulam Road Railway Station,4.0,3087
Ichchapuram Railway Station,4.1,670
Tilaru Railway Station,3.6,109
Tekkali Halt Railway Station,3.5,60
Pathapatnam Railway Station,3.4,61
TATA Nagar Railway Station,4.0,111241
Tirupathi Railway Station,4.0,11303
Renigunta Railway Station,4.0,3168
Tiruchanur Railway Station,3.7,61
Renigunta Raiway Station,4.0,2
Srikalahasti Railway Station,3.7,3650
Vijayawada Railway Station,4.2,18820
Madhura Nagar Railway Station,3.5,66
Vijayawada North Cabin,3.9,38
Rayanpadu Railway Station,3.5,377
Kondapalli Railway Station,3.7,526
Duggirala Railway Station,3.7,56
Visakhapatnam Railway Station,4.1,73735
Borra Caves Railway Station,4.4,34235
East Coast Railway Station,4.4,15209
Duvvada Railway Station,3.8,7139
Yelamanchili Railway Station,3.9,565
Simhachalam Railway Station,4.1,495
Gopalapatnam Railway Station,3.8,297
Araku Railway Station,4.2,171
Pendurti Railway Station,3.8,163
Narsipatnam Road Railway Station,3.7,126
Vizianagaram Railway Station,4.2,15682
Chipurupalli Railway Station,4.2,1570
Bobbili Railway Station,3.9,304
Kothavalasa Railway Station,4.0,47
Salur Railway Station,3.4,53
Korukonda Railway Station,4.2,30
Santhapeta Railway Station,4.2,14
Gadwal Railway Station,3.9,1648
Gumto Railway Station,3.8,29
Itanagar Railway Station,5.0,1
Harmuti Junction,4.1,212
Vishwanath Charali Railway Station,4.0,18
Barua Bamungaon Railway Station,3.6,42
Niz Chatia Railway Station,4.0,2
Rowriah Sdg,3.4,25
Jorhat Town Railway Station,3.8,825
Dhalaibil Railway Station,3.9,33
Kamarbandha Ali Railway Station,4.2,65
Dibrugarh Town Railway Station,4.0,8145
Dhemaji Railway Station,3.8,906
Tinsukia Railway Station,4.0,40
Tinsukia Junction,4.2,1364
