longitude,latitude,Station_Code,Total_Score,Station_Name_lower
88.340999,22.584078,HWH,812.14,howrah jn
86.975152,23.691441,ASN,754.83,asansol jn
86.428956,23.790966,DHN,794.74,dhanbad jn
86.037862,23.987971,PNME,785.11,parasnath
84.999294,24.803978,GAYA,746.42,gaya jn
80.350966,26.45424,CNB,747.5,kanpur central
77.220004,28.642314,NDLS,792.29,new delhi
87.870281,23.249718,BWN,722.09,barddhaman jn
86.642183,24.270633,MDP,617.53,madhupur jn
86.644255,24.514517,JSME,697.22,jasidih jn
85.136824,25.60256,PNBE,826.72,patna jn
88.374713,22.566758,SDAH,798.91,sealdah
87.297902,23.495046,DGR,840.16,durgapur
94.9352579102,27.4636065659,DBRG,770.22,dibrugarh
95.334128,27.479748,NTSK,793.32,new tinsukia jn
94.308203,26.652435,MXN,662.26,mariani jn
93.727816,25.905702,DMV,569.17,dimapur
93.1766,25.750036,LMG,412.92,lumding jn
91.751851,26.182635,GHY,769.65,guwahati
91.605929,26.447901,RNY,752.63,rangiya jn
90.5368434644,26.4758354405,NBQ,697.42,new bongaigaon
90.274125,26.405057,KOJ,677.9,kokrajhar
88.443391,26.683025,NJP,831.87,new jalpaiguri
87.949657,26.097746,KNE,702.95,kishanganj
87.566409,25.548947,KIR,675.89,katihar jn
87.09387,25.385261,NNA,740.76,naugachia
86.554446,25.509398,MNE,488.99,mansi jn
85.988748,25.461768,BJU,712.31,barauni jn
85.068505,25.621426,PPTA,810.37,patliputra
85.044629,25.581921,DNR,793.81,danapur
75.847873,30.912367,LDH,730.32,ludhiana jn
75.636044,32.2593,PTKC,621.69,pathankot cantt
74.880117,32.706975,JAT,915.82,jammu tawi
76.596753,8.886586,QLN,712.4,kollam jn
76.290672,9.969542,ERS,610.89,ernakulam jn
76.207919,10.51479,TCR,708.77,thrisur
76.272196,10.758855,SRR,671.83,shoranur jn
75.780407,11.246234,CLT,809.9,kozhikode
75.3683267,11.8706942,CAN,719.94,kannur
74.987652,12.491175,KGQ,748.06,kasaragod
74.88006,12.866193,MAJN,760.81,mangalore jn
73.121756,18.990919,PNVL,653.07,panvel
72.840793,21.206568,ST,890.13,surat
73.181065,22.310756,BRC,826.21,vadodara jn
75.050826,23.34038,RTM,820.28,ratlam jn
77.254249,28.58733,NZM,758.12,h nizamuddin
80.2748563,13.0847613,MAS,846.88,chennai central
80.618648,16.518262,BZA,908.81,vijayawada jn
79.604929,17.972477,WL,850.08,warangal
79.3485858,19.8490173,BPQ,796.79,balharshah
79.089004,21.153567,NGP,795.92,nagpur
77.4131428577,23.2668843843,BPL,716.59,bhopal jn
78.182292,26.216483,GWL,799.99,gwalior
77.990153,27.157992,AGC,640.41,agra cantt
78.501481,17.433147,SC,858.77,secunderabad jn
79.511025,17.974211,KZJ,839.25,kazipet jn
82.167585,22.057473,BSP,802.64,bilaspur jn
81.629328,21.256462,R,931.75,raipur jn
81.291837,21.200327,DURG,858.07,durg
80.190842,21.462435,G,612.23,gondia jn
85.33352,23.348811,RNC,842.35,ranchi
84.074843,24.033075,DTO,703.02,daltonganj
83.885116,24.214419,GHD,874.56,garwa road
72.909127,20.374338,VAPI,736.23,vapi
72.9335291,20.6085595,BL,759.95,valsad
72.997689,21.706907,BH,728.28,bharuch jn
76.35622,26.018279,SWM,669.86,sawai madhopur
77.673117,27.480145,MTJ,612.67,mathura jn
72.388708,23.602623,MSH,760.75,mahesana jn
72.430172,24.174433,PNU,750.41,palanpur jn
72.775695,24.470775,ABR,836.72,abu road
73.234953,25.235808,FA,844.76,falna
75.786923,26.920203,JP,931.75,jaipur
77.010739,28.489165,GGN,823.41,gurgaon
77.116577,28.613534,DEC,689.84,delhi cantt
94.756816,26.917281,SLGR,759.96,simaluguri jn
89.541398,26.48572,NOQ,821.52,new alipurdaur
85.78736,25.858304,SPJ,780.83,samastipur jn
