Station,Code,State,Zone,Division,Revenue,Passengers Footfall,Category
NEW DELHI,NDLS,Delhi,NR,DLI,33376647613,39362272,NSG 1
HOWRAH,HWH,West Bengal,ER,HWH,16923975838,61329319,NSG 1
MGR Chennai Central,MAS,Tamil Nadu,SR,MAS,12993143870,30595837,NSG 1
SECUNDERABAD,SC,Telangana,SCR,SC,12762967056,27776937,NSG 1
HAZRAT NIZAMUDDIN JN,NZM,Delhi,NR,DLI,12272764662,14537686,NSG 1
Lokmanya Tilak Terminus,LTT,Maharashtra,CR,BB,10367606153,14680379,NSG 1
Ahmedabad,ADI,Gujarat,WR,Ahmedabad,10103556329,18260021,NSG 1
Mumbai CSMT,CSMT,Maharashtra,CR,BB,9822140182,51652230,NSG 1
Pune,PUNE,Maharashtra,CR,Pune,9760041577,22256812,NSG 1
ANAND VIHAR TERMINAL,ANVT,Delhi,NR,DLI,8449855785,12235275,NSG 1
Surat,ST,Gujarat,WR,Mumbai,8354523613,22204568,NSG 1
KSR BENGALURU,SBC,Karnataka,SWR,SBC,8037654913,24802455,NSG 1
Patna Jn,PNBE,Bihar,ECR,DNR,6995902724,24773916,NSG 1
JAIPUR,JP,Rajasthan,NWR,Jaipur,6982462027,19547976,NSG 1
DELHI JN,DLI,Delhi,NR,DLI,6074421651,17470634,NSG 1
Chennai Egmore,MS,Tamil Nadu,SR,MAS,6002871233,19536114,NSG 1
Gorakhpur Jn,GKP,Uttar Pradesh,NER,LJN,5919361873,13024757,NSG 1
VISAKHAPATNAM,VSKP,Andhra Pradesh,ECOR,WAT,5641657718,13343246,NSG 1
VARANASI,BSB,Uttar Pradesh,NR,LKO,5617767903,11528116,NSG 1
Nagpur,NGP,Maharashtra,CR,NGP,5328837351,10255652,NSG 1
VIJAYAWADA,BZA,Andhra Pradesh,SCR,BZA,5282160188,16839464,NSG 1
Kalyan,KYN,Maharashtra,CR,BB,5252978109,83792667,NSG 1
Mumbai Central,MMCT,Maharashtra,WR,Mumbai,4952592952,22002292,NSG1P
BHUBANESWAR,BBS,Odisha,ECOR,KUR,4933466823,12243775,NSG 2
SEALDAH,SDAH,West Bengal,ER,SDAH,4906987468,51369230,NSG1P
JAMMU TAWI,JAT,Jammu And Kashmir,NR,FZR,4892428700,7145987,NSG 2
